scope,mechanism,paired_months,pearson,spearman,pearson_sign,spearman_sign,causal_status
ERA_1_EARLY,NASDAQ_RET,38,0.21086130939348338,0.22507933034248823,POSITIVE,POSITIVE,NONE
ERA_1_EARLY,DXY_RET,38,-0.1538233869591677,0.000984790458474669,NEGATIVE,POSITIVE,NONE
ERA_1_EARLY,DFII10_CHANGE_PP,38,0.13181304934516802,0.09749425538899222,POSITIVE,POSITIVE,NONE
ERA_1_EARLY,VIX_CHANGE,38,-0.07011925682511906,-0.07123317649633439,NEGATIVE,NEGATIVE,NONE
ERA_1_EARLY,NFCI_CHANGE,38,-0.3328745741097619,-0.3957763431447642,NEGATIVE,NEGATIVE,NONE
ERA_1_EARLY,WALCL_3M_PCT,38,-0.2402135424991143,-0.13951198161724476,NEGATIVE,NEGATIVE,NONE
ERA_1_EARLY,M2SL_3M_PCT,38,-0.3077655790098342,-0.21741984899879638,NEGATIVE,NEGATIVE,NONE
ERA_2_INSTITUTIONALIZATION,NASDAQ_RET,48,0.38776403631292583,0.375705601389492,POSITIVE,POSITIVE,NONE
ERA_2_INSTITUTIONALIZATION,DXY_RET,48,-0.05023859804442372,-0.028224055579678674,NEGATIVE,NEGATIVE,NONE
ERA_2_INSTITUTIONALIZATION,DFII10_CHANGE_PP,48,-0.11725250809941577,-0.19420321320017367,NEGATIVE,NEGATIVE,NONE
ERA_2_INSTITUTIONALIZATION,VIX_CHANGE,48,-0.3387935634027598,-0.3353234910985671,NEGATIVE,NEGATIVE,NONE
ERA_2_INSTITUTIONALIZATION,NFCI_CHANGE,48,-0.3287371361791429,-0.3678897090751194,NEGATIVE,NEGATIVE,NONE
ERA_2_INSTITUTIONALIZATION,WALCL_3M_PCT,48,0.10588360794595995,-0.01801997394702562,POSITIVE,NEGATIVE,NONE
ERA_2_INSTITUTIONALIZATION,M2SL_3M_PCT,48,0.16563759819939328,0.282783326096396,POSITIVE,POSITIVE,NONE
ERA_3_POST_2022,NASDAQ_RET,56,0.5548919068330677,0.591866028708134,POSITIVE,POSITIVE,NONE
ERA_3_POST_2022,DXY_RET,56,-0.11723100407689277,-0.1460697197539303,NEGATIVE,NEGATIVE,NONE
ERA_3_POST_2022,DFII10_CHANGE_PP,56,-0.23072058850949406,-0.19268626110731377,NEGATIVE,NEGATIVE,NONE
ERA_3_POST_2022,VIX_CHANGE,56,-0.33528643102675926,-0.3332194121667806,NEGATIVE,NEGATIVE,NONE
ERA_3_POST_2022,NFCI_CHANGE,56,-0.35883110392946566,-0.3878332194121668,NEGATIVE,NEGATIVE,NONE
ERA_3_POST_2022,WALCL_3M_PCT,56,-0.35199903036838476,-0.2873547505126453,NEGATIVE,NEGATIVE,NONE
ERA_3_POST_2022,M2SL_3M_PCT,56,-0.044144655369192605,0.050854408749145597,NEGATIVE,POSITIVE,NONE
