mechanism,window_start,window_end,paired_months,pearson_36m,status
NASDAQ_RET,2014-11,2017-10,36,0.23716602952715837,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2014-12,2017-11,36,0.2977261273568811,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2015-01,2017-12,36,0.25154046859455675,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2015-02,2018-01,36,0.15345380964921784,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2015-03,2018-02,36,0.21817120153283753,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2015-04,2018-03,36,0.20890537285028316,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2015-05,2018-04,36,0.24206472603391463,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2015-06,2018-05,36,0.2315938198380013,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2015-07,2018-06,36,0.18466267156189722,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2015-08,2018-07,36,0.1863963954393611,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2015-09,2018-08,36,0.15196121050456418,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2015-10,2018-09,36,0.12030474298803442,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2015-11,2018-10,36,0.1470439729910049,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2015-12,2018-11,36,0.1705828560165507,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2016-01,2018-12,36,0.2569677693240354,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2016-02,2019-01,36,0.24475343952304984,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2016-03,2019-02,36,0.20715523947536404,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2016-04,2019-03,36,0.22796451611838087,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2016-05,2019-04,36,0.25323415507435837,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2016-06,2019-05,36,0.19689535578141706,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2016-07,2019-06,36,0.1901319815621936,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2016-08,2019-07,36,0.19752239810301556,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2016-09,2019-08,36,0.23613467070305472,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2016-10,2019-09,36,0.22604894430470426,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2016-11,2019-10,36,0.2335293477785699,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2016-12,2019-11,36,0.21341222275607985,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2017-01,2019-12,36,0.19539312592593278,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2017-02,2020-01,36,0.19895687447205782,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2017-03,2020-02,36,0.19607468524826882,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2017-04,2020-03,36,0.2992807777707595,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2017-05,2020-04,36,0.28827193921752314,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2017-06,2020-05,36,0.29966162338751673,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2017-07,2020-06,36,0.2886975683735839,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2017-08,2020-07,36,0.2775013604158296,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2017-09,2020-08,36,0.32124753753572194,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2017-10,2020-09,36,0.3273815308893191,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2017-11,2020-10,36,0.32821869418528526,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2017-12,2020-11,36,0.33187087603136173,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2018-01,2020-12,36,0.4733109869171297,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2018-02,2021-01,36,0.4896911296979199,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2018-03,2021-02,36,0.4827280413348316,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2018-04,2021-03,36,0.45389482448376833,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2018-05,2021-04,36,0.4333287180996938,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2018-06,2021-05,36,0.45239308143385853,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2018-07,2021-06,36,0.44679306795040713,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2018-08,2021-07,36,0.43876605434793936,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2018-09,2021-08,36,0.42832552689141384,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2018-10,2021-09,36,0.42840972906515473,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2018-11,2021-10,36,0.4027712538592544,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2018-12,2021-11,36,0.36915739029486677,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2019-01,2021-12,36,0.33111339921749966,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2019-02,2022-01,36,0.37085280750481375,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2019-03,2022-02,36,0.39309344740356533,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2019-04,2022-03,36,0.39604451957739456,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2019-05,2022-04,36,0.3910570325099292,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2019-06,2022-05,36,0.4991460492325605,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2019-07,2022-06,36,0.5293412527924428,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2019-08,2022-07,36,0.5186741153600022,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2019-09,2022-08,36,0.5084866789648483,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2019-10,2022-09,36,0.5241342210748279,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2019-11,2022-10,36,0.5238118539308609,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2019-12,2022-11,36,0.527005309796139,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2020-01,2022-12,36,0.5441673749871698,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2020-02,2023-01,36,0.5379717828486124,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2020-03,2023-02,36,0.5424070317193829,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2020-04,2023-03,36,0.48137749193069684,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2020-05,2023-04,36,0.49328783889318817,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2020-06,2023-05,36,0.45579520945357976,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2020-07,2023-06,36,0.4519417771643899,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2020-08,2023-07,36,0.46809575574439205,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2020-09,2023-08,36,0.45767179140528635,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2020-10,2023-09,36,0.45728004939898276,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2020-11,2023-10,36,0.4398978279842546,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2020-12,2023-11,36,0.4517352080482459,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2021-01,2023-12,36,0.4294334266466998,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2021-02,2024-01,36,0.41892782411617335,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2021-03,2024-02,36,0.4173809397124044,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2021-04,2024-03,36,0.4585535989417507,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2021-05,2024-04,36,0.46319042553927925,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2021-06,2024-05,36,0.4442965774112961,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2021-07,2024-06,36,0.4944808785366734,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2021-08,2024-07,36,0.4986689792997278,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2021-09,2024-08,36,0.5271964957513067,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2021-10,2024-09,36,0.5264337499211096,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2021-11,2024-10,36,0.5777693386550884,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2021-12,2024-11,36,0.5756192277268751,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2022-01,2024-12,36,0.5784528717900199,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2022-02,2025-01,36,0.5507560428928437,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2022-03,2025-02,36,0.552836152144633,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2022-04,2025-03,36,0.5739265709559329,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2022-05,2025-04,36,0.5578513841867998,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2022-06,2025-05,36,0.5179469451114465,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2022-07,2025-06,36,0.48420675267350655,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2022-08,2025-07,36,0.5014391119939321,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2022-09,2025-08,36,0.5145095584752946,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2022-10,2025-09,36,0.4571497325588635,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2022-11,2025-10,36,0.4445714896167211,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2022-12,2025-11,36,0.45489535006923326,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2023-01,2025-12,36,0.441662865472176,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2023-02,2026-01,36,0.4587595475297649,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2023-03,2026-02,36,0.4752816299763342,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2023-04,2026-03,36,0.4840344192288892,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2023-05,2026-04,36,0.47676339372204934,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2023-06,2026-05,36,0.4693004465683723,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2023-07,2026-06,36,0.49410606207811286,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2023-08,2026-07,36,0.48887809682125233,TIME_VARIATION_DIAGNOSTIC
NASDAQ_RET,2023-09,2026-08,36,0.4793752568345699,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2014-11,2017-10,36,-0.13629523938625668,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2014-12,2017-11,36,-0.11353752840233698,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2015-01,2017-12,36,-0.12224277351901504,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2015-02,2018-01,36,0.058758610131978334,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2015-03,2018-02,36,0.11207554927819127,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2015-04,2018-03,36,0.1098694149403175,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2015-05,2018-04,36,0.09544050276829907,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2015-06,2018-05,36,0.051120743317144376,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2015-07,2018-06,36,0.021589739472668294,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2015-08,2018-07,36,0.01265757141909743,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2015-09,2018-08,36,-0.010123890092767186,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2015-10,2018-09,36,-0.011426760066040232,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2015-11,2018-10,36,-0.023328419339940763,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2015-12,2018-11,36,-0.10434760344070153,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2016-01,2018-12,36,-0.09994292309905345,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2016-02,2019-01,36,-0.0863160719378686,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2016-03,2019-02,36,-0.10814905724934096,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2016-04,2019-03,36,-0.11334006449534072,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2016-05,2019-04,36,-0.11456368155674924,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2016-06,2019-05,36,-0.10486062536390987,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2016-07,2019-06,36,-0.12196315027373962,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2016-08,2019-07,36,-0.11194948164977599,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2016-09,2019-08,36,-0.14484106247159675,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2016-10,2019-09,36,-0.15157548661394887,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2016-11,2019-10,36,-0.137586364108659,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2016-12,2019-11,36,-0.14680219277827183,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2017-01,2019-12,36,-0.1506910177519184,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2017-02,2020-01,36,-0.14948628478671117,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2017-03,2020-02,36,-0.13610526797743364,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2017-04,2020-03,36,-0.1334404373796928,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2017-05,2020-04,36,-0.1360415996734828,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2017-06,2020-05,36,-0.06978202438977722,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2017-07,2020-06,36,-0.01734998750608956,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2017-08,2020-07,36,-0.0316389411134869,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2017-09,2020-08,36,0.011608141413853593,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2017-10,2020-09,36,0.005806710988836418,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2017-11,2020-10,36,-0.03443696323547395,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2017-12,2020-11,36,-0.07691301897720236,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2018-01,2020-12,36,-0.10491606277880379,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2018-02,2021-01,36,-0.1805690438157508,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2018-03,2021-02,36,-0.21499525397647018,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2018-04,2021-03,36,-0.18780984248497035,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2018-05,2021-04,36,-0.17878357902703648,TIME_VARIATION_DIAGNOSTIC
DXY_RET,2018-06,2021-05,36,-0.13955570177389467,TIME_VARIATION_DIAGNOSTIC
