scope,mechanism,state_a,state_b,n_a,n_b,median_btc_ret_a,median_btc_ret_b,positive_btc_share_a,positive_btc_share_b,oriented_median_diff_a_minus_b,support_status,causal_status
FULL_SAMPLE,NASDAQ_RET,NASDAQ_UP,NASDAQ_DOWN_OR_FLAT,98,44,0.05194755262638873,-0.0464672771524548,0.7448979591836735,0.2727272727272727,0.09841482977884353,SUPPORTED_DESCRIPTIVE,NONE
FULL_SAMPLE,DXY_RET,DXY_UP,DXY_DOWN_OR_FLAT,77,65,0.009700998818502615,0.02104049856591428,0.5974025974025974,0.6,-0.011339499747411663,SUPPORTED_DESCRIPTIVE,NONE
FULL_SAMPLE,DFII10_CHANGE_PP,REAL_YIELD_UP,REAL_YIELD_DOWN_OR_FLAT,74,68,0.007227373608890808,0.03417956329663796,0.5540540540540541,0.6470588235294118,-0.026952189687747152,SUPPORTED_DESCRIPTIVE,NONE
FULL_SAMPLE,VIX_CHANGE,VIX_UP,VIX_DOWN_OR_FLAT,64,78,-0.005116912133542317,0.04940666671038174,0.484375,0.6923076923076923,-0.05452357884392406,SUPPORTED_DESCRIPTIVE,NONE
FULL_SAMPLE,NFCI_CHANGE,NFCI_TIGHTENING,NFCI_EASING_OR_FLAT,60,82,-0.011001014177211277,0.05194755262638873,0.43333333333333335,0.7195121951219512,-0.0629485668036,SUPPORTED_DESCRIPTIVE,NONE
FULL_SAMPLE,WALCL_3M_PCT,WALCL_EXPANDING_3M,WALCL_CONTRACTING_OR_FLAT_3M,55,87,0.04015984232799119,0.009596288788461749,0.6363636363636364,0.5747126436781609,0.030563553539529442,SUPPORTED_DESCRIPTIVE,NONE
FULL_SAMPLE,M2SL_3M_PCT,M2_EXPANDING_3M,M2_CONTRACTING_OR_FLAT_3M,124,18,0.01947803391037828,-0.02239365339681093,0.6209677419354839,0.4444444444444444,0.04187168730718921,SUPPORTED_DESCRIPTIVE,NONE
ERA_1_EARLY,NASDAQ_RET,NASDAQ_UP,NASDAQ_DOWN_OR_FLAT,31,7,0.06842408201588368,-0.03208763167926154,0.8387096774193549,0.2857142857142857,0.10051171369514522,INSUFFICIENT_VARIATION,NONE
ERA_1_EARLY,DXY_RET,DXY_UP,DXY_DOWN_OR_FLAT,18,20,0.06323882243661427,0.04506907208759148,0.7777777777777778,0.7,0.018169750349022795,SUPPORTED_DESCRIPTIVE,NONE
ERA_1_EARLY,DFII10_CHANGE_PP,REAL_YIELD_UP,REAL_YIELD_DOWN_OR_FLAT,20,18,0.06323882243661427,0.054800773734345554,0.75,0.7222222222222222,0.008438048702268719,SUPPORTED_DESCRIPTIVE,NONE
