classification,metric,n,mean,median,negative_share
FALSE_RELIEF_VETO,WTI_fwd_1m,7,0.027389334703192825,0.03908629441624356,0.14285714285714285
FALSE_RELIEF_VETO,WTI_fwd_3m,6,0.14892648001607475,0.13623884588318091,0.0
FALSE_RELIEF_VETO,WTI_fwd_6m,6,0.27419905371676573,0.20869487099891693,0.0
FALSE_RELIEF_VETO,WTI_fwd_12m,6,0.1977233132548639,0.10932025758022901,0.16666666666666666
FALSE_RELIEF_VETO,short_mae_3m,7,0.15126371397849098,0.11314847942754924,
FALSE_RELIEF_VETO,short_mae_6m,7,0.2540315821259017,0.19566189624329167,
PRICE_PRODUCT_CONFIRMED,WTI_fwd_1m,6,-0.03009406460587466,-0.03832844580005923,0.6666666666666666
PRICE_PRODUCT_CONFIRMED,WTI_fwd_3m,6,-0.034864071444916565,0.025546147671772823,0.5
PRICE_PRODUCT_CONFIRMED,WTI_fwd_6m,6,-0.03618699283567173,0.053511646850372796,0.3333333333333333
PRICE_PRODUCT_CONFIRMED,WTI_fwd_12m,6,0.012115543375525376,-0.043297585758601265,0.5
PRICE_PRODUCT_CONFIRMED,short_mae_3m,6,0.07845597484238402,0.04597089101881435,
PRICE_PRODUCT_CONFIRMED,short_mae_6m,6,0.1233133369822907,0.10964638183859976,
