sample,metric,n_confirmed,n_veto,confirmed_mean,veto_mean,mean_diff_confirmed_minus_veto,confirmed_median,veto_median,median_diff_confirmed_minus_veto
pre_2008,wti_fwd_3m,3,2,0.13484976404233548,0.12206814979606966,0.012781614246265824,0.0919417820376287,0.12206814979606966,-0.03012636775844095
pre_2008,wti_fwd_6m,3,2,0.19920652069530306,0.18666392287727102,0.012542597818032047,0.2146776406035666,0.18666392287727102,0.028013717726295573
pre_2008,short_mae_3m,3,2,0.156911949684768,0.137270226177234,0.019641723507533987,0.1229423868312755,0.137270226177234,-0.014327839345958507
pre_2008,short_mae_6m,3,2,0.21376101128813227,0.20766392287727103,0.006097088410861234,0.2146776406035666,0.20766392287727103,0.007013717726295554
2008_plus,wti_fwd_3m,3,4,-0.20457790693216862,0.1623556451260772,-0.36693355205824585,-0.0992847229635955,0.15430297409658295,-0.2535876970601785
2008_plus,wti_fwd_6m,3,4,-0.27158050636664655,0.31796661913651303,-0.5895471255031596,-0.1797800790007473,0.3151053377096851,-0.4948854167104324
2008_plus,short_mae_3m,3,5,0.0,0.1568611090989937,-0.1568611090989937,0.0,0.1131484794275492,-0.1131484794275492
2008_plus,short_mae_6m,3,5,0.0328656626764491,0.2725786458253539,-0.2397129831489048,0.0,0.1956618962432916,-0.1956618962432916
exclude_2008_crisis_event,wti_fwd_3m,5,6,0.05992020692059571,0.1489264800160747,-0.08900627309547898,0.056755829903978,0.13623884588318086,-0.07948301597920286
exclude_2008_crisis_event,wti_fwd_6m,5,6,0.08956609458330857,0.27419905371676573,-0.18463295913345718,0.0770323038693645,0.20869487099891687,-0.13166256712955238
exclude_2008_crisis_event,short_mae_3m,5,7,0.0941471698108608,0.15126371397849095,-0.05711654416763015,0.0919417820376287,0.1131484794275492,-0.021206697389920495
exclude_2008_crisis_event,short_mae_6m,5,7,0.1479760043787488,0.25403158212590166,-0.10605557774715285,0.1206957756478521,0.1956618962432916,-0.07496612059543951
