mechanism_class,metric,n,mean,median,negative_share
DATA_INCOMPLETE,wti_fwd_4w,1,-0.0890160546812907,-0.0890160546812907,1.0
DATA_INCOMPLETE,wti_fwd_8w,1,-0.022254013670322648,-0.022254013670322648,1.0
DATA_INCOMPLETE,wti_fwd_13w,1,0.10046097599745685,0.10046097599745685,0.0
DATA_INCOMPLETE,short_mae_4w,1,0.06835161341599116,0.06835161341599116,
DATA_INCOMPLETE,short_mae_8w,1,0.08663169607375631,0.08663169607375631,
DATA_INCOMPLETE,short_mae_13w,1,0.16038785566682567,0.16038785566682567,
DEMAND_DESTRUCTION,wti_fwd_4w,4,0.058631832226964165,0.05301287737836352,0.5
DEMAND_DESTRUCTION,wti_fwd_8w,4,-0.025733379471591405,-0.023613965617124255,0.5
DEMAND_DESTRUCTION,wti_fwd_13w,4,-0.08044041282787032,-0.07069660079567458,0.75
DEMAND_DESTRUCTION,short_mae_4w,4,0.1005783892713531,0.10200201817028598,
DEMAND_DESTRUCTION,short_mae_8w,4,0.11760015860900941,0.13218194451460685,
DEMAND_DESTRUCTION,short_mae_13w,4,0.13650363538994792,0.1360455568455986,
SUPPLY_NORMALIZATION,wti_fwd_4w,1,-0.1337651821862348,-0.1337651821862348,1.0
SUPPLY_NORMALIZATION,wti_fwd_8w,1,-0.05748987854251009,-0.05748987854251009,1.0
SUPPLY_NORMALIZATION,wti_fwd_13w,1,-0.13198380566801615,-0.13198380566801615,1.0
SUPPLY_NORMALIZATION,short_mae_4w,1,0.022186234817813677,0.022186234817813677,
SUPPLY_NORMALIZATION,short_mae_8w,1,0.022186234817813677,0.022186234817813677,
SUPPLY_NORMALIZATION,short_mae_13w,1,0.022186234817813677,0.022186234817813677,
TIGHT_OR_MIXED,wti_fwd_4w,10,0.05027142579236887,0.026312940095528647,0.4
TIGHT_OR_MIXED,wti_fwd_8w,10,0.0871370317448806,0.07077521639882056,0.2
TIGHT_OR_MIXED,wti_fwd_13w,10,0.05545791269713477,0.06698198440225911,0.4
TIGHT_OR_MIXED,short_mae_4w,10,0.10358260850896932,0.08710603149048479,
TIGHT_OR_MIXED,short_mae_8w,10,0.16464635111252907,0.15240310343503571,
TIGHT_OR_MIXED,short_mae_13w,10,0.19630307700652333,0.17918745653000856,
