event_release_date,event_week_end,event_original_class,t1_release_date,t1_class,t2_release_date,t2_class,t3_release_date,t3_class,t4_release_date,t4_class,transition_group,first_clean_release_number,first_confirm_release_number,first_confirm_class,wti_fwd_4w,wti_fwd_8w,wti_fwd_13w,short_mae_8w,short_mae_13w
2004-02-11,2004-02-06,TIGHT_OR_MIXED,2004-02-19,DATA_INCOMPLETE,2004-02-25,DATA_INCOMPLETE,2004-03-03,TIGHT_OR_MIXED,2004-03-10,DATA_INCOMPLETE,REMAINS_MIXED_OR_INCOMPLETE,,,,0.2266009852216748,0.444508838017966,0.2660098522167486,0.444508838017966,0.5905534627644162
2004-11-03,2004-10-29,TIGHT_OR_MIXED,2004-11-10,DATA_INCOMPLETE,2004-11-17,SUPPLY_NORMALIZATION,2004-11-24,DATA_INCOMPLETE,2004-12-01,TIGHT_OR_MIXED,CLEAN_CANDIDATE_ONLY,2.0,,,-0.04989816700611,0.0682281059063136,0.2374745417515273,0.1547861507128309,0.2374745417515273
2009-06-24,2009-06-19,TIGHT_OR_MIXED,2009-07-01,TIGHT_OR_MIXED,2009-07-08,TIGHT_OR_MIXED,2009-07-15,SUPPLY_NORMALIZATION,2009-07-22,TIGHT_OR_MIXED,CLEAN_CANDIDATE_ONLY,3.0,,,-0.0195121951219512,0.0571018651362984,-0.0450502152080344,0.0571018651362984,0.0571018651362984
2017-09-13,2017-09-08,TIGHT_OR_MIXED,2017-09-20,TIGHT_OR_MIXED,2017-09-27,DEMAND_DESTRUCTION,2017-10-04,TIGHT_OR_MIXED,2017-10-12,TIGHT_OR_MIXED,CLEAN_CANDIDATE_ONLY,2.0,,,0.0150421179302044,0.146409947853991,0.1490172482952265,0.1500200561572404,0.1821099077416765
2018-05-31,2018-05-25,TIGHT_OR_MIXED,2018-06-06,TIGHT_OR_MIXED,2018-06-13,SUPPLY_NORMALIZATION,2018-06-20,SUPPLY_NORMALIZATION,2018-06-27,TIGHT_OR_MIXED,SN_CONFIRMED_WITHIN_4,2.0,3.0,SUPPLY_NORMALIZATION,0.1264245555386718,0.0817504938459199,0.0609329889074607,0.1762650053183405,0.1762650053183405
2020-07-01,2020-06-26,TIGHT_OR_MIXED,2020-07-08,TIGHT_OR_MIXED,2020-07-15,TIGHT_OR_MIXED,2020-07-22,TIGHT_OR_MIXED,2020-07-29,TIGHT_OR_MIXED,REMAINS_MIXED_OR_INCOMPLETE,,,,-0.0115849149617943,0.0589105250184864,-0.0357406950948977,0.0650727138279516,0.0650727138279516
2021-01-27,2021-01-22,TIGHT_OR_MIXED,2021-02-03,TIGHT_OR_MIXED,2021-02-10,TIGHT_OR_MIXED,2021-02-18,TIGHT_OR_MIXED,2021-02-24,DEMAND_DESTRUCTION,CLEAN_CANDIDATE_ONLY,4.0,,,0.177765021048603,0.1659012629161882,0.233448143895905,0.2644469957902793,0.2644469957902793
2022-03-16,2022-03-11,TIGHT_OR_MIXED,2022-03-23,TIGHT_OR_MIXED,2022-03-30,DEMAND_DESTRUCTION,2022-04-06,DEMAND_DESTRUCTION,2022-04-13,TIGHT_OR_MIXED,DD_CONFIRMED_WITHIN_4,2.0,3.0,DEMAND_DESTRUCTION,0.0375837622608528,0.0733223268913274,0.0730309798970574,0.1284840244731475,0.1842284160435077
2022-06-23,2022-06-17,TIGHT_OR_MIXED,2022-06-29,TIGHT_OR_MIXED,2022-07-07,TIGHT_OR_MIXED,2022-07-13,TIGHT_OR_MIXED,2022-07-20,TIGHT_OR_MIXED,REMAINS_MIXED_OR_INCOMPLETE,,,,-0.0847162372788117,-0.1434858347850004,-0.2765196662693683,0.0420830659209681,0.0420830659209681
2026-04-15,2026-04-10,TIGHT_OR_MIXED,2026-04-22,TIGHT_OR_MIXED,2026-04-29,TIGHT_OR_MIXED,2026-05-06,TIGHT_OR_MIXED,2026-05-13,TIGHT_OR_MIXED,REMAINS_MIXED_OR_INCOMPLETE,,,,0.0850093302923491,-0.0812772133526849,-0.1080240514202777,0.1636947957702674,0.1636947957702674
