market,anchor,n_legs,n_broad_episodes,support_status,weighted_median_ret_3m,weighted_median_ret_6m,weighted_median_ret_12m,weighted_median_mdd_12m,weighted_median_mdd_trough_month,weighted_late_trough_share_7_12
HANG_SENG,FIRST_CUT,8,6,ADEQUATE_DIAGNOSTIC,0.059608322943254244,0.010746436519249114,-0.0866544049881085,0.15618905493831237,8.0,0.8333333333333334
HANG_SENG,FIRST_HIKE,8,6,ADEQUATE_DIAGNOSTIC,-0.09816640366736618,-0.0827697947861723,-0.012433401664533328,0.16067653871223042,7.0,0.7222222222222222
HANG_SENG,LAST_HIKE,8,6,ADEQUATE_DIAGNOSTIC,0.08611201559939374,-0.055651451250076533,-0.031075035125211925,0.13034090556014521,7.0,0.5555555555555555
HANG_SENG,PAUSE_START,6,6,ADEQUATE_DIAGNOSTIC,0.10998808928568615,0.023697503458986136,-0.026045013491272306,0.13034090556014521,7.0,0.6666666666666666
KOSPI,FIRST_CUT,4,4,ADEQUATE_DIAGNOSTIC,-0.018788540052912417,-0.023421290683698137,0.04305579071519228,0.16400895917152047,8.0,0.75
KOSPI,FIRST_HIKE,4,4,ADEQUATE_DIAGNOSTIC,-0.015087947967114546,-0.014825449726508677,0.007417707041265098,0.06600020389256345,1.0,0.5
KOSPI,LAST_HIKE,4,4,ADEQUATE_DIAGNOSTIC,-0.07618064104526989,-0.03090719367274064,0.030566547803021926,0.07980756279493872,3.0,0.5
KOSPI,PAUSE_START,4,4,ADEQUATE_DIAGNOSTIC,-0.0032828136115815587,0.0045171326310184945,0.012323187221424003,0.07673640611081545,7.0,0.75
NIKKEI_225,FIRST_CUT,10,7,ADEQUATE_DIAGNOSTIC,0.04179293888340618,0.10526560664960272,0.09598271179175288,0.12608801595339647,8.0,0.9047619047619048
NIKKEI_225,FIRST_HIKE,10,7,ADEQUATE_DIAGNOSTIC,0.021649663182396806,0.05561159977473973,0.028116413703471288,0.10594306926777908,10.0,0.738095238095238
NIKKEI_225,LAST_HIKE,10,7,ADEQUATE_DIAGNOSTIC,-0.025172559160278385,0.016191611398457928,0.08955122231055435,0.07196836850173749,4.0,0.3333333333333333
NIKKEI_225,PAUSE_START,7,7,ADEQUATE_DIAGNOSTIC,0.02955238017640527,0.10526560664960272,0.13059712072206509,0.08369720823738247,9.0,0.7142857142857143
SHANGHAI_COMPOSITE,FIRST_CUT,4,4,ADEQUATE_DIAGNOSTIC,0.033541913288198,0.0351958868625446,-0.28733180993321317,0.08592783821146,9.0,0.75
SHANGHAI_COMPOSITE,FIRST_HIKE,4,4,ADEQUATE_DIAGNOSTIC,-0.12064063666073888,-0.16277464656997798,-0.1138244707235826,0.13167251694429616,6.0,0.5
SHANGHAI_COMPOSITE,LAST_HIKE,4,4,ADEQUATE_DIAGNOSTIC,0.06024850418989036,0.11121363189260092,0.12583366751822878,0.06392425015985581,6.0,0.5
SHANGHAI_COMPOSITE,PAUSE_START,4,4,ADEQUATE_DIAGNOSTIC,0.0757381315485588,0.14497427582934597,0.19619682912231173,0.06392425015985581,8.0,1.0
