instrument,anchor,n_legs,n_broad_episodes,support_status
HANG_SENG,FIRST_CUT,8,6,ADEQUATE_DIAGNOSTIC
HANG_SENG,FIRST_HIKE,8,6,ADEQUATE_DIAGNOSTIC
HANG_SENG,LAST_HIKE,8,6,ADEQUATE_DIAGNOSTIC
HANG_SENG,PAUSE_START,6,6,ADEQUATE_DIAGNOSTIC
KOSPI,FIRST_CUT,4,4,ADEQUATE_DIAGNOSTIC
KOSPI,FIRST_HIKE,4,4,ADEQUATE_DIAGNOSTIC
KOSPI,LAST_HIKE,4,4,ADEQUATE_DIAGNOSTIC
KOSPI,PAUSE_START,4,4,ADEQUATE_DIAGNOSTIC
NIKKEI_225,FIRST_CUT,10,7,ADEQUATE_DIAGNOSTIC
NIKKEI_225,FIRST_HIKE,10,7,ADEQUATE_DIAGNOSTIC
NIKKEI_225,LAST_HIKE,10,7,ADEQUATE_DIAGNOSTIC
NIKKEI_225,PAUSE_START,7,7,ADEQUATE_DIAGNOSTIC
SHANGHAI_COMPOSITE,FIRST_CUT,4,4,ADEQUATE_DIAGNOSTIC
SHANGHAI_COMPOSITE,FIRST_HIKE,4,4,ADEQUATE_DIAGNOSTIC
SHANGHAI_COMPOSITE,LAST_HIKE,4,4,ADEQUATE_DIAGNOSTIC
SHANGHAI_COMPOSITE,PAUSE_START,4,4,ADEQUATE_DIAGNOSTIC
US_HIGH_YIELD_OAS,FIRST_CUT,1,1,INSUFFICIENT_SUPPORT
