anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,cash_carry_3m,cash_carry_6m,cash_carry_12m,avg_dff_12m
FIRST_HIKE,T01_1983,B01,1983-03-31,0.5,0.022173544481965957,0.04653393782247095,0.09755301106752423,9.344562291434928
FIRST_HIKE,T02_1984,B01,1984-03-29,0.5,0.02662610144948796,0.056141045576471704,0.10385476564337393,9.922218509984639
FIRST_HIKE,T03_1987,B02,1987-01-05,0.3333333333333333,0.015575821437198822,0.032733343996953934,0.06899747743341744,6.690761328725038
FIRST_HIKE,T04_1987,B02,1987-08-27,0.3333333333333333,0.01776946516527733,0.034986473387434325,0.0733481732067407,7.099289920899765
FIRST_HIKE,T05_1988,B02,1988-03-30,0.3333333333333333,0.0179960790920346,0.038455210491912695,0.08582976307904566,8.263070468509985
FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,0.009112268239083399,0.02006376641829033,0.04729480376470496,4.630201804915513
FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,0.01279651010949201,0.026288870987293267,0.057335660834627156,5.588284915338029
FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,0.003585843371701314,0.008485493687318213,0.022205111168502878,2.1983683435739887
FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,0.0009005480974288993,0.0018251319801412258,0.003937356197629915,0.393027808676307
FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,0.00191816219900387,0.007405831842689503,0.028160150989247512,2.781209677419355
LAST_HIKE,T01_1983,B01,1983-08-11,0.5,0.023738842719747577,0.048347262739006025,0.10593254273403274,10.111494191076504
LAST_HIKE,T02_1984,B01,1984-08-09,0.5,0.025813183858414135,0.047534205981817124,0.09025843398652933,8.673100230414747
LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,0.01679272310816593,0.03486058598174391,0.07047725749385836,6.829843684340626
LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,0.017392902375219954,0.03443732851578485,0.07421683372455123,7.180706587566433
LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,0.02331021395550059,0.045996841572492286,0.09000717073638231,8.649530721966205
LAST_HIKE,T06_1994,B03,1995-02-01,1.0,0.015102746202659612,0.030053929355364994,0.05937017089930663,5.781358330243481
LAST_HIKE,T07_1999,B04,2000-05-16,1.0,0.01639683043886886,0.033037742074960796,0.061066094614008914,5.9423239887352794
LAST_HIKE,T08_2004,B05,2006-06-29,1.0,0.013170971636703666,0.02650912619644985,0.05377006302548004,5.248873079877113
LAST_HIKE,T09_2015,B06,2018-12-19,1.0,0.006016326296774066,0.012058023906897919,0.021800358445335233,2.1585958781362007
LAST_HIKE,T10_2022,B07,2023-07-26,1.0,0.013384272835322397,0.026947684429974972,0.05462154655608753,5.329999999999999
PAUSE_START,T02_1984,B01,1984-08-21,1.0,0.025813183858414135,0.047534205981817124,0.09025843398652933,8.673100230414747
PAUSE_START,T04_1987,B02,1987-11-03,1.0,0.016916412617429932,0.034416878944448115,0.07658477736268599,7.402297089358545
PAUSE_START,T06_1994,B03,1995-03-28,1.0,0.015123689814539487,0.02990720363892274,0.05878842119926242,5.7261701582004685
PAUSE_START,T07_1999,B04,2000-06-28,1.0,0.016387283075777193,0.03292979557471498,0.05881590755050392,5.7291017665130575
PAUSE_START,T08_2004,B05,2006-08-08,1.0,0.013178718196152461,0.02653101747894171,0.05359434949135666,5.232125768049154
PAUSE_START,T09_2015,B06,2019-01-30,1.0,0.006036127571770633,0.012060467547094778,0.021078576111136504,2.0878163082437275
PAUSE_START,T10_2022,B07,2023-09-20,1.0,0.013384272835322397,0.026947684429974972,0.05444655355889072,5.3133333333333335
FIRST_CUT,T01_1983,B01,1983-08-17,0.5,0.023738842719747577,0.048347262739006025,0.10593254273403274,10.111494191076504
FIRST_CUT,T02_1984,B01,1984-09-20,0.5,0.023339437581983757,0.04517741287183741,0.08721499382393816,8.391322452636969
FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,0.017802295712810334,0.03511471150540313,0.07221372535771953,6.992892071437399
FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,0.016916412617429932,0.034416878944448115,0.07658477736268599,7.402297089358545
FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,0.022879579825794583,0.04506509350323351,0.08888850296079354,8.546086277521761
FIRST_CUT,T06_1994,B03,1995-07-06,1.0,0.014482655217614937,0.0288966603979246,0.05634893391804119,5.494418366085774
FIRST_CUT,T07_1999,B04,2001-01-03,1.0,0.013062422025892806,0.02318513880494355,0.035903877751156,3.533280977982591
FIRST_CUT,T08_2004,B05,2007-09-18,1.0,0.011281000136421193,0.019334335174000294,0.029634890038974016,2.9244598010134726
FIRST_CUT,T09_2015,B06,2019-07-31,1.0,0.005007054069940287,0.0089106420547167,0.011017578050174226,1.0965032443455691
FIRST_CUT,T10_2022,B07,2024-09-18,1.0,0.011664619837010726,0.022655452706324075,0.04490523475035535,4.400680107526881
