asset,anchor,n_legs,n_broad_episodes,support_status,weighted_median_ret_3m,weighted_median_ret_6m,weighted_median_ret_12m,weighted_median_mdd_12m,weighted_median_mdd_trough_month,weighted_late_trough_share_7_12
BTC_USD,FIRST_CUT,2,2,LIMITED_DESCRIPTIVE,-0.10662506953450546,-0.1090314981260806,0.01847933248417344,0.1491793465470136,6.0,0.5
BTC_USD,FIRST_HIKE,2,2,LIMITED_DESCRIPTIVE,-0.4018251375959525,-0.5141537934959165,-0.38383806878128335,0.12364126555746746,8.0,1.0
BTC_USD,LAST_HIKE,2,2,LIMITED_DESCRIPTIVE,-0.26426997752930226,0.5459174307965051,0.34783046888884783,0.07234447134633148,12.0,1.0
BTC_USD,PAUSE_START,2,2,LIMITED_DESCRIPTIVE,0.3930021977332885,1.430723541670086,1.167054349852937,0.114932959108201,11.0,1.0
DXY,FIRST_CUT,10,7,SUPPORTED_DESCRIPTIVE,0.02277723766073092,0.01931673276880197,-0.013330056218421649,0.051817888867160544,8.0,0.7619047619047619
DXY,FIRST_HIKE,10,7,SUPPORTED_DESCRIPTIVE,-0.020911818590438114,-0.04403308457189947,0.030094331859379375,0.08244873304672551,8.0,0.5238095238095238
DXY,LAST_HIKE,10,7,SUPPORTED_DESCRIPTIVE,0.025280783359642234,-0.0013300342375137664,-0.012554803371037204,0.051817888867160544,8.0,0.6666666666666666
DXY,PAUSE_START,7,7,SUPPORTED_DESCRIPTIVE,-0.00401101046321195,0.005059255643867111,-0.012554803371037204,0.06299687572978274,11.0,0.7142857142857143
TLT,FIRST_CUT,3,3,LIMITED_DESCRIPTIVE,0.07496330464138201,0.07751761795884349,0.15130521031602884,0.03634678289854221,9.0,0.6666666666666666
TLT,FIRST_HIKE,3,3,LIMITED_DESCRIPTIVE,0.08166435452705256,0.1084236528897562,0.01103663120934173,0.14788519260362698,9.0,1.0
TLT,LAST_HIKE,3,3,LIMITED_DESCRIPTIVE,0.0715565328675547,0.10592777551846044,0.05633417578641553,0.049832220668155625,12.0,0.6666666666666666
TLT,PAUSE_START,3,3,LIMITED_DESCRIPTIVE,0.04161173060913104,0.06914061140995043,0.08689182466909506,0.049832220668155625,10.0,0.6666666666666666
VNQ,FIRST_CUT,3,3,LIMITED_DESCRIPTIVE,0.013990339884922598,0.009991793706736418,-0.046528833553428406,0.18791682540146848,7.0,0.6666666666666666
VNQ,FIRST_HIKE,2,2,LIMITED_DESCRIPTIVE,-0.09963901261719144,-0.13330265972063837,-0.17762142053295304,0.11448840758233825,7.0,1.0
VNQ,LAST_HIKE,3,3,LIMITED_DESCRIPTIVE,0.07802185675942042,0.1310187572479642,0.18977796510302114,0.0941641726337541,12.0,0.6666666666666666
VNQ,PAUSE_START,3,3,LIMITED_DESCRIPTIVE,0.12459761886397747,0.16501899087680005,0.2351766019543149,0.0941641726337541,11.0,0.6666666666666666
