series,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,chg_3m_bp,chg_6m_bp,chg_12m_bp,max_increase_12m_bp,max_decrease_12m_bp
DGS2,FIRST_HIKE,T01_1983,B01,1983-03-31,0.5,54.55023923444973,115.36842105263165,167.822966507177,167.822966507177,-14.726817042606477
DGS2,FIRST_HIKE,T02_1984,B01,1984-03-29,0.5,212.1403508771932,141.94736842105266,-7.240601503759336,212.1403508771932,-85.4310776942354
DGS2,FIRST_HIKE,T03_1987,B02,1987-01-05,0.3333333333333333,75.24675324675326,117.0454545454545,135.81818181818184,212.58008658008657,12.6076555023924
DGS2,FIRST_HIKE,T04_1987,B02,1987-08-27,0.3333333333333333,25.035885167464134,-26.177272727272616,118.6422924901187,118.6422924901187,-26.177272727272616
DGS2,FIRST_HIKE,T05_1988,B02,1988-03-30,0.3333333333333333,84.54090909090901,128.28333333333325,249.90454545454543,249.90454545454543,40.89999999999989
DGS2,FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,182.8095238095238,203.73913043478274,297.1578947368422,344.95238095238096,85.52173913043487
DGS2,FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,40.7404761904762,85.00454545454552,122.73181818181813,155.50454545454545,30.02619047619053
DGS2,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,-0.8261904761904582,47.83181818181821,110.69545454545455,119.33181818181815,-2.5318181818181795
DGS2,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,-0.9736842105263044,-15.337320574162671,31.19298245614035,31.19298245614035,-21.223684210526304
DGS2,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,156.28320802005013,242.14035087719296,286.7345537757437,309.84210526315786,110.2736842105263
DGS2,LAST_HIKE,T01_1983,B01,1983-08-11,0.5,-2.0789473684208915,10.026315789473728,174.9347826086959,222.16666666666694,-11.399999999999721
DGS2,LAST_HIKE,T02_1984,B01,1984-08-09,0.5,-222.8671679197994,-271.2063492063493,-393.39826839826844,-67.28822055137852,-418.96190476190486
DGS2,LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,72.85714285714286,66.83458646616538,97.14285714285715,137.33333333333331,15.62142857142863
DGS2,LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,10.487012987013067,-48.24223602484467,71.04761904761902,87.58385093167709,-57.23571428571424
DGS2,LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,-130.6717391304348,-165.5785714285713,-80.92272727272717,-72.74999999999991,-167.45000000000002
DGS2,LAST_HIKE,T06_1994,B03,1995-02-01,1.0,-133.60909090909087,-152.61304347826083,-248.14999999999995,-73.13478260869557,-248.14999999999995
DGS2,LAST_HIKE,T07_1999,B04,2000-05-16,1.0,-17.498855835240334,-52.84461152882196,-214.3684210526316,7.813397129186583,-216.96842105263156
DGS2,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,-19.91818181818177,-29.468181818181804,1.2294372294372913,15.031818181818224,-39.45454545454537
DGS2,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,-44.94761904761906,-104.5,-124.56666666666665,-31.5666666666667,-130.76363636363635
DGS2,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,42.80952380952385,-31.666666666666643,-14.36147186147183,42.80952380952385,-31.666666666666643
DGS2,PAUSE_START,T02_1984,B01,1984-08-21,1.0,-222.8671679197994,-271.2063492063493,-393.39826839826844,-67.28822055137852,-418.96190476190486
DGS2,PAUSE_START,T04_1987,B02,1987-11-03,1.0,-121.71190476190468,-40.190476190476154,26.838095238095327,26.838095238095327,-121.71190476190468
DGS2,PAUSE_START,T06_1994,B03,1995-03-28,1.0,-139.56698564593307,-130.55789473684217,-145.0626566416041,-54.36842105263162,-208.60789473684216
DGS2,PAUSE_START,T07_1999,B04,2000-06-28,1.0,-72.80454545454545,-145.7545454545455,-272.95454545454544,-47.05454545454542,-272.95454545454544
DGS2,PAUSE_START,T08_2004,B05,2006-08-08,1.0,-37.80238095238096,-26.955263157894738,-80.54565217391306,-13.802380952380933,-80.54565217391306
DGS2,PAUSE_START,T09_2015,B06,2019-01-30,1.0,-33.155388471177936,-84.13157894736842,-115.72681704260653,-17.210526315789522,-115.72681704260653
DGS2,PAUSE_START,T10_2022,B07,2023-09-20,1.0,-44.473913043478234,-31.373913043478208,-127.92391304347821,16.587991718426576,-127.92391304347821
DGS2,FIRST_CUT,T01_1983,B01,1983-08-17,0.5,-2.0789473684208915,10.026315789473728,174.9347826086959,222.16666666666694,-11.399999999999721
DGS2,FIRST_CUT,T02_1984,B01,1984-09-20,0.5,-225.2847826086958,-172.14906832298152,-345.11899313501146,-83.43478260869581,-374.6347826086959
DGS2,FIRST_CUT,T03_1987,B02,1987-07-02,0.3333333333333333,82.4437229437228,5.681818181818077,70.58181818181808,82.4437229437228,-39.26818181818188
DGS2,FIRST_CUT,T04_1987,B02,1987-11-04,0.3333333333333333,-121.71190476190468,-40.190476190476154,26.838095238095327,26.838095238095327,-121.71190476190468
DGS2,FIRST_CUT,T05_1988,B02,1989-06-06,0.3333333333333333,-73.3227272727273,-124.07272727272733,-66.67748917748906,-29.37272727272724,-124.07272727272733
DGS2,FIRST_CUT,T06_1994,B03,1995-07-06,1.0,-1.876623376623332,-60.35281385281381,55.40909090909088,58.10909090909089,-69.04090909090908
DGS2,FIRST_CUT,T07_1999,B04,2001-01-03,1.0,-111.79999999999994,-131.34285714285713,-232.39047619047616,-69.51578947368411,-262.6090909090908
DGS2,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,-119.60434782608695,-269.60434782608695,-223.68530020703932,-34.53162055335963,-269.60434782608695
DGS2,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,-26.263636363636355,-29.495238095238086,-166.5818181818182,-16.599999999999994,-166.5818181818182
DGS2,FIRST_CUT,T10_2022,B07,2024-09-18,1.0,26.025974025973973,0.45454545454548523,-39.688311688311686,30.64502164502163,-39.688311688311686
DGS10,FIRST_HIKE,T01_1983,B01,1983-03-31,0.5,12.389952153109896,92.9072681704259,159.43540669856446,159.43540669856446,-34.47368421052648
DGS10,FIRST_HIKE,T02_1984,B01,1984-03-29,0.5,172.07518796992468,68.05263157894731,1.3132832080200885,172.07518796992468,-45.78195488721821
DGS10,FIRST_HIKE,T03_1987,B02,1987-01-05,0.3333333333333333,91.01298701298708,133.40909090909082,155.3062200956938,240.7272727272729,13.590909090909165
DGS10,FIRST_HIKE,T04_1987,B02,1987-08-27,0.3333333333333333,41.37081339712925,-23.48181818181807,81.36166007905157,107.3181818181821,-23.48181818181807
DGS10,FIRST_HIKE,T05_1988,B02,1988-03-30,0.3333333333333333,70.93636363636371,76.5142857142857,114.57272727272726,114.57272727272726,50.650000000000084
DGS10,FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,143.28333333333322,148.55869565217387,171.89736842105248,220.44999999999993,73.21086956521734
DGS10,FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,37.57380952380957,73.5954545454546,55.777272727272816,112.15000000000002,25.24047619047627
DGS10,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,-58.9785714285715,-48.459090909090996,-71.73181818181824,-21.740476190476166,-71.73181818181824
DGS10,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,-37.406698564593285,-61.90669856459328,22.87468671679198,22.87468671679198,-75.9157894736842
DGS10,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,120.91228070175441,158.483709273183,172.88329519450804,204.9289473684211,81.32894736842107
DGS10,LAST_HIKE,T01_1983,B01,1983-08-11,0.5,31.30000000000024,46.51052631578967,133.90869565217383,218.58571428571435,16.400000000000148
DGS10,LAST_HIKE,T02_1984,B01,1984-08-09,0.5,-178.9749373433585,-185.3492063492064,-303.05627705627705,-83.97493734335839,-320.6380952380952
DGS10,LAST_HIKE,T03_1987,B02,1987-05-22,0.3333333333333333,73.7619047619047,83.76691729323298,106.61904761904762,149.71428571428584,18.91428571428566
DGS10,LAST_HIKE,T04_1987,B02,1987-09-24,0.3333333333333333,22.725108225108137,-38.69979296066255,21.66666666666668,75.95238095238113,-54.847619047619034
DGS10,LAST_HIKE,T05_1988,B02,1989-05-17,0.3333333333333333,-106.28913043478256,-130.1214285714285,-41.73181818181817,-38.99999999999988,-133.94999999999993
DGS10,LAST_HIKE,T06_1994,B03,1995-02-01,1.0,-114.67727272727268,-129.12391304347838,-197.40000000000003,-57.47173913043477,-212.71190476190478
