asset,phase,scope_tier,support_status,weighted_km_median_months_50,weighted_km_median_months_100,recovery_support_status_50,recovery_support_status_100,weighted_km_median_anchor_to_50_months,weighted_km_median_anchor_to_100_months,observed_50_recoveries,censored_50_recoveries,observed_100_recoveries,censored_100_recoveries,causal_status,oos_status,deployment_status
DXY,FIRST_CUT,CORE_SUPPORTED,SUPPORTED_DESCRIPTIVE,5.0,6.0,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,12.0,13.0,7.0,3.0,7.0,3.0,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
DXY,FIRST_HIKE,CORE_SUPPORTED,SUPPORTED_DESCRIPTIVE,6.0,11.0,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,12.0,17.0,10.0,0.0,8.0,2.0,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
DXY,LAST_HIKE,CORE_SUPPORTED,SUPPORTED_DESCRIPTIVE,4.0,12.0,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,10.0,15.0,8.0,2.0,8.0,2.0,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
DXY,PAUSE_START,CORE_SUPPORTED,SUPPORTED_DESCRIPTIVE,4.0,8.0,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,13.0,13.0,6.0,1.0,6.0,1.0,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
GOLD,FIRST_CUT,CORE_SUPPORTED,PRIMARY_SUPPORTED,2.0,12.0,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,7.0,22.0,7.0,3.0,6.0,4.0,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
GOLD,FIRST_HIKE,CORE_SUPPORTED,PRIMARY_SUPPORTED,4.0,19.0,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,16.0,30.0,8.0,2.0,7.0,3.0,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
GOLD,LAST_HIKE,CORE_SUPPORTED,PRIMARY_SUPPORTED,3.0,6.0,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,8.0,11.0,8.0,2.0,7.0,3.0,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
GOLD,PAUSE_START,CORE_SUPPORTED,PRIMARY_SUPPORTED,1.0,5.0,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,10.0,15.0,5.0,2.0,5.0,2.0,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
NASDAQ,FIRST_CUT,CORE_SUPPORTED,PRIMARY_SUPPORTED,2.0,3.0,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,14.0,15.0,10.0,0.0,9.0,1.0,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
NASDAQ,FIRST_HIKE,CORE_SUPPORTED,PRIMARY_SUPPORTED,2.0,8.0,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,12.0,14.0,9.0,1.0,9.0,1.0,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
