asset,phase,asset_class,n_legs,n_broad_episodes,support_status,scope_tier,ret_3m,ret_6m,ret_12m,ret_24m,path_risk_metric,path_risk_value,trough_month,late_trough_share,path_horizon_months,source_module,evidence_scope,evidence_class,causal_status,oos_status,deployment_status,allowed_use,forbidden_claim,recovery_support_status_100,recovery_support_status_50,source_module_100,source_module_50,weighted_km_median_months_100,weighted_km_median_months_50,weighted_km_median_anchor_to_50_months,weighted_km_median_anchor_to_100_months,observed_50_recoveries,censored_50_recoveries,observed_100_recoveries,censored_100_recoveries
DXY,FIRST_HIKE,USD_INDEX,10,7,SUPPORTED_DESCRIPTIVE,CORE_SUPPORTED,-0.0209118185904381,-0.0440330845718994,0.0300943318593793,,MDD_12M,0.0824487330467255,8.0,0.5238095238095238,12,CROSS-ASSET-EXPANSION-014,PRIMARY_EXTENSION,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015,RECOVERY_EXTENSION_015,11.0,6.0,12.0,17.0,10.0,0.0,8.0,2.0
GOLD,FIRST_HIKE,PRECIOUS_METAL,10,7,PRIMARY_SUPPORTED,CORE_SUPPORTED,-0.0102370689655172,-0.0180878552971576,0.0307112068965518,,MDD_12M,0.1157556270096462,11.0,0.9523809523809524,12,PHASE-CLOCK-004,PRIMARY_CORE,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004,PHASE_CLOCK_004,19.0,4.0,16.0,30.0,8.0,2.0,7.0,3.0
NASDAQ,FIRST_HIKE,US_EQUITY,10,7,PRIMARY_SUPPORTED,CORE_SUPPORTED,-0.0623866027631556,-0.0093627734093385,0.0650484365574801,,MDD_12M,0.1218495988446647,7.0,0.5952380952380951,12,PHASE-CLOCK-004,PRIMARY_CORE,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004,PHASE_CLOCK_004,8.0,2.0,12.0,14.0,9.0,1.0,9.0,1.0
SP500,FIRST_HIKE,US_EQUITY,10,7,PRIMARY_SUPPORTED,CORE_SUPPORTED,-0.0262367386606383,0.0381283787092328,0.0797900725775262,,MDD_12M,0.0586390864419136,4.0,0.4047619047619047,12,PHASE-CLOCK-004,PRIMARY_CORE,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004,PHASE_CLOCK_004,4.0,2.0,6.0,12.0,10.0,0.0,10.0,0.0
WTI,FIRST_HIKE,ENERGY,8,6,PRIMARY_SUPPORTED,CORE_SUPPORTED,0.1719324038588607,0.1487571177511921,0.2244625488113891,,MDD_12M,0.1879130449451944,10.0,0.6666666666666666,12,PHASE-CLOCK-004,PRIMARY_CORE,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004,PHASE_CLOCK_004,3.0,2.0,11.0,12.0,8.0,0.0,7.0,1.0
DXY,LAST_HIKE,USD_INDEX,10,7,SUPPORTED_DESCRIPTIVE,CORE_SUPPORTED,0.0252807833596422,-0.0013300342375137,-0.0125548033710372,,MDD_12M,0.0518178888671605,8.0,0.6666666666666666,12,CROSS-ASSET-EXPANSION-014,PRIMARY_EXTENSION,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015,RECOVERY_EXTENSION_015,12.0,4.0,10.0,15.0,8.0,2.0,8.0,2.0
GOLD,LAST_HIKE,PRECIOUS_METAL,10,7,PRIMARY_SUPPORTED,CORE_SUPPORTED,-0.0138960370560987,0.0131926121372032,-0.0281481481481481,,MDD_12M,0.0909090909090909,6.0,0.5,12,PHASE-CLOCK-004,PRIMARY_CORE,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004,PHASE_CLOCK_004,6.0,3.0,8.0,11.0,8.0,2.0,7.0,3.0
NASDAQ,LAST_HIKE,US_EQUITY,10,7,PRIMARY_SUPPORTED,CORE_SUPPORTED,0.0118954197089848,0.0831192682837953,0.1559333752490312,,MDD_12M,0.0400497902086219,8.0,0.5952380952380951,12,PHASE-CLOCK-004,PRIMARY_CORE,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004,PHASE_CLOCK_004,3.0,1.0,9.0,11.0,9.0,1.0,9.0,1.0
SP500,LAST_HIKE,US_EQUITY,10,7,PRIMARY_SUPPORTED,CORE_SUPPORTED,0.0214954194265821,0.097988406591321,0.166536742336244,,MDD_12M,0.0421679614905226,9.0,0.6666666666666666,12,PHASE-CLOCK-004,PRIMARY_CORE,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004,PHASE_CLOCK_004,1.0,1.0,12.0,12.0,9.0,1.0,9.0,1.0
WTI,LAST_HIKE,ENERGY,8,6,PRIMARY_SUPPORTED,CORE_SUPPORTED,0.0879216037361676,-0.0053484787181039,0.0500876292128587,,MDD_12M,0.195974280123008,7.0,0.6666666666666666,12,PHASE-CLOCK-004,PRIMARY_CORE,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004,PHASE_CLOCK_004,19.0,5.0,12.0,29.0,8.0,0.0,8.0,0.0
DXY,PAUSE_START,USD_INDEX,7,7,SUPPORTED_DESCRIPTIVE,CORE_SUPPORTED,-0.0040110104632119,0.0050592556438671,-0.0125548033710372,,MDD_12M,0.0629968757297827,11.0,0.7142857142857143,12,CROSS-ASSET-EXPANSION-014,PRIMARY_EXTENSION,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,SUPPORTED_RECOVERY_DESCRIPTIVE,SUPPORTED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015,RECOVERY_EXTENSION_015,8.0,4.0,13.0,13.0,6.0,1.0,6.0,1.0
