asset,asset_class,phase,n_legs,n_broad_episodes,support_status,scope_tier,ret_3m,ret_6m,ret_12m,ret_24m,path_risk_metric,path_risk_value,trough_month,late_trough_share,path_horizon_months,source_module,evidence_scope,evidence_class,causal_status,oos_status,deployment_status,allowed_use,forbidden_claim,recovery_support_status_100,recovery_support_status_50,source_module_100,source_module_50,weighted_km_median_months_100,weighted_km_median_months_50,weighted_km_median_anchor_to_50_months,weighted_km_median_anchor_to_100_months,observed_50_recoveries,censored_50_recoveries,observed_100_recoveries,censored_100_recoveries
HANG_SENG,ASIA_EQUITY,FIRST_CUT,8,6,ADEQUATE_DIAGNOSTIC,DIAGNOSTIC_ASIA,0.0596083229432542,0.0107464365192491,-0.0866544049881085,,MDD_12M,0.1561890549383123,8.0,0.8333333333333334,12,ASIA-CREDIT-DIAG-006,DIAGNOSTIC_EXTENSION,DESCRIPTIVE_DIAGNOSTIC,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,,,,,,,,,,,,
HANG_SENG,ASIA_EQUITY,FIRST_HIKE,8,6,ADEQUATE_DIAGNOSTIC,DIAGNOSTIC_ASIA,-0.0981664036673661,-0.0827697947861723,-0.0124334016645333,,MDD_12M,0.1606765387122304,7.0,0.7222222222222222,12,ASIA-CREDIT-DIAG-006,DIAGNOSTIC_EXTENSION,DESCRIPTIVE_DIAGNOSTIC,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,,,,,,,,,,,,
HANG_SENG,ASIA_EQUITY,LAST_HIKE,8,6,ADEQUATE_DIAGNOSTIC,DIAGNOSTIC_ASIA,0.0861120155993937,-0.0556514512500765,-0.0310750351252119,,MDD_12M,0.1303409055601452,7.0,0.5555555555555555,12,ASIA-CREDIT-DIAG-006,DIAGNOSTIC_EXTENSION,DESCRIPTIVE_DIAGNOSTIC,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,,,,,,,,,,,,
HANG_SENG,ASIA_EQUITY,PAUSE_START,6,6,ADEQUATE_DIAGNOSTIC,DIAGNOSTIC_ASIA,0.1099880892856861,0.0236975034589861,-0.0260450134912723,,MDD_12M,0.1303409055601452,7.0,0.6666666666666666,12,ASIA-CREDIT-DIAG-006,DIAGNOSTIC_EXTENSION,DESCRIPTIVE_DIAGNOSTIC,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,,,,,,,,,,,,
KOSPI,ASIA_EQUITY,FIRST_CUT,4,4,ADEQUATE_DIAGNOSTIC,DIAGNOSTIC_ASIA,-0.0187885400529124,-0.0234212906836981,0.0430557907151922,,MDD_12M,0.1640089591715204,8.0,0.75,12,ASIA-CREDIT-DIAG-006,DIAGNOSTIC_EXTENSION,DESCRIPTIVE_DIAGNOSTIC,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,,,,,,,,,,,,
KOSPI,ASIA_EQUITY,FIRST_HIKE,4,4,ADEQUATE_DIAGNOSTIC,DIAGNOSTIC_ASIA,-0.0150879479671145,-0.0148254497265086,0.007417707041265,,MDD_12M,0.0660002038925634,1.0,0.5,12,ASIA-CREDIT-DIAG-006,DIAGNOSTIC_EXTENSION,DESCRIPTIVE_DIAGNOSTIC,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,,,,,,,,,,,,
KOSPI,ASIA_EQUITY,LAST_HIKE,4,4,ADEQUATE_DIAGNOSTIC,DIAGNOSTIC_ASIA,-0.0761806410452698,-0.0309071936727406,0.0305665478030219,,MDD_12M,0.0798075627949387,3.0,0.5,12,ASIA-CREDIT-DIAG-006,DIAGNOSTIC_EXTENSION,DESCRIPTIVE_DIAGNOSTIC,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,,,,,,,,,,,,
KOSPI,ASIA_EQUITY,PAUSE_START,4,4,ADEQUATE_DIAGNOSTIC,DIAGNOSTIC_ASIA,-0.0032828136115815,0.0045171326310184,0.012323187221424,,MDD_12M,0.0767364061108154,7.0,0.75,12,ASIA-CREDIT-DIAG-006,DIAGNOSTIC_EXTENSION,DESCRIPTIVE_DIAGNOSTIC,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,,,,,,,,,,,,
NIKKEI_225,ASIA_EQUITY,FIRST_CUT,10,7,ADEQUATE_DIAGNOSTIC,DIAGNOSTIC_ASIA,0.0417929388834061,0.1052656066496027,0.0959827117917528,,MDD_12M,0.1260880159533964,8.0,0.9047619047619048,12,ASIA-CREDIT-DIAG-006,DIAGNOSTIC_EXTENSION,DESCRIPTIVE_DIAGNOSTIC,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,,,,,,,,,,,,
NIKKEI_225,ASIA_EQUITY,FIRST_HIKE,10,7,ADEQUATE_DIAGNOSTIC,DIAGNOSTIC_ASIA,0.0216496631823968,0.0556115997747397,0.0281164137034712,,MDD_12M,0.105943069267779,10.0,0.738095238095238,12,ASIA-CREDIT-DIAG-006,DIAGNOSTIC_EXTENSION,DESCRIPTIVE_DIAGNOSTIC,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,,,,,,,,,,,,
NIKKEI_225,ASIA_EQUITY,LAST_HIKE,10,7,ADEQUATE_DIAGNOSTIC,DIAGNOSTIC_ASIA,-0.0251725591602783,0.0161916113984579,0.0895512223105543,,MDD_12M,0.0719683685017374,4.0,0.3333333333333333,12,ASIA-CREDIT-DIAG-006,DIAGNOSTIC_EXTENSION,DESCRIPTIVE_DIAGNOSTIC,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical descriptive risk-distribution / educational context,no causal Fed claim; no deterministic bottom timing; no trading signal,,,,,,,,,,,,
