series,context_type,phase,n_legs,n_broad_episodes,support_status,metric_3m,metric_6m,metric_12m,metric_12m_unit,secondary_metric,secondary_metric_name,source_module,evidence_class,causal_status,oos_status,deployment_status,forbidden_claim
MECHANICAL_CASH_DFF,CASH_CARRY,FIRST_CUT,10,7,SUPPORTED_DESCRIPTIVE,0.0130624220258928,0.0231851388049435,0.0449052347503553,DECIMAL_CARRY,4.400680107526881,AVG_DFF_12M_PERCENT,CROSS-ASSET-EXPANSION-014,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,cash carry and yield changes are not directly rank-comparable with asset price returns
MECHANICAL_CASH_DFF,CASH_CARRY,FIRST_HIKE,10,7,SUPPORTED_DESCRIPTIVE,0.0091122682390833,0.0200637664182903,0.0472948037647049,DECIMAL_CARRY,4.630201804915513,AVG_DFF_12M_PERCENT,CROSS-ASSET-EXPANSION-014,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,cash carry and yield changes are not directly rank-comparable with asset price returns
MECHANICAL_CASH_DFF,CASH_CARRY,LAST_HIKE,10,7,SUPPORTED_DESCRIPTIVE,0.0151027462026596,0.0300539293553649,0.0593701708993066,DECIMAL_CARRY,5.781358330243481,AVG_DFF_12M_PERCENT,CROSS-ASSET-EXPANSION-014,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,cash carry and yield changes are not directly rank-comparable with asset price returns
MECHANICAL_CASH_DFF,CASH_CARRY,PAUSE_START,7,7,SUPPORTED_DESCRIPTIVE,0.0151236898145394,0.0299072036389227,0.0587884211992624,DECIMAL_CARRY,5.7261701582004685,AVG_DFF_12M_PERCENT,CROSS-ASSET-EXPANSION-014,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,cash carry and yield changes are not directly rank-comparable with asset price returns
DGS10,TREASURY_YIELD_CHANGE,FIRST_CUT,10,7,SUPPORTED_DESCRIPTIVE,-12.34199134199132,-31.6380952380952,-20.478571428571435,BASIS_POINTS,-67.36818181818185,MAX_DECREASE_12M_BP,CROSS-ASSET-EXPANSION-014,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,cash carry and yield changes are not directly rank-comparable with asset price returns
DGS10,TREASURY_YIELD_CHANGE,FIRST_HIKE,10,7,SUPPORTED_DESCRIPTIVE,37.57380952380957,73.5954545454546,55.777272727272816,BASIS_POINTS,13.590909090909165,MAX_DECREASE_12M_BP,CROSS-ASSET-EXPANSION-014,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,cash carry and yield changes are not directly rank-comparable with asset price returns
DGS10,TREASURY_YIELD_CHANGE,LAST_HIKE,10,7,SUPPORTED_DESCRIPTIVE,-39.100000000000094,-54.55000000000005,-59.91626794258372,BASIS_POINTS,-110.5071770334928,MAX_DECREASE_12M_BP,CROSS-ASSET-EXPANSION-014,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,cash carry and yield changes are not directly rank-comparable with asset price returns
DGS10,TREASURY_YIELD_CHANGE,PAUSE_START,7,7,SUPPORTED_DESCRIPTIVE,-64.1454545454545,-77.35406698564593,-107.50125313283203,BASIS_POINTS,-130.80000000000015,MAX_DECREASE_12M_BP,CROSS-ASSET-EXPANSION-014,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,cash carry and yield changes are not directly rank-comparable with asset price returns
DGS2,TREASURY_YIELD_CHANGE,FIRST_CUT,10,7,SUPPORTED_DESCRIPTIVE,-26.263636363636355,-60.35281385281381,-166.5818181818182,BASIS_POINTS,-166.5818181818182,MAX_DECREASE_12M_BP,CROSS-ASSET-EXPANSION-014,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,cash carry and yield changes are not directly rank-comparable with asset price returns
DGS2,TREASURY_YIELD_CHANGE,FIRST_HIKE,10,7,SUPPORTED_DESCRIPTIVE,54.55023923444973,115.36842105263165,122.73181818181811,BASIS_POINTS,12.6076555023924,MAX_DECREASE_12M_BP,CROSS-ASSET-EXPANSION-014,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,cash carry and yield changes are not directly rank-comparable with asset price returns
DGS2,TREASURY_YIELD_CHANGE,LAST_HIKE,10,7,SUPPORTED_DESCRIPTIVE,-19.91818181818177,-52.84461152882196,-124.56666666666663,BASIS_POINTS,-130.76363636363635,MAX_DECREASE_12M_BP,CROSS-ASSET-EXPANSION-014,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,cash carry and yield changes are not directly rank-comparable with asset price returns
DGS2,TREASURY_YIELD_CHANGE,PAUSE_START,7,7,SUPPORTED_DESCRIPTIVE,-72.80454545454545,-84.13157894736842,-127.9239130434782,BASIS_POINTS,-127.9239130434782,MAX_DECREASE_12M_BP,CROSS-ASSET-EXPANSION-014,DESCRIPTIVE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,cash carry and yield changes are not directly rank-comparable with asset price returns
