observable,phase,n_legs,n_broad_episodes,weighted_median_change_3m,weighted_median_change_6m,weighted_median_change_12m,weighted_median_max_stress_move,weighted_median_stress_peak_month,weighted_q75_max_stress_move,support_status,unit_note,source_module,evidence_class,causal_status,oos_status,deployment_status,allowed_use,forbidden_claim
BAA10Y_SPREAD,FIRST_CUT,10,7,-2.0000000000000018,-4.999999999999982,5.000000000000027,37.99999999999999,7.0,108.0,PRIMARY_SUPPORTED,basis points; max stress = max credit-spread widening,STRESS-LAYER-005,MECHANISM_CONTEXT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical stress context around realized Fed-cycle phases,not a live bottoming signal; stress peaks are ex-post window statistics
BAA10Y_SPREAD,FIRST_HIKE,10,7,4.000000000000004,-27.000000000000025,-21.000000000000018,15.999999999999991,2.0,27.99999999999998,PRIMARY_SUPPORTED,basis points; max stress = max credit-spread widening,STRESS-LAYER-005,MECHANISM_CONTEXT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical stress context around realized Fed-cycle phases,not a live bottoming signal; stress peaks are ex-post window statistics
BAA10Y_SPREAD,LAST_HIKE,10,7,7.000000000000006,14.999999999999991,-3.999999999999981,31.000000000000007,5.0,52.0,PRIMARY_SUPPORTED,basis points; max stress = max credit-spread widening,STRESS-LAYER-005,MECHANISM_CONTEXT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical stress context around realized Fed-cycle phases,not a live bottoming signal; stress peaks are ex-post window statistics
BAA10Y_SPREAD,PAUSE_START,7,7,8.999999999999986,-7.999999999999963,23.0,31.000000000000007,9.0,49.00000000000002,PRIMARY_SUPPORTED,basis points; max stress = max credit-spread widening,STRESS-LAYER-005,MECHANISM_CONTEXT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical stress context around realized Fed-cycle phases,not a live bottoming signal; stress peaks are ex-post window statistics
COPPER,FIRST_CUT,5,5,-0.0594486871525187,0.0253278463352031,-0.0700102118427072,0.1995675805374729,9.0,0.2564370076892032,PRIMARY_SUPPORTED,decimal return/MDD; max stress = 12M copper MDD,STRESS-LAYER-005,MECHANISM_CONTEXT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical stress context around realized Fed-cycle phases,not a live bottoming signal; stress peaks are ex-post window statistics
COPPER,FIRST_HIKE,5,5,0.0640324192139127,0.1507535784383631,0.1792629814083612,0.068359119228556,10.0,0.087828456761667,PRIMARY_SUPPORTED,decimal return/MDD; max stress = 12M copper MDD,STRESS-LAYER-005,MECHANISM_CONTEXT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical stress context around realized Fed-cycle phases,not a live bottoming signal; stress peaks are ex-post window statistics
COPPER,LAST_HIKE,5,5,-0.0541676760634117,-0.0053805831801667,-0.0191832602463865,0.1508342485896986,11.0,0.1728561571786905,PRIMARY_SUPPORTED,decimal return/MDD; max stress = 12M copper MDD,STRESS-LAYER-005,MECHANISM_CONTEXT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical stress context around realized Fed-cycle phases,not a live bottoming signal; stress peaks are ex-post window statistics
COPPER,PAUSE_START,5,5,0.0408409060891565,0.0139263468852466,-0.0293181348961679,0.1728561571786905,11.0,0.1791248733305421,PRIMARY_SUPPORTED,decimal return/MDD; max stress = 12M copper MDD,STRESS-LAYER-005,MECHANISM_CONTEXT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical stress context around realized Fed-cycle phases,not a live bottoming signal; stress peaks are ex-post window statistics
VIX,FIRST_CUT,5,5,-0.3694782608695668,1.5768181818181812,5.212484472049688,8.534833333333335,8.0,12.653917748917744,PRIMARY_SUPPORTED,VIX points; max stress = max increase in monthly-average VIX,STRESS-LAYER-005,MECHANISM_CONTEXT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical stress context around realized Fed-cycle phases,not a live bottoming signal; stress peaks are ex-post window statistics
VIX,FIRST_HIKE,5,5,-0.3609090909090913,0.5986542443064184,-4.104073226544621,4.257293233082709,2.0,5.180576441102756,PRIMARY_SUPPORTED,VIX points; max stress = max increase in monthly-average VIX,STRESS-LAYER-005,MECHANISM_CONTEXT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical stress context around realized Fed-cycle phases,not a live bottoming signal; stress peaks are ex-post window statistics
VIX,LAST_HIKE,5,5,-2.270045454545455,-0.7813533834586472,0.3707312252964456,1.3326076555023931,3.0,2.758714285714284,PRIMARY_SUPPORTED,VIX points; max stress = max increase in monthly-average VIX,STRESS-LAYER-005,MECHANISM_CONTEXT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical stress context around realized Fed-cycle phases,not a live bottoming signal; stress peaks are ex-post window statistics
VIX,PAUSE_START,5,5,-4.50838095238095,-2.06641304347826,1.8094202898550744,3.458359683794468,11.0,6.292380952380951,PRIMARY_SUPPORTED,VIX points; max stress = max increase in monthly-average VIX,STRESS-LAYER-005,MECHANISM_CONTEXT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,historical stress context around realized Fed-cycle phases,not a live bottoming signal; stress peaks are ex-post window statistics
