gate,pass,observed,threshold
coverage_common_months,True,306.0,>=240
level_median_abs_rel_gap,True,0.0013084027608570303,<=0.02
level_p95_abs_rel_gap,True,0.007103973789826967,<=0.05
ret3_corr,True,0.9983859278542134,>=0.98
ret3_median_abs_diff,True,0.0018974463392556484,<=0.015
ret3_sign_agreement,True,0.9901960784313726,>=0.95
ret6_corr,True,0.9993938748585599,>=0.98
ret6_median_abs_diff,True,0.0017230899157720803,<=0.02
ret6_sign_agreement,True,0.9901960784313726,>=0.95
vol6_corr,True,0.9928025699730373,>=0.9
vol6_median_abs_diff,True,0.0008552016389176791,<=0.006
era_2000_2009_ret3_sign,True,0.9811320754716981,>=0.9
era_2000_2009_ret6_sign,True,0.9811320754716981,>=0.9
era_2010_2019_ret3_sign,True,1.0,>=0.9
era_2010_2019_ret6_sign,True,0.9916666666666667,>=0.9
era_2020_PRESENT_ret3_sign,True,0.9875,>=0.9
era_2020_PRESENT_ret6_sign,True,1.0,>=0.9
