broad_episode_id,model,n_rows,mse,mae
B04,B0_HIST_MEAN,18,0.005753591220189154,0.0512909141958451
B05,B0_HIST_MEAN,36,0.027534921802362923,0.13209313493159938
B06,B0_HIST_MEAN,36,0.006181427570621291,0.06289220428357915
B07,B0_HIST_MEAN,29,0.01598977964131852,0.10818313308181253
B04,B1_GOLD_HISTORY,18,0.013116095320648521,0.08509818594032637
B05,B1_GOLD_HISTORY,36,0.024649433710926677,0.12845781887131952
B06,B1_GOLD_HISTORY,36,0.008109792884220559,0.07121671479603725
B07,B1_GOLD_HISTORY,29,0.014524849985739982,0.10386558740543939
B04,B2_GOLD_PLUS_CYCLE_AGE,18,0.018270446493037298,0.10078760708515364
B05,B2_GOLD_PLUS_CYCLE_AGE,36,0.02792909696633748,0.13877271579389408
B06,B2_GOLD_PLUS_CYCLE_AGE,36,0.010181972988947947,0.07689663134416594
B07,B2_GOLD_PLUS_CYCLE_AGE,29,0.01168228824550543,0.0916965301963601
B04,M3_PLUS_REALTIME_IPT,18,0.00658190071874539,0.06061319472396496
B05,M3_PLUS_REALTIME_IPT,36,0.02688666725615114,0.13564847678332145
B06,M3_PLUS_REALTIME_IPT,36,0.012426971228745547,0.09352837009310593
B07,M3_PLUS_REALTIME_IPT,29,0.007691561574220869,0.07439691558385592
B04,D4_PLUS_CURRENT_INDPRO,18,0.009814001265052446,0.07374317981523948
B05,D4_PLUS_CURRENT_INDPRO,36,0.02729306194534939,0.1365251992966639
B06,D4_PLUS_CURRENT_INDPRO,36,0.012249759906821237,0.0903846812676336
B07,D4_PLUS_CURRENT_INDPRO,29,0.008140998784209054,0.07684626677867096
