test_broad_episode,model,feature,standardized_coefficient,feature_active_in_train,train_rows,train_broad_episodes
B04,B1_GOLD_HISTORY,GOLD_RET_3M_LAGGED,0.02416888368923776,True,46,3
B04,B1_GOLD_HISTORY,GOLD_RET_6M_LAGGED,0.0171074199570344,True,46,3
B04,B1_GOLD_HISTORY,GOLD_VOL_6M_LAGGED,-0.002512509928402181,True,46,3
B04,B1_GOLD_HISTORY,INTERCEPT,-0.03480463616213832,True,46,3
B04,B2_GOLD_PLUS_CYCLE_AGE,GOLD_RET_3M_LAGGED,0.02583050520274767,True,46,3
B04,B2_GOLD_PLUS_CYCLE_AGE,GOLD_RET_6M_LAGGED,0.023067001500858386,True,46,3
B04,B2_GOLD_PLUS_CYCLE_AGE,GOLD_VOL_6M_LAGGED,0.008411541325434736,True,46,3
B04,B2_GOLD_PLUS_CYCLE_AGE,CYCLE_AGE_MONTHS,0.01945726727672322,True,46,3
B04,B2_GOLD_PLUS_CYCLE_AGE,INTERCEPT,-0.03480463616213832,True,46,3
B04,M3_PLUS_REALTIME_IPT,GOLD_RET_3M_LAGGED,0.023604370656796658,True,46,3
B04,M3_PLUS_REALTIME_IPT,GOLD_RET_6M_LAGGED,-0.0001262080627579946,True,46,3
B04,M3_PLUS_REALTIME_IPT,GOLD_VOL_6M_LAGGED,-0.02821417425007172,True,46,3
B04,M3_PLUS_REALTIME_IPT,CYCLE_AGE_MONTHS,-0.004267284270184508,True,46,3
B04,M3_PLUS_REALTIME_IPT,RT_IPT_YOY,-0.0494090498590159,True,46,3
B04,M3_PLUS_REALTIME_IPT,INTERCEPT,-0.034804636162138324,True,46,3
B04,D4_PLUS_CURRENT_INDPRO,GOLD_RET_3M_LAGGED,0.026968293371288792,True,46,3
B04,D4_PLUS_CURRENT_INDPRO,GOLD_RET_6M_LAGGED,0.010561542140747431,True,46,3
B04,D4_PLUS_CURRENT_INDPRO,GOLD_VOL_6M_LAGGED,-0.03315976100888121,True,46,3
B04,D4_PLUS_CURRENT_INDPRO,CYCLE_AGE_MONTHS,9.951077353524945e-05,True,46,3
B04,D4_PLUS_CURRENT_INDPRO,INDPRO_YOY,-0.04916614336352072,True,46,3
B04,D4_PLUS_CURRENT_INDPRO,INTERCEPT,-0.034804636162138324,True,46,3
B05,B1_GOLD_HISTORY,GOLD_RET_3M_LAGGED,0.0029833818096296275,True,64,4
B05,B1_GOLD_HISTORY,GOLD_RET_6M_LAGGED,0.006962286503889098,True,64,4
B05,B1_GOLD_HISTORY,GOLD_VOL_6M_LAGGED,-0.019501083793375517,True,64,4
B05,B1_GOLD_HISTORY,INTERCEPT,-0.0278481617501124,True,64,4
B05,B2_GOLD_PLUS_CYCLE_AGE,GOLD_RET_3M_LAGGED,0.003456255970745491,True,64,4
