asset,asset_label,primary_asset,anchor,cycle_id,broad_episode_id,cycle_start_year,anchor_date,episode_weight,baseline_period,ret_3m,ret_6m,ret_12m,mdd_12m,mae_12m,mfe_12m,event_trough_month,mdd_trough_month,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months,evidence_time,source_module_casebook,causal_status,oos_status,deployment_status,interpretation_guardrail
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T03_1987,B02,1987,1987-07-02,0.3333333333333333,1987-06,0.0333333333333334,0.06,-0.0266666666666666,0.0987654320987654,-0.0266666666666666,0.08,12,12,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T03_1987,B02,1987,1987-07-02,0.3333333333333333,1987-06,-0.0912028459519102,-0.1992393772978261,-0.0762207243402482,0.2985083157554079,-0.2576322426783359,0.058270217587953,5,5,6.0,20.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T03_1987,B02,1987,1987-07-02,0.3333333333333333,1987-06,-0.0704084891839211,-0.1689126558508755,-0.1072869907721889,0.2684075033871038,-0.2005022240304462,0.0928184469783974,5,5,13.0,19.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_CUT,T03_1987,B02,1987,1987-07-02,0.3333333333333333,1987-06,-0.0121508712448332,-0.1477224668507599,-0.2289225564096823,0.2369880196000282,-0.2289225564096823,0.0105705590443259,12,12,6.0,9.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T03_1987,B02,1987,1987-01-05,0.3333333333333333,1986-12,0.1202046035805626,0.1534526854219948,0.2199488491048593,0.0217391304347825,0.0,0.2429667519181586,1,5,2.0,2.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T03_1987,B02,1987,1987-01-05,0.3333333333333333,1986-12,0.1911692895572809,0.2087376589180447,-0.0440727587544999,0.2985083157554079,-0.1137806453926412,0.2633355099022911,11,11,6.0,20.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T03_1987,B02,1987,1987-01-05,0.3333333333333333,1986-12,0.1637793956518634,0.2473067936794701,0.0075261776217492,0.2684075033871038,-0.0307698175040935,0.3248224756038611,11,11,13.0,19.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_HIKE,T03_1987,B02,1987,1987-01-05,0.3333333333333333,1986-12,0.1719324038588607,0.3413869433064622,0.0752626536275935,0.2000093593523328,0.0,0.3413869433064622,11,11,15.0,25.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,LAST_HIKE,T03_1987,B02,1987,1987-05-22,0.3333333333333333,1987-04,0.052511415525114,0.0684931506849315,0.0296803652968036,0.0905349794238683,0.0,0.1095890410958904,9,9,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,LAST_HIKE,T03_1987,B02,1987,1987-05-22,0.3333333333333333,1987-04,0.0605843526841025,-0.2460393998783536,-0.1203734991327071,0.2985083157554079,-0.2560088961521685,0.0605843526841025,7,7,6.0,20.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,LAST_HIKE,T03_1987,B02,1987,1987-05-22,0.3333333333333333,1987-04,0.1383793874970551,-0.1531629778284151,-0.1147444882654974,0.2684075033871038,-0.1671701818083699,0.1383793874970551,7,7,13.0,19.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,LAST_HIKE,T03_1987,B02,1987,1987-05-22,0.3333333333333333,1987-04,0.0879216037361676,0.0098824285599508,-0.0667325657550356,0.240212031872849,-0.1303511561151027,0.1445941241061625,10,10,12.0,22.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_CUT,T04_1987,B02,1987,1987-11-04,0.3333333333333333,1987-10,-0.0494623655913978,-0.0301075268817204,-0.0967741935483871,0.1625514403292181,-0.1247311827956989,0.0451612903225806,11,11,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_CUT,T04_1987,B02,1987,1987-11-04,0.3333333333333333,1987-10,-0.0817435115296807,-0.0342099976176928,-0.0315857497336345,0.1831315117846628,-0.1831315117846628,0.0164856607934196,1,1,2.0,6.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_CUT,T04_1987,B02,1987,1987-11-04,0.3333333333333333,1987-10,-0.0786542357629993,-0.0858078571841305,-0.0326230386795571,0.1399472062006215,-0.1399472062006215,0.0,1,1,3.0,13.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
WTI,WTI spot monthly average,True,FIRST_CUT,T04_1987,B02,1987,1987-11-04,0.3333333333333333,1987-10,-0.1540509425816665,-0.1224244168552703,-0.287499400393342,0.3064229865208423,-0.3064229865208423,0.0,11,11,3.0,6.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T04_1987,B02,1987,1987-08-27,0.3333333333333333,1987-07,0.0376940133037693,-0.0199556541019955,-0.0443458980044345,0.1131687242798353,-0.0443458980044345,0.0776053215077605,12,12,,,False,False,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T04_1987,B02,1987,1987-08-27,0.3333333333333333,1987-07,-0.2569978226665182,-0.1758219566334504,-0.115150376052418,0.2896585442825429,-0.2668224175288588,0.0321480980307127,4,4,6.0,18.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T04_1987,B02,1987,1987-08-27,0.3333333333333333,1987-07,-0.2098724364587001,-0.1675633846840776,-0.1495087268333877,0.2438486458674028,-0.2229416311950459,0.0276492458263728,4,4,13.0,18.0,True,True,60,DESCRIPTIVE_PATH,PHASE-CLOCK-004,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,post-anchor historical path; not information available at the anchor; realized Fed phase is not an identified monetary-policy shock
