asset,stress_observable,cycle_id,broad_episode_id,cycle_start_year,anchor_date,paired_episode_weight,asset_trough_month,stress_peak_month,lead_months,abs_gap_months,stress_before,same_month,before_or_same,near_2m,both_late_7plus,max_stress_move,evidence_time,source_module_casebook,causal_status,oos_status,deployment_status,interpretation_guardrail
GOLD,BAA10Y_SPREAD,T03_1987,B02,1987,1987-07-02,0.3333333333333333,12,7,5,5,True,False,True,False,True,29.000000000000004,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,BAA10Y_SPREAD,T03_1987,B02,1987,1987-07-02,0.3333333333333333,5,7,-2,2,False,False,False,True,False,29.000000000000004,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,BAA10Y_SPREAD,T03_1987,B02,1987,1987-07-02,0.3333333333333333,5,7,-2,2,False,False,False,True,False,29.000000000000004,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,BAA10Y_SPREAD,T03_1987,B02,1987,1987-07-02,0.3333333333333333,12,7,5,5,True,False,True,False,True,29.000000000000004,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,BAA10Y_SPREAD,T04_1987,B02,1987,1987-11-04,0.3333333333333333,11,3,8,8,True,False,True,False,False,31.000000000000007,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,BAA10Y_SPREAD,T04_1987,B02,1987,1987-11-04,0.3333333333333333,1,3,-2,2,False,False,False,True,False,31.000000000000007,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,BAA10Y_SPREAD,T04_1987,B02,1987,1987-11-04,0.3333333333333333,1,3,-2,2,False,False,False,True,False,31.000000000000007,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,BAA10Y_SPREAD,T04_1987,B02,1987,1987-11-04,0.3333333333333333,11,3,8,8,True,False,True,False,False,31.000000000000007,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,BAA10Y_SPREAD,T05_1988,B02,1988,1989-06-06,0.3333333333333333,12,6,6,6,True,False,True,False,False,37.99999999999999,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,BAA10Y_SPREAD,T05_1988,B02,1988,1989-06-06,0.3333333333333333,8,6,2,2,True,False,True,True,False,37.99999999999999,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,BAA10Y_SPREAD,T05_1988,B02,1988,1989-06-06,0.3333333333333333,8,6,2,2,True,False,True,True,False,37.99999999999999,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,BAA10Y_SPREAD,T05_1988,B02,1988,1989-06-06,0.3333333333333333,12,6,6,6,True,False,True,False,False,37.99999999999999,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,BAA10Y_SPREAD,T06_1994,B03,1994,1995-07-06,1.0,12,6,6,6,True,False,True,False,False,9.000000000000007,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,COPPER,T06_1994,B03,1994,1995-07-06,1.0,12,12,0,0,False,True,True,True,True,0.3474191050855724,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,VIX,T06_1994,B03,1994,1995-07-06,1.0,12,12,0,0,False,True,True,True,True,6.081818181818182,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,BAA10Y_SPREAD,T06_1994,B03,1994,1995-07-06,1.0,12,6,6,6,True,False,True,False,False,9.000000000000007,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,COPPER,T06_1994,B03,1994,1995-07-06,1.0,12,12,0,0,False,True,True,True,True,0.3474191050855724,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,VIX,T06_1994,B03,1994,1995-07-06,1.0,12,12,0,0,False,True,True,True,True,6.081818181818182,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,BAA10Y_SPREAD,T06_1994,B03,1994,1995-07-06,1.0,12,6,6,6,True,False,True,False,False,9.000000000000007,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,COPPER,T06_1994,B03,1994,1995-07-06,1.0,12,12,0,0,False,True,True,True,True,0.3474191050855724,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,VIX,T06_1994,B03,1994,1995-07-06,1.0,12,12,0,0,False,True,True,True,True,6.081818181818182,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,BAA10Y_SPREAD,T06_1994,B03,1994,1995-07-06,1.0,11,6,5,5,True,False,True,False,False,9.000000000000007,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,COPPER,T06_1994,B03,1994,1995-07-06,1.0,11,12,-1,1,False,False,False,True,True,0.3474191050855724,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,VIX,T06_1994,B03,1994,1995-07-06,1.0,11,12,-1,1,False,False,False,True,True,6.081818181818182,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,BAA10Y_SPREAD,T07_1999,B04,1999,2001-01-03,1.0,3,9,-6,6,False,False,False,False,False,56.00000000000001,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,COPPER,T07_1999,B04,1999,2001-01-03,1.0,3,9,-6,6,False,False,False,False,False,0.2564370076892032,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,VIX,T07_1999,B04,1999,2001-01-03,1.0,3,8,-5,5,False,False,False,False,False,8.534833333333335,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,BAA10Y_SPREAD,T07_1999,B04,1999,2001-01-03,1.0,8,9,-1,1,False,False,False,True,True,56.00000000000001,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,COPPER,T07_1999,B04,1999,2001-01-03,1.0,8,9,-1,1,False,False,False,True,True,0.2564370076892032,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,VIX,T07_1999,B04,1999,2001-01-03,1.0,8,8,0,0,False,True,True,True,True,8.534833333333335,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,BAA10Y_SPREAD,T07_1999,B04,1999,2001-01-03,1.0,8,9,-1,1,False,False,False,True,True,56.00000000000001,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,COPPER,T07_1999,B04,1999,2001-01-03,1.0,8,9,-1,1,False,False,False,True,True,0.2564370076892032,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,VIX,T07_1999,B04,1999,2001-01-03,1.0,8,8,0,0,False,True,True,True,True,8.534833333333335,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,BAA10Y_SPREAD,T07_1999,B04,1999,2001-01-03,1.0,11,9,2,2,True,False,True,True,True,56.00000000000001,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,COPPER,T07_1999,B04,1999,2001-01-03,1.0,11,9,2,2,True,False,True,True,True,0.2564370076892032,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,VIX,T07_1999,B04,1999,2001-01-03,1.0,11,8,3,3,True,False,True,False,True,8.534833333333335,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,BAA10Y_SPREAD,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,164.0,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,COPPER,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,0.1995675805374729,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,VIX,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,5.212484472049688,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,BAA10Y_SPREAD,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,164.0,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,COPPER,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,0.1995675805374729,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,VIX,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,5.212484472049688,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,BAA10Y_SPREAD,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,164.0,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,COPPER,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,0.1995675805374729,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,VIX,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,5.212484472049688,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,BAA10Y_SPREAD,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,164.0,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,COPPER,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,0.1995675805374729,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,VIX,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,5.212484472049688,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,BAA10Y_SPREAD,T09_2015,B06,2015,2019-07-31,1.0,4,9,-5,5,False,False,False,False,False,108.0,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,COPPER,T09_2015,B06,2015,2019-07-31,1.0,4,9,-5,5,False,False,False,False,False,0.1676945892855307,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
GOLD,VIX,T09_2015,B06,2015,2019-07-31,1.0,4,8,-4,4,False,False,False,False,False,41.90081818181818,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,BAA10Y_SPREAD,T09_2015,B06,2015,2019-07-31,1.0,8,9,-1,1,False,False,False,True,True,108.0,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,COPPER,T09_2015,B06,2015,2019-07-31,1.0,8,9,-1,1,False,False,False,True,True,0.1676945892855307,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
NASDAQ,VIX,T09_2015,B06,2015,2019-07-31,1.0,8,8,0,0,False,True,True,True,True,41.90081818181818,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,BAA10Y_SPREAD,T09_2015,B06,2015,2019-07-31,1.0,8,9,-1,1,False,False,False,True,True,108.0,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,COPPER,T09_2015,B06,2015,2019-07-31,1.0,8,9,-1,1,False,False,False,True,True,0.1676945892855307,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
SP500,VIX,T09_2015,B06,2015,2019-07-31,1.0,8,8,0,0,False,True,True,True,True,41.90081818181818,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,BAA10Y_SPREAD,T09_2015,B06,2015,2019-07-31,1.0,9,9,0,0,False,True,True,True,True,108.0,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
WTI,COPPER,T09_2015,B06,2015,2019-07-31,1.0,9,9,0,0,False,True,True,True,True,0.1676945892855307,EXPOST_ONLY,STRESS-TROUGH-ALIGNMENT-018,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE,both asset trough and stress peak are future-window statistics; not a real-time signal
