event_id,cycle_id,event_type,event_date,source_effective_date,event_date_basis,outcome_eligible,target_before,target_after,change_bp,scheduled_decision_match,cycle_start_year,broad_episode_id,n_hikes,cumulative_hike_bp,target_before_first_hike,target_after_last_hike,phase_label_status,evidence_time,source_module_casebook,causal_status,oos_status,deployment_status
T03_1987_FIRST_HIKE,T03_1987,FIRST_HIKE,1987-01-05,1987-01-05,HISTORICAL_TARGET_RECONSTRUCTION,True,5.875,6.0,12.5,False,1987,B02,3,87.5,5.875,6.75,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T03_1987_LAST_HIKE,T03_1987,LAST_HIKE,1987-05-22,1987-05-22,HISTORICAL_TARGET_RECONSTRUCTION,True,6.5,6.75,25.0,False,1987,B02,3,87.5,5.875,6.75,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T03_1987_FIRST_CUT,T03_1987,FIRST_CUT,1987-07-02,1987-07-02,HISTORICAL_TARGET_RECONSTRUCTION,True,6.75,6.625,-12.5,False,1987,B02,3,87.5,5.875,6.75,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T04_1987_FIRST_HIKE,T04_1987,FIRST_HIKE,1987-08-27,1987-08-27,HISTORICAL_TARGET_RECONSTRUCTION,True,6.625,6.75,12.5,False,1987,B02,4,68.75,6.625,7.3125,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T04_1987_LAST_HIKE,T04_1987,LAST_HIKE,1987-09-24,1987-09-24,HISTORICAL_TARGET_RECONSTRUCTION,True,7.25,7.3125,6.25,False,1987,B02,4,68.75,6.625,7.3125,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T04_1987_PAUSE_START,T04_1987,PAUSE_START,1987-11-03,,FOMC_SCHEDULED_DECISION_DATE,True,,,0.0,True,1987,B02,4,68.75,6.625,7.3125,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T04_1987_FIRST_CUT,T04_1987,FIRST_CUT,1987-11-04,1987-11-04,HISTORICAL_TARGET_RECONSTRUCTION,True,7.3125,6.8125,-50.0,True,1987,B02,4,68.75,6.625,7.3125,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T05_1988_FIRST_HIKE,T05_1988,FIRST_HIKE,1988-03-30,1988-03-30,HISTORICAL_TARGET_RECONSTRUCTION,True,6.5,6.75,25.0,True,1988,B02,16,331.25,6.5,9.8125,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T05_1988_LAST_HIKE,T05_1988,LAST_HIKE,1989-05-17,1989-05-17,HISTORICAL_TARGET_RECONSTRUCTION,True,9.75,9.8125,6.25,True,1988,B02,16,331.25,6.5,9.8125,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
T05_1988_FIRST_CUT,T05_1988,FIRST_CUT,1989-06-06,1989-06-06,HISTORICAL_TARGET_RECONSTRUCTION,True,9.8125,9.5625,-25.0,False,1988,B02,16,331.25,6.5,9.8125,RETROSPECTIVE_CYCLE_ONTOLOGY,DESCRIPTIVE_PATH,FED-CYCLE-PATH-001-v1.1,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
