series_id,anchor,n_legs,n_broad_episodes,support_status,weighted_median_change_3m,weighted_median_change_6m,weighted_median_change_12m,weighted_median_change_24m,weighted_median_min_change_24m,weighted_median_trough_month_24m,weighted_median_max_change_24m,weighted_median_peak_month_24m
HOUST,FIRST_CUT,7,5,SUPPORTED_DESCRIPTIVE,0.05008635578583753,0.06023316062176165,0.006039915966386644,0.13231486276540672,-0.14889705882352944,10.0,0.1645077720207253,14.0
HOUST,FIRST_HIKE,7,6,SUPPORTED_DESCRIPTIVE,-0.007527504342790814,0.01737116386797921,-0.0007175316909829865,0.003282724661469061,-0.07447681575707832,15.0,0.07221664994984955,8.0
HOUST,LAST_HIKE,8,6,SUPPORTED_DESCRIPTIVE,-0.08133682303201129,-0.04916533272353085,-0.0674486803519061,-0.06221408966148201,-0.12417104962268466,12.0,0.02767612076852699,10.0
HOUST,PAUSE_START,6,6,SUPPORTED_DESCRIPTIVE,-0.07563427477261864,-0.03600416233090531,-0.04399524375743169,-0.03876337693222365,-0.08329344183820009,10.0,0.055172413793103336,5.0
HSN1F,FIRST_CUT,7,5,SUPPORTED_DESCRIPTIVE,0.005364806866952732,0.025866276232308305,0.02817597627286217,0.06198145436798441,-0.07367668097281832,9.0,0.10085836909871237,15.0
HSN1F,FIRST_HIKE,7,6,SUPPORTED_DESCRIPTIVE,-0.03181818181818186,-0.02285500187336076,-0.06669164481079048,-0.003636363636363771,-0.11342155009451793,12.0,0.06643262219821766,14.0
HSN1F,LAST_HIKE,8,6,SUPPORTED_DESCRIPTIVE,-0.026569118213323084,0.049287639584135734,0.05236811705814404,0.0589139344262295,-0.07455507455507449,2.0,0.10974201001155182,9.0
HSN1F,PAUSE_START,6,6,SUPPORTED_DESCRIPTIVE,-0.05280000000000007,0.040040547389761816,0.036425449247207364,0.00048567265662935455,-0.0655658086449733,1.0,0.06893056259503294,11.0
PERMIT,FIRST_CUT,7,5,SUPPORTED_DESCRIPTIVE,0.05217574989438112,0.03274186734262785,0.03906249999999978,0.1097783572359845,-0.07686491935483875,11.0,0.13611473272490215,10.0
PERMIT,FIRST_HIKE,7,6,SUPPORTED_DESCRIPTIVE,-0.01853612167300378,-0.0044543429844098315,-0.03934760448521912,0.009743346007604403,-0.08208717785555208,13.0,0.04016309887869518,9.0
PERMIT,LAST_HIKE,8,6,SUPPORTED_DESCRIPTIVE,-0.055465587044534526,0.006719761075161701,-0.0434782608695653,-0.06499556344276847,-0.06943753111000495,18.0,0.041902834008097134,8.0
PERMIT,PAUSE_START,6,6,SUPPORTED_DESCRIPTIVE,-0.026508035900646987,-0.01189730745147155,-0.0026833631484793896,-0.08353378526131638,-0.09337415263503168,17.0,0.018150010933741578,13.0
