series_id,anchor,n_legs,n_broad_episodes,support_status,weighted_median_change_3m_pp,weighted_median_change_6m_pp,weighted_median_change_12m_pp,weighted_median_change_24m_pp,weighted_median_max_increase_24m_pp,weighted_median_max_pressure_month_24m,weighted_median_min_change_24m_pp,weighted_median_min_rate_month_24m
DGS10,FIRST_CUT,7,5,SUPPORTED_DESCRIPTIVE,-0.36718181818181805,-0.4309523809523821,-0.3790909090909089,-0.7554285714285711,0.034066985645932135,4.0,-1.3704999999999998,15.0
DGS10,FIRST_HIKE,7,6,SUPPORTED_DESCRIPTIVE,0.37573809523809576,0.735954545454546,0.5577727272727282,0.13934210526315782,1.1215000000000002,12.0,-0.6540454545454537,12.0
DGS10,LAST_HIKE,8,6,SUPPORTED_DESCRIPTIVE,-0.3910000000000009,-0.5455000000000005,-0.5991626794258371,-1.010476190476191,-0.003636363636363882,0.0,-1.6,17.0
DGS10,PAUSE_START,6,6,SUPPORTED_DESCRIPTIVE,-0.641454545454545,-0.7735406698564593,-1.0750125313283205,-1.5139545454545456,-0.1622727272727289,0.0,-1.8170927318295726,16.0
MORTGAGE30US,FIRST_CUT,7,5,SUPPORTED_DESCRIPTIVE,-0.3045,-0.5360000000000005,-0.5345000000000004,-1.1575000000000006,-0.09450000000000003,11.0,-1.4075000000000006,19.0
MORTGAGE30US,FIRST_HIKE,7,6,SUPPORTED_DESCRIPTIVE,0.5675000000000008,0.5875000000000004,1.1395,0.01499999999999968,1.1575000000000006,12.0,-0.19299999999999962,12.0
MORTGAGE30US,LAST_HIKE,8,6,SUPPORTED_DESCRIPTIVE,-0.19500000000000028,-0.46250000000000036,-1.0075000000000003,-1.3464999999999998,0.16500000000000004,0.0,-1.5350000000000001,17.0
MORTGAGE30US,PAUSE_START,6,6,SUPPORTED_DESCRIPTIVE,-0.6029999999999998,-0.8725,-1.0135,-1.4924999999999997,-0.20999999999999908,0.0,-1.7975000000000012,16.0
MORTGAGE_SPREAD_PP,FIRST_CUT,7,5,SUPPORTED_DESCRIPTIVE,0.032419913419913016,-0.020199134199135216,-0.018272727272726108,-0.2416221532091103,0.09068181818181831,15.0,-0.387,20.0
MORTGAGE_SPREAD_PP,FIRST_HIKE,7,6,SUPPORTED_DESCRIPTIVE,0.10466666666666757,-0.033086956521739985,0.029318181818182687,0.021136363636363953,0.2566578947368421,15.0,-0.13015789473684158,7.0
MORTGAGE_SPREAD_PP,LAST_HIKE,8,6,SUPPORTED_DESCRIPTIVE,-0.04572727272727395,-0.02049999999999974,-0.09850000000000048,-0.13747368421052641,0.12049999999999983,10.0,-0.2670238095238098,17.0
MORTGAGE_SPREAD_PP,PAUSE_START,6,6,SUPPORTED_DESCRIPTIVE,-0.05949999999999811,-0.11263157894736864,-0.1988311688311697,-0.1550263157894749,0.13047368421052497,9.0,-0.4330909090909101,12.0
