gate_family,test,observed,threshold,pass,bridge_status
G1,overlap_months_ge_240,263.0,>=240,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G2,pearson_monthly_ge_0.97,0.99987305984788,>=0.97,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G2,spearman_monthly_ge_0.97,0.9997908877179186,>=0.97,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G3,beta_in_0.80_1.20,1.0006303459214971,"[0.80,1.20]",True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G3,abs_intercept_le_0.0030,8.428907850057051e-05,<=0.0030,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G4,event_ret12_sign_agreement_ge_0.85,1.0,>=0.85,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G4,event_ret12_corr_ge_0.95,0.9999805237750936,>=0.95,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G4,event_ret12_median_abs_diff_le_0.04,0.0018159481739135064,<=0.04,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G5,event_mdd_corr_ge_0.90,0.9999906819573993,>=0.90,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G5,event_mdd_median_abs_diff_le_0.04,0.000193997646694255,<=0.04,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G6,four_phase_direction_agreement,1.0,true,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G6,phase_median_abs_ret12_diff_le_0.03,0.0016129472826550417,<=0.03,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G6,phase_max_abs_ret12_diff_le_0.06,0.00215889328092711,<=0.06,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
