gate_family,test,observed,threshold,pass,bridge_status
G1,overlap_months_ge_240,289.0,>=240,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G2,pearson_monthly_ge_0.95,0.9910735183466789,>=0.95,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G2,spearman_monthly_ge_0.95,0.9932724814063556,>=0.95,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G3,beta_in_0.75_1.25,0.8744019912568024,"[0.75,1.25]",True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G3,abs_intercept_le_0.0025,0.00040240904001318206,<=0.0025,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G4,event_ret12_sign_agreement_ge_0.85,1.0,>=0.85,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G4,event_ret12_corr_ge_0.90,0.9948397395079905,>=0.90,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G4,event_ret12_median_abs_diff_le_0.05,0.006786449357059521,<=0.05,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G5,event_mdd_corr_ge_0.80,0.9988363731806136,>=0.80,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G5,event_mdd_median_abs_diff_le_0.04,0.006806810465327606,<=0.04,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G6,four_phase_direction_agreement,1.0,true,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G6,phase_median_abs_ret12_diff_le_0.04,0.004186489083365608,<=0.04,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
G6,phase_max_abs_ret12_diff_le_0.07,0.016181168503106358,<=0.07,True,BRIDGE_PASS_SUPPORTED_PROXY_EXTENSION
