event_id,cycle_id,cycle_start_year,event_type,event_date,asset,asset_kind,baseline_date,baseline_value,first_post_date,usable_post_obs_252,ret_1d,ret_5d,ret_20d,ret_60d,ret_120d,ret_252d,mae,mfe,time_to_event_min_obs,time_to_event_max_obs,mdd,mdd_peak_obs,mdd_trough_obs,time_peak_to_trough_obs,recovery50_obs_from_trough,recovery100_obs_from_trough,recovery50_obs_from_event,recovery100_obs_from_event,recovery50_observed,recovery100_observed,recovery_censor_obs,rv_20d_ann,down_semivol_20d_ann,tail_loss_freq_20d,rv_60d_ann,down_semivol_60d_ann,tail_loss_freq_60d,rv_120d_ann,down_semivol_120d_ann,tail_loss_freq_120d,rv_252d_ann,down_semivol_252d_ann,tail_loss_freq_252d,min_bp_excursion,max_bp_excursion,time_to_min_obs,time_to_max_obs,chg_1d_bp,chg_5d_bp,chg_20d_bp,chg_60d_bp,chg_120d_bp,chg_252d_bp,bp_vol_20d_ann,bp_vol_60d_ann,bp_vol_120d_ann,bp_vol_252d_ann
EMERGENCY_1982-10-01,,1982,EMERGENCY_CUT,1982-10-01,SP500,price,1982-09-30,120.41999816894531,1982-10-01,252,0.012871641548966029,0.0695898107476769,0.10936720120580179,0.18061784031490724,0.25112112566833233,0.39511711139790506,0.0,0.41994691989008914,0.0,184.0,0.0705496524630056,28.0,38.0,10.0,4.0,30.0,42.0,68.0,True,True,756.0,0.2716749837478498,0.16360382463353396,0.1,0.2389497177069928,0.14104255027983786,0.11666666666666667,0.20528894400366776,0.1264171533875438,0.10833333333333334,0.17009380540931865,0.10737696094677346,0.07936507936507936,,,,,,,,,,,,,,
EMERGENCY_1982-10-01,,1982,EMERGENCY_CUT,1982-10-01,NASDAQ,price,1982-09-30,187.65,1982-10-01,252,0.005595523581134909,0.04231281641353579,0.1290700772715161,0.24273914201971736,0.4256328270716758,0.5974420463629095,0.0,0.7527844391153744,0.0,186.0,0.12024565990696545,186.0,231.0,45.0,565.0,595.0,796.0,826.0,True,True,756.0,0.17100166546462411,0.09119991190363483,0.05,0.16958001467696987,0.10490857862350672,0.11666666666666667,0.14471627205506649,0.09154114131586656,0.06666666666666667,0.13665187380676416,0.09156151993971437,0.07142857142857142,,,,,,,,,,,,,,
EMERGENCY_1982-10-01,,1982,EMERGENCY_CUT,1982-10-01,DGS2,rate,1982-09-30,11.23,1982-10-01,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-214.00000000000006,27.999999999999936,71.0,2.0,-9.999999999999964,-76.99999999999996,-138.00000000000009,-171.00000000000009,-132.00000000000003,-67.99999999999997,397.21011276679553,255.64858693135773,204.60533027384847,173.83199289252832
EMERGENCY_1982-10-01,,1982,EMERGENCY_CUT,1982-10-01,DGS10,rate,1982-09-30,11.73,1982-10-01,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-161.0000000000001,46.999999999999886,147.0,213.0,-22.000000000000064,-82.00000000000003,-101.99999999999996,-129.00000000000009,-108.99999999999999,-25.99999999999998,333.6191967214307,225.72939401423514,177.98871411676956,155.24482656532808
EMERGENCY_1982-10-07,,1982,EMERGENCY_CUT,1982-10-07,SP500,price,1982-10-06,125.97000122070312,1982-10-07,252,0.02246568074645361,0.08525843763665009,0.13415887697639284,0.11645628345468584,0.20544577782030804,0.319917461786406,0.0,0.357386709821369,0.0,180.0,0.0705496524630056,24.0,34.0,10.0,4.0,30.0,38.0,64.0,True,True,756.0,0.28079390987968306,0.16305310948252028,0.1,0.23154365212724226,0.14289798946678958,0.11666666666666667,0.20092397018626743,0.12671293214756915,0.10833333333333334,0.16707200912239906,0.10764545550965884,0.07936507936507936,,,,,,,,,,,,,,
EMERGENCY_1982-10-07,,1982,EMERGENCY_CUT,1982-10-07,NASDAQ,price,1982-10-06,191.98,1982-10-07,252,0.018804042087717576,0.06870507344515042,0.16038128971767907,0.2105948536305866,0.4019689550994894,0.5356287113240963,0.0,0.7132513803521203,0.0,182.0,0.12024565990696545,182.0,227.0,45.0,565.0,595.0,792.0,822.0,True,True,756.0,0.17588710929209272,0.09029512313420526,0.05,0.16824753998746242,0.10538151302059505,0.11666666666666667,0.14366196140067986,0.09186737147045519,0.06666666666666667,0.1363713123007411,0.0921827730310089,0.07142857142857142,,,,,,,,,,,,,,
EMERGENCY_1982-10-07,,1982,EMERGENCY_CUT,1982-10-07,DGS2,rate,1982-10-06,11.21,1982-10-07,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-212.0000000000001,19.99999999999993,67.0,211.0,-75.0,-137.0000000000001,-148.00000000000006,-182.00000000000003,-134.00000000000017,-76.00000000000016,365.40054446420424,242.427805084248,193.69308651757794,168.16449924041893
EMERGENCY_1982-10-07,,1982,EMERGENCY_CUT,1982-10-07,DGS10,rate,1982-10-06,11.5,1982-10-07,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-138.00000000000009,69.99999999999993,143.0,209.0,-58.999999999999986,-89.00000000000006,-101.99999999999996,-115.00000000000003,-88.00000000000009,-16.999999999999993,314.84311882854314,214.78199432155773,170.63562830504878,151.47575509787072
EMERGENCY_1982-11-19,,1982,EMERGENCY_CUT,1982-11-19,SP500,price,1982-11-18,138.33999633789062,1982-11-19,252,-0.009541651730318512,-0.025010781745484656,-0.006144216186405593,0.07655050324003865,0.192424541569006,0.20052050186129877,-0.03910657658899763,0.24801213291051982,3.0,225.0,0.06906843931211504,149.0,181.0,32.0,7.0,44.0,188.0,225.0,True,True,756.0,0.21081661566124263,0.13486016261601672,0.15,0.18938293833086653,0.12093755914017885,0.11666666666666667,0.16315831242940926,0.10198385768337354,0.075,0.1456502222352537,0.096021200892302,0.047619047619047616,,,,,,,,,,,,,,
EMERGENCY_1982-11-19,,1982,EMERGENCY_CUT,1982-11-19,NASDAQ,price,1982-11-18,229.28,1982-11-19,252,0.0005669923237963115,-0.002791346824843055,-0.0015265177948360353,0.1281838799720867,0.3210484996510816,0.22095254710397771,-0.017925680390788568,0.4345341939986045,3.0,151.0,0.18041409504119676,151.0,246.0,95.0,422.0,545.0,668.0,791.0,True,True,756.0,0.17543575923555516,0.13124055078280011,0.2,0.14674743624265305,0.10281089556103046,0.08333333333333333,0.12339663236243464,0.08060216703728403,0.041666666666666664,0.12704323177445498,0.09155546942931189,0.06349206349206349,,,,,,,,,,,,,,
EMERGENCY_1982-11-19,,1982,EMERGENCY_CUT,1982-11-19,DGS2,rate,1982-11-18,9.81,1982-11-19,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72.00000000000006,159.99999999999997,39.0,183.0,-2.000000000000135,-5.000000000000071,-15.000000000000036,-3.0000000000001137,-58.999999999999986,83.99999999999999,164.23747248548682,141.21447805929597,127.67783445753119,136.15271482048394
EMERGENCY_1982-11-19,,1982,EMERGENCY_CUT,1982-11-19,DGS10,rate,1982-11-18,10.46,1982-11-19,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.00000000000016,173.99999999999983,115.0,181.0,-4.000000000000092,4.999999999999893,17.99999999999997,33.999999999999986,-28.000000000000114,118.99999999999994,166.32586911494533,128.2799375307039,116.3212589947238,127.4017862490249
EMERGENCY_1982-12-14,,1982,EMERGENCY_CUT,1982-12-14,SP500,price,1982-12-13,139.9499969482422,1982-12-14,252,-0.018220815343789387,-0.026437992346727723,0.0416577488973493,0.09231867417420192,0.17484817259233587,0.17956416885172466,-0.03365481641861001,0.23365486003072689,2.0,209.0,0.06906843931211504,133.0,165.0,32.0,7.0,44.0,172.0,209.0,True,True,756.0,0.20266687180453619,0.11932439059161896,0.15,0.1807506903202788,0.11866737686213996,0.13333333333333333,0.15155570274029967,0.09709186828365401,0.06666666666666667,0.13805299445711744,0.09253988473448237,0.04365079365079365,,,,,,,,,,,,,,
EMERGENCY_1982-12-14,,1982,EMERGENCY_CUT,1982-12-14,NASDAQ,price,1982-12-13,233.33,1982-12-14,252,-0.008571551022157453,-0.023357476535379118,0.03222903184331205,0.13598765696652815,0.34509064415205937,0.2022028886126943,-0.03312904470063871,0.4096344233489051,3.0,135.0,0.18041409504119676,135.0,230.0,95.0,422.0,545.0,652.0,775.0,True,True,756.0,0.1477586899887576,0.100606284858483,0.05,0.13246917646743678,0.09211558553786232,0.03333333333333333,0.11762264156913035,0.07573616706656353,0.025,0.12240035481783242,0.0884778576219231,0.051587301587301584,,,,,,,,,,,,,,
EMERGENCY_1982-12-14,,1982,EMERGENCY_CUT,1982-12-14,DGS2,rate,1982-12-13,9.84,1982-12-14,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.0,157.00000000000003,23.0,167.0,-30.00000000000007,-16.999999999999993,-65.00000000000003,-22.000000000000064,16.999999999999993,108.0,156.46237146423002,146.57347321683943,128.75633622329852,134.2057645967415
EMERGENCY_1982-12-14,,1982,EMERGENCY_CUT,1982-12-14,DGS10,rate,1982-12-13,10.61,1982-12-14,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49.00000000000002,159.0,99.0,165.0,-14.999999999999858,8.999999999999986,-26.999999999999957,-12.9999999999999,17.99999999999997,136.0000000000001,104.32202169497226,117.64109451481667,106.82993631991756,122.45861159504004
T01_1983_FIRST_HIKE,T01_1983,1983,FIRST_HIKE,1983-03-31,SP500,price,1983-03-30,153.38999938964844,1983-03-31,252,-0.0028032640817017285,-0.010626539469968166,0.062324777342941395,0.11095902171057404,0.1033314177363851,0.04231048646579527,-0.015320464912096599,0.12556225688423672,4.0,134.0,0.10634231832848862,134.0,228.0,94.0,117.0,230.0,345.0,458.0,True,True,756.0,0.12378694764574372,0.0572199903695366,0.0,0.11703974131141938,0.06896134811208156,0.0,0.1321709463332805,0.08862316726675186,0.025,0.12366696806534731,0.08579782434812946,0.01984126984126984,,,,,,,,,,,,,,
T01_1983_FIRST_HIKE,T01_1983,1983,FIRST_HIKE,1983-03-31,NASDAQ,price,1983-03-30,270.76,1983-03-31,252,0.00014773230905595902,-0.01484709706012699,0.0741616191461072,0.21476584429014633,0.12040183188063236,-0.07294282759639537,-0.08742059388388235,0.21476584429014633,228.0,60.0,0.24876105925633152,60.0,228.0,168.0,244.0,472.0,472.0,700.0,True,True,756.0,0.09836624458202592,0.04831724558199593,0.0,0.10430003523812043,0.05357721088378537,0.016666666666666666,0.13118379257909155,0.09425372955800328,0.09166666666666666,0.11952447684244275,0.09054158826257308,0.07539682539682539,,,,,,,,,,,,,,
