date,target_before,target,change_bp,direction
1982-10-01,10.25,10.0,-25.0,CUT
1982-10-07,10.0,9.5,-50.0,CUT
1982-11-19,9.5,9.0,-50.0,CUT
1982-12-14,9.0,8.5,-50.0,CUT
1983-03-31,8.5,8.625,12.5,HIKE
1983-05-25,8.625,8.75,12.5,HIKE
1983-06-24,8.75,9.0,25.0,HIKE
1983-07-14,9.0,9.25,25.0,HIKE
1983-07-20,9.25,9.4375,18.75,HIKE
1983-08-11,9.4375,9.5625,12.5,HIKE
1983-08-17,9.5625,9.5,-6.25,CUT
1983-09-15,9.5,9.375,-12.5,CUT
1984-03-29,9.375,10.5,112.5,HIKE
1984-07-05,10.5,11.0,50.0,HIKE
1984-07-19,11.0,11.25,25.0,HIKE
1984-08-09,11.25,11.5,25.0,HIKE
1984-09-20,11.5,11.25,-25.0,CUT
1984-09-27,11.25,11.0,-25.0,CUT
1984-10-11,11.0,10.5,-50.0,CUT
1984-10-18,10.5,10.0,-50.0,CUT
1984-11-08,10.0,9.5,-50.0,CUT
1984-11-23,9.5,9.0,-50.0,CUT
1984-12-06,9.0,8.75,-25.0,CUT
1984-12-19,8.75,8.5,-25.0,CUT
1984-12-24,8.5,8.125,-37.5,CUT
1985-01-24,8.125,8.25,12.5,HIKE
1985-02-14,8.25,8.375,12.5,HIKE
1985-03-28,8.375,8.5,12.5,HIKE
1985-04-25,8.5,8.25,-25.0,CUT
1985-05-20,8.25,7.75,-50.0,CUT
1985-07-11,7.75,7.6875,-6.25,CUT
1985-07-25,7.6875,7.75,6.25,HIKE
1985-08-21,7.75,7.8125,6.25,HIKE
1985-09-06,7.8125,8.0,18.75,HIKE
1985-12-18,8.0,7.75,-25.0,CUT
1986-03-07,7.75,7.25,-50.0,CUT
1986-04-02,7.25,7.3125,6.25,HIKE
1986-04-21,7.3125,6.75,-56.25,CUT
1986-05-22,6.75,6.8125,6.25,HIKE
1986-06-05,6.8125,6.875,6.25,HIKE
1986-07-11,6.875,6.375,-50.0,CUT
1986-08-21,6.375,5.875,-50.0,CUT
1987-01-05,5.875,6.0,12.5,HIKE
1987-04-30,6.0,6.5,50.0,HIKE
1987-05-22,6.5,6.75,25.0,HIKE
1987-07-02,6.75,6.625,-12.5,CUT
1987-08-27,6.625,6.75,12.5,HIKE
1987-09-03,6.75,6.875,12.5,HIKE
1987-09-04,6.875,7.25,37.5,HIKE
1987-09-24,7.25,7.3125,6.25,HIKE
1987-11-04,7.3125,6.8125,-50.0,CUT
1988-01-28,6.8125,6.625,-18.75,CUT
1988-02-11,6.625,6.5,-12.5,CUT
1988-03-30,6.5,6.75,25.0,HIKE
1988-05-09,6.75,7.0,25.0,HIKE
1988-05-25,7.0,7.25,25.0,HIKE
1988-06-22,7.25,7.4375,18.75,HIKE
1988-07-01,7.4375,7.5,6.25,HIKE
1988-07-19,7.5,7.6875,18.75,HIKE
1988-08-08,7.6875,7.75,6.25,HIKE
1988-08-09,7.75,8.125,37.5,HIKE
1988-11-17,8.125,8.3125,18.75,HIKE
1988-11-22,8.3125,8.375,6.25,HIKE
1988-12-15,8.375,8.6875,31.25,HIKE
1989-01-05,8.6875,9.0,31.25,HIKE
1989-02-09,9.0,9.125,12.5,HIKE
1989-02-14,9.125,9.3125,18.75,HIKE
1989-02-24,9.3125,9.75,43.75,HIKE
1989-05-17,9.75,9.8125,6.25,HIKE
1989-06-06,9.8125,9.5625,-25.0,CUT
1989-07-07,9.5625,9.3125,-25.0,CUT
1989-07-27,9.3125,9.0625,-25.0,CUT
1989-10-19,9.0625,8.75,-31.25,CUT
1989-11-06,8.75,8.5,-25.0,CUT
1989-12-20,8.5,8.25,-25.0,CUT
1990-07-13,8.25,8.0,-25.0,CUT
1990-10-29,8.0,7.75,-25.0,CUT
1990-11-14,7.75,7.5,-25.0,CUT
1990-12-07,7.5,7.25,-25.0,CUT
1990-12-19,7.25,7.0,-25.0,CUT
1991-01-09,7.0,6.75,-25.0,CUT
1991-02-01,6.75,6.25,-50.0,CUT
1991-03-08,6.25,6.0,-25.0,CUT
1991-04-30,6.0,5.75,-25.0,CUT
1991-08-06,5.75,5.5,-25.0,CUT
1991-09-13,5.5,5.25,-25.0,CUT
1991-10-31,5.25,5.0,-25.0,CUT
1991-11-06,5.0,4.75,-25.0,CUT
1991-12-06,4.75,4.5,-25.0,CUT
1991-12-20,4.5,4.0,-50.0,CUT
1992-04-09,4.0,3.75,-25.0,CUT
1992-07-02,3.75,3.25,-50.0,CUT
1992-09-04,3.25,3.0,-25.0,CUT
1994-02-04,3.0,3.25,25.0,HIKE
1994-03-22,3.25,3.5,25.0,HIKE
1994-04-18,3.5,3.75,25.0,HIKE
1994-05-17,3.75,4.25,50.0,HIKE
1994-08-16,4.25,4.75,50.0,HIKE
1994-11-15,4.75,5.5,75.0,HIKE
1995-02-01,5.5,6.0,50.0,HIKE
1995-07-06,6.0,5.75,-25.0,CUT
1995-12-19,5.75,5.5,-25.0,CUT
1996-01-31,5.5,5.25,-25.0,CUT
1997-03-25,5.25,5.5,25.0,HIKE
1998-09-29,5.5,5.25,-25.0,CUT
1998-10-15,5.25,5.0,-25.0,CUT
1998-11-17,5.0,4.75,-25.0,CUT
1999-06-30,4.75,5.0,25.0,HIKE
1999-08-24,5.0,5.25,25.0,HIKE
1999-11-16,5.25,5.5,25.0,HIKE
2000-02-02,5.5,5.75,25.0,HIKE
2000-03-21,5.75,6.0,25.0,HIKE
2000-05-16,6.0,6.5,50.0,HIKE
2001-01-03,6.5,6.0,-50.0,CUT
2001-01-31,6.0,5.5,-50.0,CUT
2001-03-20,5.5,5.0,-50.0,CUT
2001-04-18,5.0,4.5,-50.0,CUT
2001-05-15,4.5,4.0,-50.0,CUT
2001-06-27,4.0,3.75,-25.0,CUT
2001-08-21,3.75,3.5,-25.0,CUT
2001-09-17,3.5,3.0,-50.0,CUT
2001-10-02,3.0,2.5,-50.0,CUT
2001-11-06,2.5,2.0,-50.0,CUT
2001-12-11,2.0,1.75,-25.0,CUT
2002-11-06,1.75,1.25,-50.0,CUT
2003-06-25,1.25,1.0,-25.0,CUT
2004-06-30,1.0,1.25,25.0,HIKE
2004-08-10,1.25,1.5,25.0,HIKE
2004-09-21,1.5,1.75,25.0,HIKE
