year,url,status,scheduled_meetings,sha256
1982,https://www.federalreserve.gov/monetarypolicy/fomchistorical1982.htm,OK,7,e4bdf0dd5fa404cdb806e337d28632bb103fae47f9ef39a1c8ee7409044e0fe5
1983,https://www.federalreserve.gov/monetarypolicy/fomchistorical1983.htm,OK,8,9b2684a40e3274d730f59dca568df222f2d7b1b921fdc18a1e2fc89d61491c80
1984,https://www.federalreserve.gov/monetarypolicy/fomchistorical1984.htm,OK,8,b8787625110a454de158e7c81de700e049466bb7011e824abde249f401f086e4
1985,https://www.federalreserve.gov/monetarypolicy/fomchistorical1985.htm,OK,8,6696d03cbf10bb97e44219b1a945b32adc2c434f0ca55bd8daae280c4dfc2bb2
1986,https://www.federalreserve.gov/monetarypolicy/fomchistorical1986.htm,OK,8,b081eca484d5ce5a4e562fecd402394d4c75053fdc50baddd6bb33932b3c2421
1987,https://www.federalreserve.gov/monetarypolicy/fomchistorical1987.htm,OK,8,763d8149c4dfdaee57249c4ae4d1868126997bbeda86591bb19a6a0d94803308
1988,https://www.federalreserve.gov/monetarypolicy/fomchistorical1988.htm,OK,8,3f298ceb0208fbacc9112a9434cfb24382ea135fd8c90bf17fcbeb0b57bf6583
1989,https://www.federalreserve.gov/monetarypolicy/fomchistorical1989.htm,OK,8,6e5a6d56f87c1b30a735ac03c76651bbc32ddbd179dc9923aa4cc48fb0c63597
1990,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,OK,8,6ca687bd44fb598b1d169a61bd985a66d03323dd695cfe738e55c3360fdf2681
1991,https://www.federalreserve.gov/monetarypolicy/fomchistorical1991.htm,OK,8,6238a657c9950e0c567cf177de3fe69b02918a8b7204d621dd54995ba2437a05
1992,https://www.federalreserve.gov/monetarypolicy/fomchistorical1992.htm,OK,7,3b259bdf67089426874c5c770de625be8994b3d88676e3aacecbedb4802f3b3d
1993,https://www.federalreserve.gov/monetarypolicy/fomchistorical1993.htm,OK,8,eadbb2fa55a91febbb46a2190d8db87318c037c767e3347e031e49119dc2adc6
1994,https://www.federalreserve.gov/monetarypolicy/fomchistorical1994.htm,OK,8,79101476e09a75316f7b66b4fe15a8c7e931247a7a5ab53fac73c3245ca0b281
1995,https://www.federalreserve.gov/monetarypolicy/fomchistorical1995.htm,OK,7,4cb79f4950e828bd6ca961e9502ec3c7282d04079b961678096eed07a5fa88d6
1996,https://www.federalreserve.gov/monetarypolicy/fomchistorical1996.htm,OK,8,546a647e2a5fafeb5e2886648c5a00cfa4c644082e55c152dff0dd8f684976c5
1997,https://www.federalreserve.gov/monetarypolicy/fomchistorical1997.htm,OK,8,af59ca2e2866f86594bf6226baea49e714ce14e5d566ecbdd9dc0f23656911d3
1998,https://www.federalreserve.gov/monetarypolicy/fomchistorical1998.htm,OK,7,b5a7ce71b994e59cafa249b48d2d0bc6b9d13368e6b2191b4c7157a9cc74e3cc
1999,https://www.federalreserve.gov/monetarypolicy/fomchistorical1999.htm,OK,8,77ccb4c3bb4e989bd44e915494063e93b9f54a33290fa893d3d28adc8cc88247
2000,https://www.federalreserve.gov/monetarypolicy/fomchistorical2000.htm,OK,8,33115b429b9c8a1020f81610a80b5e6402cda0492c5a3ee123be9a3cb8325692
2001,https://www.federalreserve.gov/monetarypolicy/fomchistorical2001.htm,OK,8,7914482d7353af75e9aa7246db6f95eb9f9931d78fa07e340b263a57d19fe27f
2002,https://www.federalreserve.gov/monetarypolicy/fomchistorical2002.htm,OK,8,226bdd9ea557634a958edb9a6b44848899e0da30a7771ff46b1aa2d812801b9a
2003,https://www.federalreserve.gov/monetarypolicy/fomchistorical2003.htm,OK,9,aac64b4d69420e006889d0c15baee4cb62c4e4811c2e4fde5b9436a562c650af
2004,https://www.federalreserve.gov/monetarypolicy/fomchistorical2004.htm,OK,8,8e56e49b40ac3fb5ad79bcdcd8d856c1c0e3aeb87d3084ce5ea0f91cad3e8fdc
2005,https://www.federalreserve.gov/monetarypolicy/fomchistorical2005.htm,OK,8,5b78c6850606c9f6c9efa7bddece9428be3725ba4e3bc470eb71e4a34e9592ca
2006,https://www.federalreserve.gov/monetarypolicy/fomchistorical2006.htm,OK,8,772c04f82eb592f192f7c77de8ed19b7bcc0045aeb7d8223cb0bfdf92d350afa
2007,https://www.federalreserve.gov/monetarypolicy/fomchistorical2007.htm,OK,8,edbc877de3ee18a8b0dcdfb91d9c1f309152e8547dbee0522bdee3270851e95b
2008,https://www.federalreserve.gov/monetarypolicy/fomchistorical2008.htm,OK,8,8da0a65d9a0f1d3b3be5ffc99868ba4c4be895b22bdc39c6cd456bc78a4143a2
2009,https://www.federalreserve.gov/monetarypolicy/fomchistorical2009.htm,OK,8,9c41658c571ad15d5df9b025d6269b17a6369394585ec1a72ae0fbdf144c5a88
