time_obs,at_risk,events,censored,survival,asset,event_type,recovery_level
0,3,0,0,1.0,GOLD,FIRST_HIKE,100%
95,3,1,0,0.6666666666666667,GOLD,FIRST_HIKE,100%
150,2,1,0,0.33333333333333337,GOLD,FIRST_HIKE,100%
629,1,1,0,0.0,GOLD,FIRST_HIKE,100%
0,3,0,0,1.0,GOLD,LAST_HIKE,100%
10,3,1,0,0.6666666666666667,GOLD,LAST_HIKE,100%
36,2,1,0,0.33333333333333337,GOLD,LAST_HIKE,100%
87,1,1,0,0.0,GOLD,LAST_HIKE,100%
0,4,0,0,1.0,GOLD,FIRST_CUT,100%
13,4,1,0,0.75,GOLD,FIRST_CUT,100%
30,3,1,0,0.5,GOLD,FIRST_CUT,100%
50,2,1,0,0.25,GOLD,FIRST_CUT,100%
252,1,1,0,0.0,GOLD,FIRST_CUT,100%
