event_id,cycle_id,cycle_start_year,event_type,event_date,asset,asset_kind,baseline_date,baseline_value,first_post_date,usable_post_obs_252,ret_1d,ret_5d,ret_20d,ret_60d,ret_120d,ret_252d,mae,mfe,time_to_event_min_obs,time_to_event_max_obs,mdd,mdd_peak_obs,mdd_trough_obs,time_peak_to_trough_obs,recovery50_obs_from_trough,recovery100_obs_from_trough,recovery50_obs_from_event,recovery100_obs_from_event,recovery50_observed,recovery100_observed,recovery_censor_obs,rv_20d_ann,down_semivol_20d_ann,tail_loss_freq_20d,rv_60d_ann,down_semivol_60d_ann,tail_loss_freq_60d,rv_120d_ann,down_semivol_120d_ann,tail_loss_freq_120d,rv_252d_ann,down_semivol_252d_ann,tail_loss_freq_252d,min_bp_excursion,max_bp_excursion,time_to_min_obs,time_to_max_obs,chg_1d_bp,chg_5d_bp,chg_20d_bp,chg_60d_bp,chg_120d_bp,chg_252d_bp,bp_vol_20d_ann,bp_vol_60d_ann,bp_vol_120d_ann,bp_vol_252d_ann
T01_1983_FIRST_HIKE,T01_1983,1983,FIRST_HIKE,1983-03-31,SP500,price,1983-03-30,153.38999938964844,1983-03-31,252,-0.0028032640817017285,-0.010626539469968166,0.062324777342941395,0.11095902171057404,0.1033314177363851,0.04231048646579527,-0.015320464912096599,0.12556225688423672,4.0,134.0,0.10634231832848862,134.0,228.0,94.0,117.0,230.0,345.0,458.0,True,True,756.0,0.12378694764574372,0.0572199903695366,0.0,0.11703974131141938,0.06896134811208156,0.0,0.1321709463332805,0.08862316726675186,0.025,0.12366696806534731,0.08579782434812946,0.01984126984126984,,,,,,,,,,,,,,
T01_1983_FIRST_HIKE,T01_1983,1983,FIRST_HIKE,1983-03-31,NASDAQ,price,1983-03-30,270.76,1983-03-31,252,0.00014773230905595902,-0.01484709706012699,0.0741616191461072,0.21476584429014633,0.12040183188063236,-0.07294282759639537,-0.08742059388388235,0.21476584429014633,228.0,60.0,0.24876105925633152,60.0,228.0,168.0,244.0,472.0,472.0,700.0,True,True,756.0,0.09836624458202592,0.04831724558199593,0.0,0.10430003523812043,0.05357721088378537,0.016666666666666666,0.13118379257909155,0.09425372955800328,0.09166666666666666,0.11952447684244275,0.09054158826257308,0.07539682539682539,,,,,,,,,,,,,,
T01_1983_FIRST_HIKE,T01_1983,1983,FIRST_HIKE,1983-03-31,DGS2,rate,1983-03-30,9.88,1983-03-31,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.00000000000009,184.99999999999997,26.0,252.0,-1.0000000000001563,-21.000000000000085,-46.000000000000085,54.99999999999989,81.99999999999986,184.99999999999997,92.43444334115628,117.39394781269955,142.49185735249793,123.72522891842353
T01_1983_FIRST_HIKE,T01_1983,1983,FIRST_HIKE,1983-03-31,DGS10,rate,1983-03-30,10.59,1983-03-31,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47.000000000000064,206.00000000000006,24.0,252.0,2.999999999999936,-8.000000000000007,-27.999999999999936,42.99999999999997,98.00000000000004,206.00000000000006,84.5351375091108,103.87396208867767,134.1638155829087,115.58815473025014
T01_1983_TIGHTENING_CYCLE_START,T01_1983,1983,TIGHTENING_CYCLE_START,1983-03-31,SP500,price,1983-03-30,153.38999938964844,1983-03-31,252,-0.0028032640817017285,-0.010626539469968166,0.062324777342941395,0.11095902171057404,0.1033314177363851,0.04231048646579527,-0.015320464912096599,0.12556225688423672,4.0,134.0,0.10634231832848862,134.0,228.0,94.0,117.0,230.0,345.0,458.0,True,True,756.0,0.12378694764574372,0.0572199903695366,0.0,0.11703974131141938,0.06896134811208156,0.0,0.1321709463332805,0.08862316726675186,0.025,0.12366696806534731,0.08579782434812946,0.01984126984126984,,,,,,,,,,,,,,
T01_1983_TIGHTENING_CYCLE_START,T01_1983,1983,TIGHTENING_CYCLE_START,1983-03-31,NASDAQ,price,1983-03-30,270.76,1983-03-31,252,0.00014773230905595902,-0.01484709706012699,0.0741616191461072,0.21476584429014633,0.12040183188063236,-0.07294282759639537,-0.08742059388388235,0.21476584429014633,228.0,60.0,0.24876105925633152,60.0,228.0,168.0,244.0,472.0,472.0,700.0,True,True,756.0,0.09836624458202592,0.04831724558199593,0.0,0.10430003523812043,0.05357721088378537,0.016666666666666666,0.13118379257909155,0.09425372955800328,0.09166666666666666,0.11952447684244275,0.09054158826257308,0.07539682539682539,,,,,,,,,,,,,,
T01_1983_TIGHTENING_CYCLE_START,T01_1983,1983,TIGHTENING_CYCLE_START,1983-03-31,DGS2,rate,1983-03-30,9.88,1983-03-31,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.00000000000009,184.99999999999997,26.0,252.0,-1.0000000000001563,-21.000000000000085,-46.000000000000085,54.99999999999989,81.99999999999986,184.99999999999997,92.43444334115628,117.39394781269955,142.49185735249793,123.72522891842353
T01_1983_TIGHTENING_CYCLE_START,T01_1983,1983,TIGHTENING_CYCLE_START,1983-03-31,DGS10,rate,1983-03-30,10.59,1983-03-31,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47.000000000000064,206.00000000000006,24.0,252.0,2.999999999999936,-8.000000000000007,-27.999999999999936,42.99999999999997,98.00000000000004,206.00000000000006,84.5351375091108,103.87396208867767,134.1638155829087,115.58815473025014
T01_1983_LAST_HIKE,T01_1983,1983,LAST_HIKE,1983-08-11,SP500,price,1983-08-10,161.5399932861328,1983-08-11,252,0.0,0.023214065592770616,0.03856636898141397,0.011823720078570465,0.011576144940555144,0.0013000292348359643,-0.08493244108047038,0.06877554210784576,241.0,42.0,0.1438168980599729,42.0,241.0,199.0,8.0,125.0,249.0,366.0,True,True,756.0,0.1149339912975533,0.061904678025969134,0.0,0.11374108060401848,0.0761463164991572,0.0,0.10349783693552249,0.06810601418694469,0.0,0.12213198576912601,0.0805603789950173,0.011904761904761904,,,,,,,,,,,,,,
T01_1983_LAST_HIKE,T01_1983,1983,LAST_HIKE,1983-08-11,NASDAQ,price,1983-08-10,296.65,1983-08-11,252,0.0030675880667454525,0.014124389010618632,0.01732681611326492,-0.07547615034552502,-0.09512893982808013,-0.1639305578965109,-0.24051913028821836,0.02666441934940167,242.0,30.0,0.26024428684003154,30.0,242.0,212.0,124.0,246.0,366.0,488.0,True,True,756.0,0.11457428048391075,0.0779373087628822,0.05,0.10579722487637841,0.08816341570902637,0.03333333333333333,0.10004727858078043,0.07834241292436507,0.03333333333333333,0.11168289697086377,0.08204102983114503,0.027777777777777776,,,,,,,,,,,,,,
