source_effective_date,event_date,event_date_basis,target_before,target,change_bp,direction,scheduled_decision_match
1982-10-01,1982-10-01,HISTORICAL_TARGET_RECONSTRUCTION,10.25,10.0,-25.0,CUT,False
1982-10-07,1982-10-07,HISTORICAL_TARGET_RECONSTRUCTION,10.0,9.5,-50.0,CUT,False
1982-11-19,1982-11-19,HISTORICAL_TARGET_RECONSTRUCTION,9.5,9.0,-50.0,CUT,False
1982-12-14,1982-12-14,HISTORICAL_TARGET_RECONSTRUCTION,9.0,8.5,-50.0,CUT,False
1983-03-31,1983-03-31,HISTORICAL_TARGET_RECONSTRUCTION,8.5,8.625,12.5,HIKE,False
1983-05-25,1983-05-25,HISTORICAL_TARGET_RECONSTRUCTION,8.625,8.75,12.5,HIKE,True
1983-06-24,1983-06-24,HISTORICAL_TARGET_RECONSTRUCTION,8.75,9.0,25.0,HIKE,False
1983-07-14,1983-07-14,HISTORICAL_TARGET_RECONSTRUCTION,9.0,9.25,25.0,HIKE,True
1983-07-20,1983-07-20,HISTORICAL_TARGET_RECONSTRUCTION,9.25,9.4375,18.75,HIKE,False
1983-08-11,1983-08-11,HISTORICAL_TARGET_RECONSTRUCTION,9.4375,9.5625,12.5,HIKE,False
1983-08-17,1983-08-17,HISTORICAL_TARGET_RECONSTRUCTION,9.5625,9.5,-6.25,CUT,False
1983-09-15,1983-09-15,HISTORICAL_TARGET_RECONSTRUCTION,9.5,9.375,-12.5,CUT,False
1984-03-29,1984-03-29,HISTORICAL_TARGET_RECONSTRUCTION,9.375,10.5,112.5,HIKE,False
1984-07-05,1984-07-05,HISTORICAL_TARGET_RECONSTRUCTION,10.5,11.0,50.0,HIKE,False
1984-07-19,1984-07-19,HISTORICAL_TARGET_RECONSTRUCTION,11.0,11.25,25.0,HIKE,False
1984-08-09,1984-08-09,HISTORICAL_TARGET_RECONSTRUCTION,11.25,11.5,25.0,HIKE,False
1984-09-20,1984-09-20,HISTORICAL_TARGET_RECONSTRUCTION,11.5,11.25,-25.0,CUT,False
