year,url,status,scheduled_meetings,sha256
1982,https://www.federalreserve.gov/monetarypolicy/fomchistorical1982.htm,OK,7,813db1bc2f435dcc0e17793c76efeb56229f71f12269ec9ee0f33f76bc191d28
1983,https://www.federalreserve.gov/monetarypolicy/fomchistorical1983.htm,OK,8,49299deb263a9951f42d64f9f96db5caa322d4f13af554acf57249fb349225fb
1984,https://www.federalreserve.gov/monetarypolicy/fomchistorical1984.htm,OK,8,3343bad0a1b113e94a53f7fa8b0feba0b4501b9d2004d13c2bd002fbc4bf28b1
1985,https://www.federalreserve.gov/monetarypolicy/fomchistorical1985.htm,OK,8,93f817f116a4d2dd7942ed5cf8e6ec27d37c0a0c0dce7c65e33e065ba920be3a
1986,https://www.federalreserve.gov/monetarypolicy/fomchistorical1986.htm,OK,8,118d5b3ddeb7d012accbdff251c6e5322170160e7d77fac121f3a86aae67c70d
1987,https://www.federalreserve.gov/monetarypolicy/fomchistorical1987.htm,OK,8,f7a6b9d006ca9dd5e5b7c48033fac6485dceb2840d15e26df4d83fbeb799d1b4
1988,https://www.federalreserve.gov/monetarypolicy/fomchistorical1988.htm,OK,8,1c058b4dcde1708533a0c8577237a3ba5c850833c4b3785a617ba7c7d5992e5c
1989,https://www.federalreserve.gov/monetarypolicy/fomchistorical1989.htm,OK,8,36b475cd6ff0fbb8104207791e6f4041e0d40bcc3412f4f29a9566986a8fee6c
1990,https://www.federalreserve.gov/monetarypolicy/fomchistorical1990.htm,OK,8,367b7eba327b4da811c45214bc9959d2ab54aacdf9077762e5350352c2cd0297
1991,https://www.federalreserve.gov/monetarypolicy/fomchistorical1991.htm,OK,8,e0bc0f6ddd3fa1a91eee390ed164c379b537e46a08ca4c39b452f7af2f4b87ed
1992,https://www.federalreserve.gov/monetarypolicy/fomchistorical1992.htm,OK,7,8f9ebbe42c214d09ae418d2bcd83e3529500c2a2e9a21459c19987fd7fbd0d74
1993,https://www.federalreserve.gov/monetarypolicy/fomchistorical1993.htm,OK,8,c20fd058dd6abf32ea61b1cf234c0110961c20bc8bfd0b996151674e448d588a
1994,https://www.federalreserve.gov/monetarypolicy/fomchistorical1994.htm,OK,8,10bf28d49aff2117f8bb41bcb4cba7bf41341f186550d3134861344b3db965e3
1995,https://www.federalreserve.gov/monetarypolicy/fomchistorical1995.htm,OK,7,34a27c77c13bdff2ccdbd4184ece294b028f256545ad064af163bbb34a6733da
1996,https://www.federalreserve.gov/monetarypolicy/fomchistorical1996.htm,OK,8,f4c3af018a8a373820083b72163529d42ef45c5eb4184d1b02d00b1da1e363bf
1997,https://www.federalreserve.gov/monetarypolicy/fomchistorical1997.htm,OK,8,7f1017b890be94e850b26b5c509f55c9c9adcc0e40063e41ad131e1b5e302a7d
1998,https://www.federalreserve.gov/monetarypolicy/fomchistorical1998.htm,OK,7,0f76c9e9789ca3583d725531eea19ea5b7d81226e695d02c387e8a446790b7e8
1999,https://www.federalreserve.gov/monetarypolicy/fomchistorical1999.htm,OK,8,cd1ab80f36b214f2541729f70fd3561b274a1a7b0cb7726a97cc70472f399955
2000,https://www.federalreserve.gov/monetarypolicy/fomchistorical2000.htm,OK,8,8aad50d0db9db44a22d20c9350c14b753b2121af53b66b39ab3a9cf524c7b523
2001,https://www.federalreserve.gov/monetarypolicy/fomchistorical2001.htm,OK,8,991d24e59bf105f0ef4c2b8816be36f50295bf73c4d00b69d9a17bc1a8742f10
2002,https://www.federalreserve.gov/monetarypolicy/fomchistorical2002.htm,OK,8,c13748b3232a227926d462a39f7361cd88602e66c34b56a3aa60ce3f31e99684
2003,https://www.federalreserve.gov/monetarypolicy/fomchistorical2003.htm,OK,9,40450d91013ed52f2626631d955ce52796da54a676900b6f5f767c0151823bb3
2004,https://www.federalreserve.gov/monetarypolicy/fomchistorical2004.htm,OK,8,cd0de8191b4b318ac6470e86c2d950c9482e82628bad0c3d98ff327fdc96995c
2005,https://www.federalreserve.gov/monetarypolicy/fomchistorical2005.htm,OK,8,f8fe91bd46e26f86cbad5e3da4c2d541cd40b52847c70ee21f4bdf8efa6075fd
2006,https://www.federalreserve.gov/monetarypolicy/fomchistorical2006.htm,OK,8,50e26b4d1618806ef9309d1e59929b80b39608b955868e1ab818d515dafa2e85
2007,https://www.federalreserve.gov/monetarypolicy/fomchistorical2007.htm,OK,8,3af10aaa7eca485746a12205322fad9bdf631a4cd64f24e12272172c579bef82
2008,https://www.federalreserve.gov/monetarypolicy/fomchistorical2008.htm,OK,8,ec438a8fcca70e9d2acacb91734c4556a9cc5e727eed2f010cb7334f415ac4d3
2009,https://www.federalreserve.gov/monetarypolicy/fomchistorical2009.htm,OK,8,1e9f7809794099e42a18548afd08918aab58056af5a06481ec94adceb89f8e0f
2010,https://www.federalreserve.gov/monetarypolicy/fomchistorical2010.htm,OK,8,35547acc84deb5a6258431a4ce253012c441645f40d45219099799b9d62faaa1
2011,https://www.federalreserve.gov/monetarypolicy/fomchistorical2011.htm,OK,8,819f037424de2b782fb6941cf18a91182f7d863a857279e9aa13091117171015
2012,https://www.federalreserve.gov/monetarypolicy/fomchistorical2012.htm,OK,7,43631325e013321f80ee371f760f574ea914e62f29326361cfd8d60714b92e84
2013,https://www.federalreserve.gov/monetarypolicy/fomchistorical2013.htm,OK,8,872b9a65053626b18334bad92248de5de014096c334790bb1ca5d4d8d5096d5a
2014,https://www.federalreserve.gov/monetarypolicy/fomchistorical2014.htm,OK,8,da8e7ad37b914363bba0818c8c338bb97c617a9ab3dfe2b3f544dc72b566ad0d
2015,https://www.federalreserve.gov/monetarypolicy/fomchistorical2015.htm,OK,8,e2712df83c42bc527f4da3d657800b937cd873a4d21f020eb90b11fda7b301bb
2016,https://www.federalreserve.gov/monetarypolicy/fomchistorical2016.htm,OK,8,dd9d24569a9a8a701e9203eb9e24cc5eab694eee67ccd28ed60cdefb9eeeaf93
2017,https://www.federalreserve.gov/monetarypolicy/fomchistorical2017.htm,OK,8,aa48660c084f74f84cc01e5e775f00ef8b4bcee7d7ae4c54a95d6ebed53fe7e8
2018,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm,OK,8,a37d209bb2a19fd22e07b93eefc54cdff10a607f503e5aacb82bafe4e80ccca3
2019,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm,OK,8,aa748ffb4e3c26aa902f33282c165f8266716d9ee4ae387c89136e367a2ada55
2020,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm,OK,7,48fa03d2fda4d2617eb0959d35a728142358436237bcd119f7c5296213deb437
2021-2026,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm,EXPLICIT_RECENT_SUPPLEMENT,48,
