asset,asset_label,primary_asset,anchor,cycle_id,broad_episode_id,cycle_start_year,anchor_date,episode_weight,baseline_period,ret_3m,ret_6m,ret_12m,mdd_12m,mae_12m,mfe_12m,event_trough_month,mdd_trough_month,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T01_1983,B01,1983,1983-03-31,0.5,1983-02,-0.15885947046843174,-0.16089613034623218,-0.19755600814663954,0.24439918533604887,-0.24439918533604887,0.0,10,10,39.0,,True,False,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T02_1984,B01,1984,1984-03-29,0.5,1984-02,-0.020725388601036232,-0.11917098445595853,-0.18652849740932642,0.22538860103626945,-0.22538860103626945,0.0,11,11,11.0,19.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T03_1987,B02,1987,1987-01-05,0.3333333333333333,1986-12,0.12020460358056262,0.15345268542199486,0.21994884910485935,0.021739130434782594,0.0,0.24296675191815864,1,5,2.0,2.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T04_1987,B02,1987,1987-08-27,0.3333333333333333,1987-07,0.037694013303769314,-0.019955654101995512,-0.04434589800443456,0.11316872427983538,-0.04434589800443456,0.07760532150776056,12,12,,,False,False,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T05_1988,B02,1988,1988-03-30,0.3333333333333333,1988-02,0.020361990950226172,-0.06561085972850678,-0.11764705882352944,0.1415929203539823,-0.12217194570135748,0.02262443438914019,11,11,,,False,False,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T06_1994,B03,1994,1994-02-04,1.0,1994-01,-0.015503875968992276,-0.018087855297157618,-0.025839793281653756,0.03826530612244894,-0.025839793281653756,0.012919896640826822,2,12,2.0,11.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T07_1999,B04,1999,1999-06-30,1.0,1999-05,-0.03985507246376807,0.0253623188405796,0.03623188405797095,0.11575562700964626,-0.07246376811594202,0.12681159420289845,1,11,21.0,24.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T08_2004,B05,2004,2004-06-30,1.0,2004-05,0.0546875,0.15104166666666674,0.12239583333333326,0.04524886877828049,0.0,0.15104166666666674,1,11,3.0,4.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,2015-11,0.14640883977900554,0.17495395948434633,0.06537753222836096,0.13656716417910453,0.0,0.2338858195211786,1,12,4.0,30.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,2022-02,-0.010237068965517238,-0.09428879310344829,0.030711206896551824,0.14093959731543626,-0.10344827586206895,0.043642241379310276,7,7,3.0,6.0,True,True,46
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T01_1983,B01,1983,1983-03-31,0.5,1983-02,0.13332882950012492,0.1387198535938774,0.0724933701988808,0.062054979990809,0.0,0.14208373960467902,11,11,6.0,11.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T02_1984,B01,1984,1984-03-29,0.5,1984-02,-0.02623673866063836,0.05635675955815622,0.14098204292720817,0.04139175879982904,-0.039252054947156556,0.1502967308684504,4,4,1.0,1.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T03_1987,B02,1987,1987-01-05,0.3333333333333333,1986-12,0.1637793956518634,0.24730679367947017,0.0075261776217492304,0.26840750338710384,-0.030769817504093577,0.3248224756038611,11,11,13.0,19.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T04_1987,B02,1987,1987-08-27,0.3333333333333333,1987-07,-0.20987243645870013,-0.1675633846840776,-0.14950872683338778,0.24384864586740285,-0.22294163119504595,0.027649245826372848,4,4,13.0,18.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T05_1988,B02,1988,1988-03-30,0.3333333333333333,1988-02,0.04863761036604286,0.0381283787092328,0.13398462364695907,0.02569875622975404,-0.007764317912781982,0.13901263400283392,2,5,1.0,2.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T06_1994,B03,1994,1994-02-04,1.0,1994-01,-0.04671166686133821,-0.018498823657162045,0.0188837519504097,0.05446329678463202,-0.05446329678463202,0.0188837519504097,2,2,4.0,10.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T07_1999,B04,1999,1999-06-30,1.0,1999-05,-0.010436437501897489,0.0725260616779404,0.09750590243023649,0.058639086441913624,-0.02407073570576279,0.09750590243023649,4,4,1.0,1.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T08_2004,B05,2004,2004-06-30,1.0,2004-05,0.013488350366405388,0.0874407527903025,0.09020070432203675,0.029341817231223755,-0.012555985234728784,0.09020070432203675,2,10,2.0,2.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,2015-11,-0.02819472657787503,0.0015739876170248746,0.07979007257752624,0.0846854814056811,-0.0846854814056811,0.07979007257752624,2,2,1.0,4.0,True,True,60
SP500,S&P 500 cash index monthly average,True,FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,2022-02,-0.12106315859216144,-0.13197984053240897,-0.10537046980116682,0.16003892255640584,-0.16003892255640584,0.0,7,7,6.0,9.0,True,True,47
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T01_1983,B01,1983,1983-03-31,0.5,1983-02,0.24717277251135705,0.17305261340442457,-0.018778609322296802,0.21324341558397197,-0.018778609322296802,0.24717277251135705,12,12,11.0,21.0,True,True,60
NASDAQ,Nasdaq Composite monthly average,True,FIRST_HIKE,T02_1984,B01,1984,1984-03-29,0.5,1984-02,-0.06238660276315566,-0.009362773409338554,0.1038190574840514,0.08641453251721487,-0.08641453251721487,0.12239074255740356,4,4,1.0,6.0,True,True,60
