asset,anchor,event_month,n_legs,n_broad_episodes,weighted_median_cum_return,weighted_median_running_mdd,weighted_q75_running_mdd,weighted_new_event_low_share,weighted_new_running_mdd_share
GOLD,FIRST_CUT,1,10,7,0.02444444444444449,0.0,0.010309278350515427,0.35714285714285715,1.0
GOLD,FIRST_CUT,2,10,7,0.022222222222222143,0.014498141263940556,0.026666666666666616,0.2619047619047619,0.5
GOLD,FIRST_CUT,3,10,7,-0.012886597938144284,0.015613382899628214,0.040590405904059046,0.38095238095238093,0.8095238095238095
GOLD,FIRST_CUT,4,10,7,0.0036900369003689537,0.026472534745201837,0.040590405904059046,0.07142857142857142,0.21428571428571427
GOLD,FIRST_CUT,5,10,7,0.06199460916442057,0.026472534745201837,0.040590405904059046,0.14285714285714285,0.14285714285714285
GOLD,FIRST_CUT,6,10,7,0.06000000000000005,0.026472534745201837,0.040590405904059046,0.0,0.047619047619047616
GOLD,FIRST_CUT,7,10,7,0.04381443298969079,0.040590405904059046,0.05991735537190079,0.047619047619047616,0.19047619047619047
GOLD,FIRST_CUT,8,10,7,0.04428044280442811,0.040590405904059046,0.08161157024793386,0.047619047619047616,0.33333333333333337
GOLD,FIRST_CUT,9,10,7,0.04428044280442811,0.040590405904059046,0.08161157024793386,0.047619047619047616,0.23809523809523808
GOLD,FIRST_CUT,10,10,7,0.01845018450184499,0.040590405904059046,0.09053497942386834,0.047619047619047616,0.23809523809523808
GOLD,FIRST_CUT,11,10,7,0.01845018450184499,0.04938271604938271,0.13326446280991733,0.11904761904761904,0.4523809523809523
GOLD,FIRST_CUT,12,10,7,0.040590405904058935,0.05432098765432103,0.1425619834710744,0.09523809523809523,0.38095238095238093
GOLD,FIRST_HIKE,1,10,7,0.011049723756906049,0.0,0.012953367875647714,0.42857142857142855,1.0
GOLD,FIRST_HIKE,2,10,7,-0.0037715517241379004,0.023316062176165775,0.04543107898812593,0.35714285714285715,0.4047619047619047
GOLD,FIRST_HIKE,3,10,7,-0.010237068965517238,0.023316062176165775,0.05162622612287038,0.21428571428571427,0.21428571428571427
GOLD,FIRST_HIKE,4,10,7,0.07760532150776056,0.025839793281653756,0.0984455958549223,0.3333333333333333,0.47619047619047616
GOLD,FIRST_HIKE,5,10,7,0.05764966740576494,0.025839793281653756,0.0984455958549223,0.047619047619047616,0.14285714285714285
GOLD,FIRST_HIKE,6,10,7,-0.018087855297157618,0.08628318584070793,0.11917098445595853,0.3095238095238095,0.4523809523809524
GOLD,FIRST_HIKE,7,10,7,0.012919896640826822,0.090032154340836,0.11917098445595853,0.2619047619047619,0.4047619047619047
GOLD,FIRST_HIKE,8,10,7,0.007751937984496138,0.090032154340836,0.11917098445595853,0.07142857142857142,0.21428571428571427
GOLD,FIRST_HIKE,9,10,7,0.0,0.090032154340836,0.14093959731543626,0.07142857142857142,0.21428571428571427
GOLD,FIRST_HIKE,10,10,7,0.01449275362318847,0.09053497942386834,0.14093959731543626,0.19047619047619047,0.619047619047619
GOLD,FIRST_HIKE,11,10,7,-0.0036231884057971175,0.09876543209876543,0.14093959731543626,0.16666666666666666,0.5952380952380952
GOLD,FIRST_HIKE,12,10,7,0.030711206896551824,0.11575562700964626,0.14093959731543626,0.047619047619047616,0.3333333333333333
GOLD,LAST_HIKE,1,10,7,0.0079155672823219,0.0,0.02298850574712641,0.4047619047619047,1.0
GOLD,LAST_HIKE,2,10,7,0.0071428571428571175,0.013896037056098764,0.04166666666666663,0.35714285714285715,0.5
GOLD,LAST_HIKE,3,10,7,-0.013896037056098764,0.01534526854219953,0.04947916666666663,0.40476190476190477,0.6904761904761905
GOLD,LAST_HIKE,4,10,7,0.021101389603705556,0.025757575757575757,0.07281553398058249,0.40476190476190477,0.6428571428571429
GOLD,LAST_HIKE,5,10,7,-0.0357142857142857,0.05594405594405594,0.09951456310679607,0.3333333333333333,0.47619047619047616
GOLD,LAST_HIKE,6,10,7,0.013192612137203241,0.05729166666666663,0.09951456310679607,0.21428571428571427,0.35714285714285715
GOLD,LAST_HIKE,7,10,7,0.01055408970976246,0.05729166666666663,0.09951456310679607,0.0,0.14285714285714285
GOLD,LAST_HIKE,8,10,7,0.01055408970976246,0.05729166666666663,0.09951456310679607,0.14285714285714285,0.19047619047619047
GOLD,LAST_HIKE,9,10,7,0.009132420091324311,0.08391608391608396,0.09951456310679607,0.14285714285714285,0.19047619047619047
GOLD,LAST_HIKE,10,10,7,0.013698630136986356,0.08391608391608396,0.09951456310679607,0.047619047619047616,0.09523809523809523
GOLD,LAST_HIKE,11,10,7,-0.011851851851851891,0.09090909090909094,0.1318518518518519,0.2619047619047619,0.3095238095238095
GOLD,LAST_HIKE,12,10,7,-0.028148148148148144,0.09090909090909094,0.1318518518518519,0.047619047619047616,0.09523809523809523
GOLD,PAUSE_START,1,7,7,0.025454545454545396,0.0,0.02298850574712641,0.42857142857142855,1.0
GOLD,PAUSE_START,2,7,7,0.021220159151193574,0.01851851851851849,0.02670212765957436,0.2857142857142857,0.7142857142857143
GOLD,PAUSE_START,3,7,7,-0.0036363636363636598,0.025757575757575757,0.0757097791798107,0.2857142857142857,0.42857142857142855
GOLD,PAUSE_START,4,7,7,-0.006309148264984188,0.04255319148936165,0.08045977011494254,0.2857142857142857,0.42857142857142855
GOLD,PAUSE_START,5,7,7,-0.004731861198738141,0.05673758865248224,0.09053497942386834,0.2857142857142857,0.5714285714285714
GOLD,PAUSE_START,6,7,7,0.01591511936339529,0.05673758865248224,0.09053497942386834,0.14285714285714285,0.2857142857142857
GOLD,PAUSE_START,7,7,7,0.01591511936339529,0.06028368794326244,0.09053497942386834,0.14285714285714285,0.14285714285714285
GOLD,PAUSE_START,8,7,7,0.021220159151193574,0.07092198581560283,0.09876543209876543,0.2857142857142857,0.2857142857142857
GOLD,PAUSE_START,9,7,7,0.02652519893899208,0.07092198581560283,0.11316872427983538,0.14285714285714285,0.2857142857142857
GOLD,PAUSE_START,10,7,7,0.034700315457413256,0.0757097791798107,0.1408045977011494,0.2857142857142857,0.2857142857142857
GOLD,PAUSE_START,11,7,7,0.04889589905362768,0.0757097791798107,0.1408045977011494,0.14285714285714285,0.14285714285714285
GOLD,PAUSE_START,12,7,7,0.04889589905362768,0.0757097791798107,0.1408045977011494,0.0,0.14285714285714285
NASDAQ,FIRST_CUT,1,10,7,0.024549278814827158,0.0,0.0497446961979664,0.3333333333333333,1.0
NASDAQ,FIRST_CUT,2,10,7,0.045085784232964166,0.01245847528907984,0.0929190141449785,0.2857142857142857,0.47619047619047616
NASDAQ,FIRST_CUT,3,10,7,0.032434508064444145,0.03368970954991013,0.11840570631942815,0.3333333333333333,0.7619047619047619
NASDAQ,FIRST_CUT,4,10,7,0.04175239778734774,0.03368970954991013,0.13031211443757185,0.2619047619047619,0.4047619047619047
NASDAQ,FIRST_CUT,5,10,7,0.04289966407493262,0.03368970954991013,0.1634971921620727,0.19047619047619047,0.38095238095238093
NASDAQ,FIRST_CUT,6,10,7,0.029865875717405954,0.096609057968007,0.19521882731086326,0.21428571428571427,0.4047619047619047
NASDAQ,FIRST_CUT,7,10,7,-0.03415566001284498,0.1548604932549572,0.20514150853859925,0.35714285714285715,0.4047619047619047
NASDAQ,FIRST_CUT,8,10,7,-0.006805107650438291,0.1748242325021655,0.2242592393401962,0.4047619047619047,0.4047619047619047
NASDAQ,FIRST_CUT,9,10,7,0.0002231060744277702,0.1748242325021655,0.2242592393401962,0.0,0.0
NASDAQ,FIRST_CUT,10,10,7,-0.007523548470618535,0.1748242325021655,0.245426390642687,0.07142857142857142,0.07142857142857142
NASDAQ,FIRST_CUT,11,10,7,0.01514931947434528,0.1748242325021655,0.2647636161274509,0.07142857142857142,0.07142857142857142
NASDAQ,FIRST_CUT,12,10,7,0.060351881073639646,0.1748242325021655,0.2647636161274509,0.14285714285714285,0.35714285714285715
NASDAQ,FIRST_HIKE,1,10,7,-0.00906430048871254,0.0023399690012059216,0.03630299159514172,0.6428571428571429,1.0
NASDAQ,FIRST_HIKE,2,10,7,-0.05612120725443448,0.05612120725443448,0.12184959884466473,0.6190476190476192,0.8095238095238094
NASDAQ,FIRST_HIKE,3,10,7,-0.06238660276315566,0.06238660276315566,0.12184959884466473,0.4047619047619047,0.4523809523809524
NASDAQ,FIRST_HIKE,4,10,7,-0.03744962032824861,0.08195176643941493,0.12184959884466473,0.2619047619047619,0.38095238095238093
NASDAQ,FIRST_HIKE,5,10,7,-0.015882969589495755,0.08641453251721487,0.12184959884466473,0.14285714285714285,0.2619047619047619
NASDAQ,FIRST_HIKE,6,10,7,-0.009362773409338554,0.08641453251721487,0.12184959884466473,0.14285714285714285,0.14285714285714285
NASDAQ,FIRST_HIKE,7,10,7,-0.011513706571018356,0.09428983856752704,0.12184959884466473,0.14285714285714285,0.21428571428571427
NASDAQ,FIRST_HIKE,8,10,7,0.026469367899519147,0.09428983856752704,0.12739170206063088,0.0,0.11904761904761904
NASDAQ,FIRST_HIKE,9,10,7,0.03377206737310012,0.09428983856752704,0.12742599801219046,0.0,0.11904761904761904
NASDAQ,FIRST_HIKE,10,10,7,0.014130716949181554,0.12184959884466473,0.19557634568909943,0.047619047619047616,0.33333333333333337
NASDAQ,FIRST_HIKE,11,10,7,0.035033443255172436,0.12184959884466473,0.22284298545231773,0.11904761904761904,0.2619047619047619
NASDAQ,FIRST_HIKE,12,10,7,0.06504843655748016,0.12184959884466473,0.22284298545231773,0.07142857142857142,0.07142857142857142
NASDAQ,LAST_HIKE,1,10,7,0.0004760927554434691,0.0,0.0497446961979664,0.4047619047619047,1.0
NASDAQ,LAST_HIKE,2,10,7,0.026809529683239575,0.011183453592787052,0.07084826363161534,0.11904761904761904,0.38095238095238093
NASDAQ,LAST_HIKE,3,10,7,0.011895419708984889,0.03543709628159042,0.07084826363161534,0.2619047619047619,0.47619047619047616
NASDAQ,LAST_HIKE,4,10,7,0.03780938614711249,0.03543709628159042,0.07084826363161534,0.07142857142857142,0.3333333333333333
NASDAQ,LAST_HIKE,5,10,7,0.07859771702869889,0.04004979020862198,0.11844035544580322,0.19047619047619047,0.19047619047619047
NASDAQ,LAST_HIKE,6,10,7,0.08311926828379534,0.04004979020862198,0.19521882731086326,0.2619047619047619,0.3095238095238095
NASDAQ,LAST_HIKE,7,10,7,0.09259647503249235,0.04004979020862198,0.20514150853859925,0.2619047619047619,0.3095238095238095
NASDAQ,LAST_HIKE,8,10,7,0.09326204519785031,0.04004979020862198,0.2242592393401962,0.21428571428571427,0.5476190476190476
NASDAQ,LAST_HIKE,9,10,7,0.06957215332353517,0.04004979020862198,0.2242592393401962,0.14285714285714285,0.19047619047619047
NASDAQ,LAST_HIKE,10,10,7,0.11325357011268089,0.04004979020862198,0.245426390642687,0.21428571428571427,0.21428571428571427
NASDAQ,LAST_HIKE,11,10,7,0.1411221915855878,0.04004979020862198,0.2647636161274509,0.21428571428571427,0.21428571428571427
NASDAQ,LAST_HIKE,12,10,7,0.15593337524903128,0.04004979020862198,0.2647636161274509,0.0,0.0
NASDAQ,PAUSE_START,1,7,7,0.06506136134588725,0.0,0.039307757282946,0.2857142857142857,1.0
NASDAQ,PAUSE_START,2,7,7,0.09629074255737713,0.019248938966041407,0.039307757282946,0.0,0.2857142857142857
NASDAQ,PAUSE_START,3,7,7,0.09845922398624052,0.0222481595952021,0.039307757282946,0.0,0.2857142857142857
NASDAQ,PAUSE_START,4,7,7,0.09766672100216911,0.039307757282946,0.17021256134949714,0.14285714285714285,0.42857142857142855
NASDAQ,PAUSE_START,5,7,7,0.14838922129141285,0.039307757282946,0.1831315117846628,0.14285714285714285,0.14285714285714285
NASDAQ,PAUSE_START,6,7,7,0.18869489757194136,0.039307757282946,0.1831315117846628,0.14285714285714285,0.14285714285714285
NASDAQ,PAUSE_START,7,7,7,0.16093259147566674,0.039307757282946,0.1831315117846628,0.14285714285714285,0.5714285714285714
NASDAQ,PAUSE_START,8,7,7,0.19813968648852054,0.039307757282946,0.1831315117846628,0.14285714285714285,0.14285714285714285
NASDAQ,PAUSE_START,9,7,7,0.22813330365791007,0.039307757282946,0.1831315117846628,0.14285714285714285,0.14285714285714285
