time_months,at_risk_weight,event_weight,censor_weight,survival_not_recovered,asset,anchor,recovery_level
0,7.0,0.0,0.0,1.0,GOLD,FIRST_CUT,50%
1,7.0,2.0,0.0,0.7142857142857143,GOLD,FIRST_CUT,50%
2,5.0,1.8333333333333333,0.0,0.4523809523809524,GOLD,FIRST_CUT,50%
5,3.1666666666666665,1.0,0.0,0.3095238095238095,GOLD,FIRST_CUT,50%
26,2.1666666666666665,0.5,0.0,0.23809523809523803,GOLD,FIRST_CUT,50%
60,1.6666666666666665,0.0,1.6666666666666665,0.23809523809523803,GOLD,FIRST_CUT,50%
0,7.0,0.0,0.0,1.0,GOLD,FIRST_CUT,100%
1,7.0,2.0,0.0,0.7142857142857143,GOLD,FIRST_CUT,100%
2,5.0,1.0,0.0,0.5714285714285715,GOLD,FIRST_CUT,100%
12,4.0,1.0,0.0,0.4285714285714286,GOLD,FIRST_CUT,100%
17,3.0,0.5,0.0,0.3571428571428572,GOLD,FIRST_CUT,100%
26,2.5,0.5,0.0,0.28571428571428575,GOLD,FIRST_CUT,100%
60,2.0,0.0,2.0,0.28571428571428575,GOLD,FIRST_CUT,100%
0,7.0,0.0,0.0,1.0,GOLD,FIRST_HIKE,50%
2,7.0,1.3333333333333333,0.0,0.8095238095238095,GOLD,FIRST_HIKE,50%
3,5.666666666666666,2.0,0.0,0.5238095238095237,GOLD,FIRST_HIKE,50%
4,3.6666666666666665,1.0,0.0,0.3809523809523809,GOLD,FIRST_HIKE,50%
11,2.6666666666666665,0.5,0.0,0.3095238095238095,GOLD,FIRST_HIKE,50%
21,2.1666666666666665,1.0,0.0,0.16666666666666663,GOLD,FIRST_HIKE,50%
39,1.1666666666666665,0.5,0.0,0.0952380952380952,GOLD,FIRST_HIKE,50%
60,0.6666666666666666,0.0,0.6666666666666666,0.0952380952380952,GOLD,FIRST_HIKE,50%
0,7.0,0.0,0.0,1.0,GOLD,FIRST_HIKE,100%
2,7.0,0.3333333333333333,0.0,0.9523809523809523,GOLD,FIRST_HIKE,100%
4,6.666666666666666,1.0,0.0,0.8095238095238094,GOLD,FIRST_HIKE,100%
6,5.666666666666666,1.0,0.0,0.6666666666666665,GOLD,FIRST_HIKE,100%
11,4.666666666666666,1.0,0.0,0.5238095238095237,GOLD,FIRST_HIKE,100%
19,3.6666666666666665,0.5,0.0,0.45238095238095233,GOLD,FIRST_HIKE,100%
24,3.1666666666666665,1.0,0.0,0.3095238095238094,GOLD,FIRST_HIKE,100%
30,2.1666666666666665,1.0,0.0,0.1666666666666666,GOLD,FIRST_HIKE,100%
60,1.1666666666666665,0.0,1.1666666666666665,0.1666666666666666,GOLD,FIRST_HIKE,100%
0,7.0,0.0,0.0,1.0,GOLD,LAST_HIKE,50%
1,7.0,1.0,0.0,0.8571428571428572,GOLD,LAST_HIKE,50%
2,6.0,1.5,0.0,0.6428571428571429,GOLD,LAST_HIKE,50%
3,4.5,2.333333333333333,0.0,0.3095238095238096,GOLD,LAST_HIKE,50%
5,2.1666666666666665,1.0,0.0,0.16666666666666669,GOLD,LAST_HIKE,50%
26,1.1666666666666665,0.5,0.0,0.09523809523809525,GOLD,LAST_HIKE,50%
60,0.6666666666666666,0.0,0.6666666666666666,0.09523809523809525,GOLD,LAST_HIKE,50%
0,7.0,0.0,0.0,1.0,GOLD,LAST_HIKE,100%
1,7.0,1.0,0.0,0.8571428571428572,GOLD,LAST_HIKE,100%
2,6.0,1.0,0.0,0.7142857142857144,GOLD,LAST_HIKE,100%
