asset,anchor,recovery_level,n_legs,n_broad_episodes,observed_recoveries,right_censored,weighted_km_median_months
GOLD,FIRST_CUT,50%,10,7,7,3,2
GOLD,FIRST_CUT,100%,10,7,6,4,12
GOLD,FIRST_HIKE,50%,10,7,8,2,4
GOLD,FIRST_HIKE,100%,10,7,7,3,19
GOLD,LAST_HIKE,50%,10,7,8,2,3
GOLD,LAST_HIKE,100%,10,7,7,3,6
GOLD,PAUSE_START,50%,7,7,5,2,1
GOLD,PAUSE_START,100%,7,7,5,2,5
NASDAQ,FIRST_CUT,50%,10,7,10,0,2
NASDAQ,FIRST_CUT,100%,10,7,9,1,3
NASDAQ,FIRST_HIKE,50%,10,7,9,1,2
NASDAQ,FIRST_HIKE,100%,10,7,9,1,8
NASDAQ,LAST_HIKE,50%,10,7,9,1,1
NASDAQ,LAST_HIKE,100%,10,7,9,1,3
NASDAQ,PAUSE_START,50%,7,7,6,1,1
NASDAQ,PAUSE_START,100%,7,7,6,1,3
SP500,FIRST_CUT,50%,10,7,10,0,3
SP500,FIRST_CUT,100%,10,7,9,1,5
SP500,FIRST_HIKE,50%,10,7,10,0,2
SP500,FIRST_HIKE,100%,10,7,10,0,4
SP500,LAST_HIKE,50%,10,7,9,1,1
SP500,LAST_HIKE,100%,10,7,9,1,1
SP500,PAUSE_START,50%,7,7,6,1,2
SP500,PAUSE_START,100%,7,7,6,1,3
USD_BROAD,FIRST_CUT,50%,3,3,2,1,24
USD_BROAD,FIRST_CUT,100%,3,3,2,1,26
USD_BROAD,FIRST_HIKE,50%,2,2,2,0,6
USD_BROAD,FIRST_HIKE,100%,2,2,2,0,7
USD_BROAD,LAST_HIKE,50%,3,3,3,0,4
USD_BROAD,LAST_HIKE,100%,3,3,3,0,6
USD_BROAD,PAUSE_START,50%,3,3,3,0,4
USD_BROAD,PAUSE_START,100%,3,3,3,0,6
WTI,FIRST_CUT,50%,8,6,7,1,3
WTI,FIRST_CUT,100%,8,6,7,1,9
WTI,FIRST_HIKE,50%,8,6,8,0,2
WTI,FIRST_HIKE,100%,8,6,7,1,3
WTI,LAST_HIKE,50%,8,6,8,0,5
WTI,LAST_HIKE,100%,8,6,8,0,19
WTI,PAUSE_START,50%,6,6,6,0,5
WTI,PAUSE_START,100%,6,6,6,0,8
