asset,anchor,n_legs,n_broad_episodes,weighted_median_ret_3m,weighted_median_ret_6m,weighted_median_ret_12m,weighted_median_mdd_12m,weighted_median_mae_12m,weighted_median_mfe_12m,weighted_median_mdd_trough_month,mdd_trough_share_early_1_3,mdd_trough_share_mid_4_6,mdd_trough_share_late_7_12,support_status
GOLD,FIRST_CUT,10,7,-0.012886597938144284,0.06000000000000005,0.040590405904058935,0.05432098765432103,-0.012886597938144284,0.08000000000000007,5.0,0.2857142857142857,0.21428571428571427,0.5,PRIMARY_SUPPORTED
GOLD,FIRST_HIKE,10,7,-0.010237068965517238,-0.018087855297157618,0.030711206896551824,0.11575562700964626,-0.04434589800443456,0.07760532150776056,11.0,0.0,0.047619047619047616,0.9523809523809523,PRIMARY_SUPPORTED
GOLD,LAST_HIKE,10,7,-0.013896037056098764,0.013192612137203241,-0.028148148148148144,0.09090909090909094,-0.05729166666666663,0.06860158311345654,6.0,0.14285714285714285,0.35714285714285715,0.5,PRIMARY_SUPPORTED
GOLD,PAUSE_START,7,7,-0.0036363636363636598,0.01591511936339529,0.04889589905362768,0.0757097791798107,-0.054545454545454564,0.07097791798107256,9.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,PRIMARY_SUPPORTED
NASDAQ,FIRST_CUT,10,7,0.032434508064444145,0.029865875717405954,0.060351881073639646,0.1748242325021655,-0.03415566001284498,0.09486791898503744,8.0,0.047619047619047616,0.047619047619047616,0.9047619047619048,PRIMARY_SUPPORTED
NASDAQ,FIRST_HIKE,10,7,-0.06238660276315566,-0.009362773409338554,0.06504843655748016,0.12184959884466473,-0.09428983856752704,0.1136213217610782,7.0,0.14285714285714285,0.2619047619047619,0.5952380952380951,PRIMARY_SUPPORTED
NASDAQ,LAST_HIKE,10,7,0.011895419708984889,0.08311926828379534,0.15593337524903128,0.04004979020862198,-0.03543709628159042,0.15593337524903128,8.0,0.3333333333333333,0.07142857142857142,0.5952380952380951,PRIMARY_SUPPORTED
NASDAQ,PAUSE_START,7,7,0.09845922398624052,0.18869489757194136,0.28092248301485134,0.04004979020862198,0.0,0.29964619724438424,7.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,PRIMARY_SUPPORTED
SP500,FIRST_CUT,10,7,0.016916164146552504,0.0375612841760673,0.10983906098752816,0.1399472062006215,-0.08226944347232479,0.13426110521781087,8.0,0.047619047619047616,0.047619047619047616,0.9047619047619048,PRIMARY_SUPPORTED
SP500,FIRST_HIKE,10,7,-0.02623673866063836,0.0381283787092328,0.07979007257752624,0.058639086441913624,-0.039252054947156556,0.09020070432203675,4.0,0.2857142857142857,0.3095238095238095,0.4047619047619047,PRIMARY_SUPPORTED
SP500,LAST_HIKE,10,7,0.021495419426582174,0.09798840659132102,0.16653674233624405,0.0421679614905226,-0.023084348628166107,0.16653674233624405,9.0,0.3333333333333333,0.0,0.6666666666666666,PRIMARY_SUPPORTED
SP500,PAUSE_START,7,7,0.10056923905398896,0.16000817143605883,0.24641737586018087,0.0421679614905226,0.0,0.2611191649159754,9.0,0.2857142857142857,0.0,0.7142857142857143,PRIMARY_SUPPORTED
USD_BROAD,FIRST_CUT,3,3,0.011428767020674524,-0.0012794597117842255,-0.02107984786342465,0.06836462919540964,-0.02107984786342465,0.050754600795317906,12.0,0.0,0.0,1.0,DIAGNOSTIC_LIMITED_SUPPORT
USD_BROAD,FIRST_HIKE,2,2,0.0018065884902294105,-0.0011816756242173376,0.04997725027465605,0.045275645774780604,-0.014992480885080206,0.05562833247577603,4.0,0.0,0.5,0.5,DIAGNOSTIC_LIMITED_SUPPORT
USD_BROAD,LAST_HIKE,3,3,0.004815705559178873,-0.006387028489388102,-0.0022332541340940315,0.029668763122772668,-0.015116242407299252,0.009941331617213445,5.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,DIAGNOSTIC_LIMITED_SUPPORT
USD_BROAD,PAUSE_START,3,3,-0.009401102749538759,-0.00975988929436733,-0.008023449483129164,0.029668763122772668,-0.015478631482653715,0.009569722579592987,11.0,0.3333333333333333,0.0,0.6666666666666666,DIAGNOSTIC_LIMITED_SUPPORT
WTI,FIRST_CUT,8,6,-0.03736493981348343,0.028778810125479337,-0.16935357072857626,0.22233129881770453,-0.18929265096197523,0.09439082773025964,11.0,0.0,0.0,1.0,PRIMARY_SUPPORTED
WTI,FIRST_HIKE,8,6,0.17193240385886077,0.14875711775119216,0.22446254881138916,0.18791304494519445,-0.020770931673122384,0.30995067981871527,10.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,PRIMARY_SUPPORTED
WTI,LAST_HIKE,8,6,0.08792160373616764,-0.005348478718103955,0.0500876292128587,0.195974280123008,-0.09809414299131392,0.12111055241305313,7.0,0.0,0.3333333333333333,0.6666666666666666,PRIMARY_SUPPORTED
WTI,PAUSE_START,6,6,-0.11655661687715013,-0.020560859545685872,-0.04571454347045378,0.17986465973098753,-0.13700237194691955,0.05226245679159325,9.0,0.0,0.3333333333333333,0.6666666666666666,PRIMARY_SUPPORTED
