content_id,platform,artifact,claim_ids,figure_keys,freshness_rule,publication_status
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,DOUYIN_TIKTOK,DOUYIN_TIKTOK_SHOTLISTS_ZH.csv|DOUYIN_TIKTOK_CAPTIONS_ZH.md,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT|FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-GUARD-019|FIG-GUARD-020|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_PUBLISHED
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,XIAOHONGSHU,XIAOHONGSHU_CAROUSELS_ZH.csv|XIAOHONGSHU_CAPTIONS_ZH.md,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT|FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-GUARD-019|FIG-GUARD-020|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_PUBLISHED
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,WECHAT_LONGFORM,WECHAT_DEEP_ARTICLES_ZH.md,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT|FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-GUARD-019|FIG-GUARD-020|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_PUBLISHED
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,PANDAAI,PANDAAI_EXPLANATION_TEMPLATES.json,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT|FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-GUARD-019|FIG-GUARD-020|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_DEPLOYED
CNT-02-SAME-LABEL-DIFFERENT-PATHS,DOUYIN_TIKTOK,DOUYIN_TIKTOK_SHOTLISTS_ZH.csv|DOUYIN_TIKTOK_CAPTIONS_ZH.md,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07|FIG-CASE-B03,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_PUBLISHED
CNT-02-SAME-LABEL-DIFFERENT-PATHS,XIAOHONGSHU,XIAOHONGSHU_CAROUSELS_ZH.csv|XIAOHONGSHU_CAPTIONS_ZH.md,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07|FIG-CASE-B03,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_PUBLISHED
CNT-02-SAME-LABEL-DIFFERENT-PATHS,WECHAT_LONGFORM,WECHAT_DEEP_ARTICLES_ZH.md,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07|FIG-CASE-B03,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_PUBLISHED
CNT-02-SAME-LABEL-DIFFERENT-PATHS,PANDAAI,PANDAAI_EXPLANATION_TEMPLATES.json,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07|FIG-CASE-B03,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_DEPLOYED
CNT-03-GOLD-VS-EQUITIES,DOUYIN_TIKTOK,DOUYIN_TIKTOK_SHOTLISTS_ZH.csv|DOUYIN_TIKTOK_CAPTIONS_ZH.md,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_PUBLISHED
CNT-03-GOLD-VS-EQUITIES,XIAOHONGSHU,XIAOHONGSHU_CAROUSELS_ZH.csv|XIAOHONGSHU_CAPTIONS_ZH.md,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,PRODUCTION_READY_NOT_PUBLISHED
