specification,outcome,spearman_rho,post_run_diagnostic
FULL_COUNT,RISK3_MEDIAN_TROUGH_MONTH,-0.6356417261637283,True
FULL_COUNT,RISK3_LATE_TROUGH_SHARE,-0.7071067811865477,True
DROP_GROWTH,RISK3_MEDIAN_TROUGH_MONTH,-0.6356417261637283,True
DROP_GROWTH,RISK3_LATE_TROUGH_SHARE,-0.7071067811865477,True
DROP_CURVE,RISK3_MEDIAN_TROUGH_MONTH,-0.674199862463242,True
DROP_CURVE,RISK3_LATE_TROUGH_SHARE,-1.0,True
DROP_NFCI,RISK3_MEDIAN_TROUGH_MONTH,-0.12712834523274563,True
DROP_NFCI,RISK3_LATE_TROUGH_SHARE,0.14142135623730953,True
CURVE_ONLY,RISK3_MEDIAN_TROUGH_MONTH,-0.12712834523274563,True
CURVE_ONLY,RISK3_LATE_TROUGH_SHARE,0.14142135623730953,True
NFCI_ONLY,RISK3_MEDIAN_TROUGH_MONTH,-0.674199862463242,True
NFCI_ONLY,RISK3_LATE_TROUGH_SHARE,-1.0,True
