sha,commit_timestamp_utc,file_sha256,latest_observation_period
95bfea9197222dcda13d8c4d9928fb631fe745aa,2026-09-04 05:17:16+00:00,6821c07f866d91cddc8beacd942d9548912216f816183565e47cef2c7add0b47,2026-08
2bad0e7dbb364940e6df95c2bafd2bbe4a924072,2026-09-03 05:22:53+00:00,7d7874be55951fcc267547849a52ca69681153dd990c3892de2282acdd1581d9,2026-08
141e2ebf301fc76b2fb660c77966c34f7975f085,2026-08-06 03:58:52+00:00,fe8104dc6d085d594b68ad2524e1982b04f014a5e447484d24e8012c1e781c6a,2026-07
7adbad9e903633c3d4679d8cd0a6f3ae35e8bb0c,2026-08-05 03:54:02+00:00,5f6bba02ecfdcacd58359c167f23c83c1c13d5c3b1085722c5126a587fc88ae4,2026-07
4d55fe13d45966c457d4e0a6854ecd24ef81da62,2026-07-04 04:29:11+00:00,afcb15f04abc1da9d4aed11d7582f2954b7d3f3d3f191ef2629e596cdba9cab1,2026-06
81736bffbfb3fc411aaa8db1610bcff5f5f6e28d,2026-07-03 04:36:30+00:00,2f709329c533e37a3c4e98f59d1aeb74c83d494b84bbf1bac1e72d9ee72f1a5d,2026-06
95f96689baad2bc097ace55805cc9492b560d2ba,2026-06-04 05:51:07+00:00,4ad63a96612effbb57f900c008e011d6c446f795f4722ee8056a2a702725f397,2026-05
e975c00b94fc85a8e0acb8729294fe700377aa65,2026-06-03 05:57:09+00:00,a2033cfc1b4ac0d61eb13a991efbf12f767a6106317d93ea7ca3b145af9d1725,2026-05
1f122532465e2f49f959aea09adf4e5abb89f93f,2026-04-03 03:41:38+00:00,0b3ae3089c1f49b2000269ab2850599ab2097088ce3c37e9c7f8add52b51837c,2026-03
a3669e2f87916e1887976fa5453ab727ece4009d,2026-03-06 03:24:08+00:00,94b860f49ef76026593f40e2207c7dd6dc659112e06902df5c55bd2edf2886e7,2026-02
a1960ed3b94aa927822f811369c55c1ae9f8f41c,2026-03-05 11:43:14+00:00,5b286c2282afcdb443e2e28680e26b1fad4af57871f0f39ff21bee0730e7cd40,2025-07
2eda8f0b6408852492fd0f6a076022420194d71d,2026-03-05 11:40:03+00:00,f88f66c6f09a4f63513dbd6491e1a48c0d4d980b9cd6b664a6ac715904e5529e,2026-02
5571813a24ada748937e57891395e314b38e9b08,2025-09-01 00:59:54+00:00,5b286c2282afcdb443e2e28680e26b1fad4af57871f0f39ff21bee0730e7cd40,2025-07
f7119bb8d8e23c840c7510754693ef4c5e4d979b,2025-07-01 01:01:20+00:00,4807ddd2bc26cfa0df864a9708703dae295a5c15c9d68edac7bbb0871e28a60c,2025-05
1ac2e2ef79b792451f596b5a4c662f254590ef20,2025-06-01 01:04:02+00:00,b84d5fbdc94ccd05ec4790af1af08fc454ce00fb27b93d3968263eda63c3b4db,2025-04
a7e91a07a1e4565fc6e6c8f88de2b75d2cdfb0ba,2025-05-01 00:56:46+00:00,9b445879c21b0e12902fb1507547806222c2c1de08df4b787f02863458f1746b,2025-03
3eb1b2311d6d1f23a6faa748e2a2f5387d072fcf,2025-04-01 00:55:48+00:00,b3c9c201b0898d14f4e165da62e771f5a0cab257dbbb10744b7c3f673a7f1e8b,2025-02
b33a0c82ae8bcd5829dc6bdd84a29c8a12b8201c,2025-02-01 00:46:49+00:00,ff2784863a3ea2c26f1cad938b5ea211c8bf41c25824ca118a91af939e8bc69f,2024-12
5a5792481624653b5508c65524a8b571f094554f,2024-12-01 00:57:37+00:00,30ffd6ce8114a29c2cd65cbf794c8c83c328e53e404c5d2e0cc5b43ddb1dd0d7,2024-10
61287c7790f647fbb145a0d3bde8378ed26a33f2,2024-10-12 14:30:08+00:00,aa0c9e24ff1b629a487d1c4e267f9286019f26a0a63cef4b4950bd3f7234a379,2024-09
