asset,anchor,recovery_level,n_legs,n_broad_episodes,observed_recoveries,right_censored,weighted_km_median_months,source_module,support_status,positive_drawdown_episodes,positive_drawdown_broad_episodes,recovery_support_status
GOLD,FIRST_CUT,50%,10,7,7,3,2,PHASE_CLOCK_004,,,,
GOLD,FIRST_CUT,100%,10,7,6,4,12,PHASE_CLOCK_004,,,,
GOLD,FIRST_HIKE,50%,10,7,8,2,4,PHASE_CLOCK_004,,,,
GOLD,FIRST_HIKE,100%,10,7,7,3,19,PHASE_CLOCK_004,,,,
GOLD,LAST_HIKE,50%,10,7,8,2,3,PHASE_CLOCK_004,,,,
GOLD,LAST_HIKE,100%,10,7,7,3,6,PHASE_CLOCK_004,,,,
GOLD,PAUSE_START,50%,7,7,5,2,1,PHASE_CLOCK_004,,,,
GOLD,PAUSE_START,100%,7,7,5,2,5,PHASE_CLOCK_004,,,,
NASDAQ,FIRST_CUT,50%,10,7,10,0,2,PHASE_CLOCK_004,,,,
NASDAQ,FIRST_CUT,100%,10,7,9,1,3,PHASE_CLOCK_004,,,,
NASDAQ,FIRST_HIKE,50%,10,7,9,1,2,PHASE_CLOCK_004,,,,
NASDAQ,FIRST_HIKE,100%,10,7,9,1,8,PHASE_CLOCK_004,,,,
NASDAQ,LAST_HIKE,50%,10,7,9,1,1,PHASE_CLOCK_004,,,,
NASDAQ,LAST_HIKE,100%,10,7,9,1,3,PHASE_CLOCK_004,,,,
NASDAQ,PAUSE_START,50%,7,7,6,1,1,PHASE_CLOCK_004,,,,
NASDAQ,PAUSE_START,100%,7,7,6,1,3,PHASE_CLOCK_004,,,,
SP500,FIRST_CUT,50%,10,7,10,0,3,PHASE_CLOCK_004,,,,
SP500,FIRST_CUT,100%,10,7,9,1,5,PHASE_CLOCK_004,,,,
SP500,FIRST_HIKE,50%,10,7,10,0,2,PHASE_CLOCK_004,,,,
SP500,FIRST_HIKE,100%,10,7,10,0,4,PHASE_CLOCK_004,,,,
SP500,LAST_HIKE,50%,10,7,9,1,1,PHASE_CLOCK_004,,,,
SP500,LAST_HIKE,100%,10,7,9,1,1,PHASE_CLOCK_004,,,,
SP500,PAUSE_START,50%,7,7,6,1,2,PHASE_CLOCK_004,,,,
SP500,PAUSE_START,100%,7,7,6,1,3,PHASE_CLOCK_004,,,,
USD_BROAD,FIRST_CUT,50%,3,3,2,1,24,PHASE_CLOCK_004,,,,
USD_BROAD,FIRST_CUT,100%,3,3,2,1,26,PHASE_CLOCK_004,,,,
