asset,asset_label,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,ret_3m,ret_6m,ret_12m,mdd_12m,mdd_trough_month,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months
TLT,iShares 20+ Year Treasury Bond ETF adjusted-close proxy,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,0.09069093746375789,0.10842374203973915,0.22272668700164622,0.02951058209265711,9,1.0,2.0,True,True,60
TLT,iShares 20+ Year Treasury Bond ETF adjusted-close proxy,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,0.08166434258954247,0.13771599149856284,0.011036669364260288,0.1478851169619141,12,9.0,30.0,True,True,60
TLT,iShares 20+ Year Treasury Bond ETF adjusted-close proxy,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,-0.17591872616613946,-0.21892821548322217,-0.22514694086710763,0.2775703324364631,7,,,False,False,47
TLT,iShares 20+ Year Treasury Bond ETF adjusted-close proxy,LAST_HIKE,T08_2004,B05,2006-06-29,1.0,0.07155633383087667,0.10592755661461628,0.056334174061370534,0.049831929260518604,12,2.0,3.0,True,True,60
TLT,iShares 20+ Year Treasury Bond ETF adjusted-close proxy,LAST_HIKE,T09_2015,B06,2018-12-19,1.0,0.08376768147744151,0.17305439204878592,0.24227273930848692,0.031142615768887882,12,1.0,2.0,True,True,60
TLT,iShares 20+ Year Treasury Bond ETF adjusted-close proxy,LAST_HIKE,T10_2022,B07,2023-07-26,1.0,-0.1583453488156934,-0.0469679554239778,-0.05655086688554567,0.1583453488156934,3,2.0,11.0,True,True,35
TLT,iShares 20+ Year Treasury Bond ETF adjusted-close proxy,PAUSE_START,T08_2004,B05,2006-08-08,1.0,0.07774775735653927,0.0691407416960037,0.08134146859398528,0.049831929260518604,10,2.0,3.0,True,True,60
TLT,iShares 20+ Year Treasury Bond ETF adjusted-close proxy,PAUSE_START,T09_2015,B06,2019-01-30,1.0,0.041611747727930304,0.1197825367190124,0.20298055096551226,0.031142615768887882,11,1.0,2.0,True,True,60
TLT,iShares 20+ Year Treasury Bond ETF adjusted-close proxy,PAUSE_START,T10_2022,B07,2023-09-20,1.0,0.03301455962895328,0.010264689495607104,0.08689180975466138,0.10037637817900047,1,2.0,2.0,True,True,35
TLT,iShares 20+ Year Treasury Bond ETF adjusted-close proxy,FIRST_CUT,T08_2004,B05,2007-09-18,1.0,0.07496294183707164,0.11264839597281817,0.1513050559031741,0.03412315740706595,9,1.0,3.0,True,True,60
TLT,iShares 20+ Year Treasury Bond ETF adjusted-close proxy,FIRST_CUT,T09_2015,B06,2019-07-31,1.0,0.07936884174137626,0.0775174835254071,0.2970799437649745,0.03634677777286244,11,1.0,1.0,True,True,60
