gate_family,test,observed,threshold,pass,dual_bridge_status
A1,vnq_overlap_months_ge_240,263.0,>=240,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
A2,vnq_pearson_ge_0.92,0.9932828159589342,>=0.92,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
A2,vnq_spearman_ge_0.92,0.9870521896760539,>=0.92,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
A3,vnq_beta_0.70_1.30,1.025015328200613,"[0.70,1.30]",True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
A3,vnq_abs_intercept_le_0.0040,0.00013594038758767986,<=0.0040,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
A4,vnq_event_sign_agreement_ge_0.80,1.0,>=0.80,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
A4,vnq_event_ret_corr_ge_0.90,0.9877056410013535,>=0.90,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
A4,vnq_event_ret_median_abs_diff_le_0.08,0.02298962256035364,<=0.08,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
A5,vnq_event_mdd_corr_ge_0.85,0.9874403613211931,>=0.85,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
A5,vnq_event_mdd_median_abs_diff_le_0.06,0.009746588281276503,<=0.06,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
A6,vnq_four_phase_direction_all_agree,1.0,true,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
A6,vnq_phase_median_abs_ret_diff_le_0.06,0.03293563047083958,<=0.06,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
A6,vnq_phase_max_abs_ret_diff_le_0.10,0.04436064681406593,<=0.10,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
B1,vgsix_overlap_months_ge_330,363.0,>=330,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
B2,vgsix_pearson_ge_0.92,0.9919822946622153,>=0.92,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
B2,vgsix_spearman_ge_0.92,0.9860709355937886,>=0.92,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
B3,vgsix_beta_0.70_1.30,1.0201722302046263,"[0.70,1.30]",True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
B3,vgsix_abs_intercept_le_0.0040,0.0001332648077538136,<=0.0040,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
B4,vgsix_event_sign_agreement_ge_0.85,1.0,>=0.85,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
B4,vgsix_event_ret_corr_ge_0.90,0.9838016252410329,>=0.90,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
B4,vgsix_event_ret_median_abs_diff_le_0.08,0.025725551286279735,<=0.08,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
B5,vgsix_event_mdd_corr_ge_0.85,0.9892379151512549,>=0.85,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
B5,vgsix_event_mdd_median_abs_diff_le_0.06,0.009432466016799645,<=0.06,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
B6,vgsix_four_phase_direction_all_agree,0.0,true,False,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
B6,vgsix_phase_median_abs_ret_diff_le_0.06,0.02160752976204494,<=0.06,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
B6,vgsix_phase_max_abs_ret_diff_le_0.10,0.04333698956359955,<=0.10,True,DUAL_BRIDGE_FAIL_NO_DEEP_EXTENSION
