asset,asset_label,primary_asset,cycle_id,broad_episode_id,cycle_start_year,first_hike,episode_weight,baseline_period,ret_12m,ret_24m,mdd_24m,mfe_24m,event_trough_month,mdd_trough_month,mdd_peak_index,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months
GOLD,Gold monthly World Bank/DataHub,True,T01_1983,B01,1983,1983-03-31,0.5,1983-02,-0.19755600814663954,-0.36048879837067205,0.3910386965376782,0.0,23,23,0,19.0,,True,False,60
GOLD,Gold monthly World Bank/DataHub,True,T02_1984,B01,1984,1984-03-29,0.5,1984-02,-0.18652849740932642,-0.10362694300518138,0.22538860103626945,0.0,11,11,0,11.0,19.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,T03_1987,B02,1987,1987-01-05,0.3333333333333333,1986-12,0.21994884910485935,0.03324808184143224,0.16872427983539096,0.24296675191815864,1,24,11,,,False,False,60
GOLD,Gold monthly World Bank/DataHub,True,T04_1987,B02,1987,1987-08-27,0.3333333333333333,1987-07,-0.04434589800443456,-0.19068736141906872,0.2489711934156379,0.07760532150776056,24,24,4,,,False,False,60
GOLD,Gold monthly World Bank/DataHub,True,T05_1988,B02,1988,1988-03-30,0.3333333333333333,1988-02,-0.11764705882352944,-0.11085972850678738,0.1991150442477876,0.02262443438914019,18,18,1,3.0,,True,False,60
GOLD,Gold monthly World Bank/DataHub,True,T06_1994,B03,1994,1994-02-04,1.0,1994-01,-0.025839793281653756,0.04651162790697683,0.03826530612244894,0.04651162790697683,2,12,7,2.0,11.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,T07_1999,B04,1999,1999-06-30,1.0,1999-05,0.03623188405797095,-0.021739130434782594,0.16398713826366562,0.12681159420289845,1,22,4,10.0,13.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,T08_2004,B05,2004,2004-06-30,1.0,2004-05,0.12239583333333326,0.5520833333333333,0.11703703703703705,0.7578125,1,24,23,8.0,10.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,T09_2015,B06,2015,2015-12-16,1.0,2015-11,0.06537753222836096,0.16390423572744006,0.13656716417910453,0.2338858195211786,1,12,8,4.0,30.0,True,True,60
GOLD,Gold monthly World Bank/DataHub,True,T10_2022,B07,2022,2022-03-16,1.0,2022-02,0.030711206896551824,0.16271551724137923,0.14093959731543626,0.16271551724137923,7,7,1,3.0,6.0,True,True,46
SP500,S&P 500 cash index monthly average,True,T01_1983,B01,1983,1983-03-31,0.5,1983-02,0.0724933701988808,0.22223337776359586,0.09887124945362158,0.23221138098968575,16,16,7,1.0,6.0,True,True,60
SP500,S&P 500 cash index monthly average,True,T02_1984,B01,1984,1984-03-29,0.5,1984-02,0.14098204292720817,0.47743249515042563,0.04330818157431149,0.47743249515042563,4,18,16,2.0,2.0,True,True,60
SP500,S&P 500 cash index monthly average,True,T03_1987,B02,1987,1987-01-05,0.3333333333333333,1986-12,0.0075261776217492304,0.14805933555404027,0.26840750338710384,0.3248224756038611,11,11,7,13.0,19.0,True,True,60
SP500,S&P 500 cash index monthly average,True,T04_1987,B02,1987,1987-08-27,0.3333333333333333,1987-07,-0.14950872683338778,0.11777508436397777,0.24384864586740285,0.11777508436397777,4,4,1,13.0,18.0,True,True,60
SP500,S&P 500 cash index monthly average,True,T05_1988,B02,1988,1988-03-30,0.3333333333333333,1988-02,0.13398462364695907,0.3112293190193598,0.051981699629239375,0.35038431056364905,2,23,21,3.0,3.0,True,True,60
