time_months,at_risk_weight,event_weight,censor_weight,survival_not_recovered,asset,recovery_level
0,7.0,0.0,0.0,1.0,GOLD,50%
2,7.0,1.0,0.0,0.8571428571428572,GOLD,50%
3,6.0,1.3333333333333333,0.0,0.6666666666666667,GOLD,50%
4,4.666666666666666,1.0,0.0,0.5238095238095238,GOLD,50%
8,3.6666666666666665,1.0,0.0,0.380952380952381,GOLD,50%
10,2.6666666666666665,1.0,0.0,0.2380952380952381,GOLD,50%
11,1.6666666666666665,0.5,0.0,0.16666666666666666,GOLD,50%
19,1.1666666666666665,0.5,0.0,0.09523809523809523,GOLD,50%
60,0.6666666666666666,0.0,0.6666666666666666,0.09523809523809523,GOLD,50%
0,7.0,0.0,0.0,1.0,GOLD,100%
6,7.0,1.0,0.0,0.8571428571428572,GOLD,100%
10,6.0,1.0,0.0,0.7142857142857144,GOLD,100%
11,5.0,1.0,0.0,0.5714285714285715,GOLD,100%
13,4.0,1.0,0.0,0.4285714285714286,GOLD,100%
19,3.0,0.5,0.0,0.3571428571428572,GOLD,100%
30,2.5,1.0,0.0,0.21428571428571433,GOLD,100%
60,1.4999999999999998,0.0,1.4999999999999998,0.21428571428571433,GOLD,100%
0,7.0,0.0,0.0,1.0,NASDAQ,50%
1,7.0,0.5,0.0,0.9285714285714286,NASDAQ,50%
2,6.5,3.0,0.0,0.5,NASDAQ,50%
4,3.5,0.3333333333333333,0.0,0.4523809523809524,NASDAQ,50%
6,3.1666666666666665,0.6666666666666666,0.0,0.35714285714285715,NASDAQ,50%
7,2.5,1.5,0.0,0.14285714285714288,NASDAQ,50%
60,1.0,0.0,1.0,0.14285714285714288,NASDAQ,50%
0,7.0,0.0,0.0,1.0,NASDAQ,100%
4,7.0,1.0,0.0,0.8571428571428572,NASDAQ,100%
6,6.0,1.5,0.0,0.6428571428571429,NASDAQ,100%
8,4.5,1.0,0.0,0.5,NASDAQ,100%
9,3.5,1.0,0.0,0.35714285714285715,NASDAQ,100%
14,2.5,0.3333333333333333,0.0,0.30952380952380953,NASDAQ,100%
17,2.1666666666666665,0.5,0.0,0.23809523809523808,NASDAQ,100%
18,1.6666666666666665,0.3333333333333333,0.0,0.19047619047619047,NASDAQ,100%
20,1.3333333333333333,0.3333333333333333,0.0,0.14285714285714285,NASDAQ,100%
60,1.0,0.0,1.0,0.14285714285714285,NASDAQ,100%
0,7.0,0.0,0.0,1.0,SP500,50%
1,7.0,1.5,0.0,0.7857142857142857,SP500,50%
2,5.5,1.5,0.0,0.5714285714285714,SP500,50%
3,4.0,0.3333333333333333,0.0,0.5238095238095237,SP500,50%
4,3.6666666666666665,1.0,0.0,0.3809523809523809,SP500,50%
6,2.6666666666666665,1.0,0.0,0.23809523809523805,SP500,50%
13,1.6666666666666665,0.6666666666666666,0.0,0.14285714285714282,SP500,50%
60,1.0,0.0,1.0,0.14285714285714282,SP500,50%
0,7.0,0.0,0.0,1.0,SP500,100%
2,7.0,0.5,0.0,0.9285714285714286,SP500,100%
3,6.5,1.3333333333333333,0.0,0.7380952380952381,SP500,100%
4,5.166666666666666,1.0,0.0,0.5952380952380952,SP500,100%
6,4.166666666666666,0.5,0.0,0.5238095238095238,SP500,100%
9,3.6666666666666665,1.0,0.0,0.380952380952381,SP500,100%
10,2.6666666666666665,1.0,0.0,0.2380952380952381,SP500,100%
18,1.6666666666666665,0.3333333333333333,0.0,0.1904761904761905,SP500,100%
19,1.3333333333333333,0.3333333333333333,0.0,0.14285714285714288,SP500,100%
60,1.0,0.0,1.0,0.14285714285714288,SP500,100%
0,2.0,0.0,0.0,1.0,USD_BROAD,50%
3,2.0,1.0,0.0,0.5,USD_BROAD,50%
11,1.0,1.0,0.0,0.0,USD_BROAD,50%
0,2.0,0.0,0.0,1.0,USD_BROAD,100%
17,2.0,1.0,0.0,0.5,USD_BROAD,100%
30,1.0,1.0,0.0,0.0,USD_BROAD,100%
0,6.0,0.0,0.0,1.0,WTI,50%
1,6.0,1.0,0.0,0.8333333333333334,WTI,50%
2,5.0,0.3333333333333333,0.0,0.7777777777777778,WTI,50%
3,4.666666666666666,1.6666666666666665,0.0,0.49999999999999994,WTI,50%
5,3.0,1.0,0.0,0.3333333333333333,WTI,50%
22,2.0,1.0,0.0,0.16666666666666666,WTI,50%
34,1.0,1.0,0.0,0.0,WTI,50%
0,6.0,0.0,0.0,1.0,WTI,100%
3,6.0,2.333333333333333,0.0,0.6111111111111112,WTI,100%
8,3.6666666666666665,1.0,0.0,0.4444444444444445,WTI,100%
15,2.6666666666666665,0.6666666666666666,0.0,0.33333333333333337,WTI,100%
23,2.0,1.0,0.0,0.16666666666666669,WTI,100%
39,1.0,0.0,1.0,0.16666666666666669,WTI,100%
