asset,event_month,n_legs,n_broad_episodes,weighted_median_cum_return,weighted_q25_cum_return,weighted_q75_cum_return,weighted_median_running_mdd,weighted_q75_running_mdd,weighted_new_event_low_share,weighted_new_running_mdd_share,event_trough_cdf,mdd_trough_cdf,mdd_trough_hazard
GOLD,1,10,7,0.011049723756906049,-0.012953367875647714,0.03645833333333326,0.0,0.012953367875647714,0.42857142857142855,1.0,0.47619047619047616,0.0,0.0
GOLD,2,10,7,-0.0037715517241379004,-0.025839793281653756,0.04427083333333326,0.023316062176165775,0.04543107898812593,0.35714285714285715,0.4047619047619047,0.619047619047619,0.0,0.0
GOLD,3,10,7,-0.010237068965517238,-0.020725388601036232,0.0546875,0.023316062176165775,0.05162622612287038,0.21428571428571427,0.21428571428571427,0.619047619047619,0.0,0.0
GOLD,4,10,7,0.07760532150776056,-0.0662715517241379,0.12681159420289845,0.025839793281653756,0.0984455958549223,0.3333333333333333,0.47619047619047616,0.619047619047619,0.0,0.0
GOLD,5,10,7,0.05764966740576494,-0.04903017241379315,0.14322916666666674,0.025839793281653756,0.0984455958549223,0.047619047619047616,0.14285714285714285,0.619047619047619,0.0,0.0
GOLD,6,10,7,-0.018087855297157618,-0.09428879310344829,0.15104166666666674,0.08628318584070793,0.11917098445595853,0.3095238095238095,0.4523809523809524,0.619047619047619,0.0,0.0
GOLD,7,10,7,0.012919896640826822,-0.10344827586206895,0.10416666666666674,0.090032154340836,0.11917098445595853,0.2619047619047619,0.4047619047619047,0.7619047619047619,0.14285714285714285,0.14285714285714285
GOLD,8,10,7,0.007751937984496138,-0.07058189655172409,0.1015625,0.090032154340836,0.11917098445595853,0.07142857142857142,0.21428571428571427,0.7619047619047619,0.14285714285714285,0.0
GOLD,9,10,7,0.0,-0.03125,0.13020833333333326,0.090032154340836,0.14093959731543626,0.07142857142857142,0.21428571428571427,0.7619047619047619,0.14285714285714285,0.0
GOLD,10,10,7,0.01449275362318847,-0.02067183462532296,0.1171875,0.09053497942386834,0.14093959731543626,0.19047619047619047,0.619047619047619,0.7619047619047619,0.14285714285714285,0.0
GOLD,11,10,7,-0.0036231884057971175,-0.02067183462532296,0.09895833333333326,0.09876543209876543,0.14093959731543626,0.16666666666666666,0.5952380952380952,0.8333333333333333,0.21428571428571427,0.08333333333333333
