predictor,outcome,n_rows,n_cycles,n_broad_clusters,beta_per_1sd_within,within_predictor_rms_native_units,p_broad_exact,p_mechanical_exact,loo_broad_sign_stable,loo_broad_computable,status,max_cycle_weight_error,multiplicity_status
CURVE_BP,GOLD_FWD_6M_RET,163,9,7,-0.0013434916930080028,36.32485847954647,0.953125,0.88671875,False,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM
CURVE_BP,GOLD_FWD_6M_MDD,163,9,7,0.002374635546283848,36.32485847954647,0.484375,0.484375,True,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM
DGS10_LEVEL,GOLD_FWD_6M_RET,165,10,7,0.0035379853453870493,0.4300147791519718,0.890625,0.880859375,False,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM
DGS10_LEVEL,GOLD_FWD_6M_MDD,165,10,7,-0.0038501788992043448,0.4300147791519718,0.65625,0.640625,False,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM
REAL_RATE_PROXY_PP,GOLD_FWD_6M_RET,165,10,7,0.018041257915959553,0.9912029549060324,0.265625,0.275390625,True,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM
REAL_RATE_PROXY_PP,GOLD_FWD_6M_MDD,165,10,7,-0.006290655038280246,0.9912029549060324,0.875,0.8515625,False,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM
NFCI,GOLD_FWD_6M_RET,165,10,7,-0.006733062412729733,0.22879719825526965,0.59375,0.734375,False,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM
NFCI,GOLD_FWD_6M_MDD,165,10,7,-4.310268613541228e-05,0.22879719825526965,0.984375,0.9765625,False,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM
USD_6M_RET,GOLD_FWD_6M_RET,165,10,7,0.018261914050121536,0.03276285427151594,0.03125,0.013671875,True,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM
USD_6M_RET,GOLD_FWD_6M_MDD,165,10,7,-0.0047061703295627755,0.03276285427151594,0.171875,0.171875,True,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM
DFII10,GOLD_FWD_6M_RET,101,3,3,0.039959519491676254,0.4814088472218064,,,False,0,INSUFFICIENT_SUPPORT,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM
DFII10,GOLD_FWD_6M_MDD,101,3,3,-0.017104242463294107,0.4814088472218064,,,False,0,INSUFFICIENT_SUPPORT,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM
