predictor,outcome,n_rows,n_cycles,n_broad_clusters,beta_per_1sd_within,within_predictor_rms_native_units,p_broad_exact,p_mechanical_exact,loo_broad_sign_stable,loo_broad_computable,status,max_cycle_weight_error,multiplicity_status,bh_q_secondary_audit,by_q_secondary_audit,secondary_bh_fdr10_status,secondary_by_fdr10_status
CURVE_BP,GOLD_FWD_6M_RET,163,9,7,-0.001343491693008,36.32485847954647,0.953125,0.88671875,False,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM,1.0,1.0,NO_BH_FDR10,NO_BY_FDR10
CURVE_BP,GOLD_FWD_6M_MDD,163,9,7,0.0023746355462838,36.32485847954647,0.484375,0.484375,True,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM,1.0,1.0,NO_BH_FDR10,NO_BY_FDR10
DGS10_LEVEL,GOLD_FWD_6M_RET,165,10,7,0.003537985345387,0.4300147791519718,0.890625,0.880859375,False,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM,1.0,1.0,NO_BH_FDR10,NO_BY_FDR10
DGS10_LEVEL,GOLD_FWD_6M_MDD,165,10,7,-0.0038501788992043,0.4300147791519718,0.65625,0.640625,False,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM,1.0,1.0,NO_BH_FDR10,NO_BY_FDR10
REAL_RATE_PROXY_PP,GOLD_FWD_6M_RET,165,10,7,0.0180412579159595,0.9912029549060324,0.265625,0.275390625,True,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM,1.0,1.0,NO_BH_FDR10,NO_BY_FDR10
REAL_RATE_PROXY_PP,GOLD_FWD_6M_MDD,165,10,7,-0.0062906550382802,0.9912029549060324,0.875,0.8515625,False,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM,1.0,1.0,NO_BH_FDR10,NO_BY_FDR10
NFCI,GOLD_FWD_6M_RET,165,10,7,-0.0067330624127297,0.2287971982552696,0.59375,0.734375,False,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM,1.0,1.0,NO_BH_FDR10,NO_BY_FDR10
NFCI,GOLD_FWD_6M_MDD,165,10,7,-4.310268613541228e-05,0.2287971982552696,0.984375,0.9765625,False,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM,1.0,1.0,NO_BH_FDR10,NO_BY_FDR10
USD_6M_RET,GOLD_FWD_6M_RET,165,10,7,0.0182619140501215,0.0327628542715159,0.03125,0.013671875,True,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM,0.375,1.0,NO_BH_FDR10,NO_BY_FDR10
USD_6M_RET,GOLD_FWD_6M_MDD,165,10,7,-0.0047061703295627,0.0327628542715159,0.171875,0.171875,True,7,SUPPORTED_TEST,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM,1.0,1.0,NO_BH_FDR10,NO_BY_FDR10
DFII10,GOLD_FWD_6M_RET,101,3,3,0.0399595194916762,0.4814088472218064,,,False,0,INSUFFICIENT_SUPPORT,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM,,,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT
DFII10,GOLD_FWD_6M_MDD,101,3,3,-0.0171042424632941,0.4814088472218064,,,False,0,INSUFFICIENT_SUPPORT,0.0,SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM,,,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT
