cycle_start_year,INFLATION_LEVEL,INFLATION_DIRECTION,GROWTH_STATE,YIELD_CURVE_STATE,REAL_RATE_PROXY_STATE,ENERGY_DIRECTION_STATE,NFCI_STATE,gold_ret_12m,gold_mdd_24m
1983,HIGH,FALLING_OR_FLAT,WEAK,POSITIVE,POSITIVE,,TIGHT,-0.1975560081466395,0.3910386965376782
1984,HIGH,RISING,STRONG,POSITIVE,POSITIVE,,LOOSE_OR_AVERAGE,-0.1865284974093264,0.2253886010362694
1987,LOW_OR_MODERATE,FALLING_OR_FLAT,WEAK,POSITIVE,POSITIVE,RISING,LOOSE_OR_AVERAGE,0.2199488491048593,0.1687242798353909
1987,HIGH,RISING,STRONG,POSITIVE,POSITIVE,RISING,LOOSE_OR_AVERAGE,-0.0443458980044345,0.2489711934156379
1988,HIGH,FALLING_OR_FLAT,STRONG,POSITIVE,POSITIVE,FALLING_OR_FLAT,TIGHT,-0.1176470588235294,0.1991150442477876
1994,LOW_OR_MODERATE,RISING,STRONG,POSITIVE,POSITIVE,FALLING_OR_FLAT,LOOSE_OR_AVERAGE,-0.0258397932816537,0.0382653061224489
1999,LOW_OR_MODERATE,RISING,STRONG,POSITIVE,POSITIVE,RISING,LOOSE_OR_AVERAGE,0.0362318840579709,0.1639871382636656
2004,LOW_OR_MODERATE,RISING,STRONG,POSITIVE,POSITIVE,RISING,LOOSE_OR_AVERAGE,0.1223958333333332,0.117037037037037
2015,LOW_OR_MODERATE,RISING,WEAK,POSITIVE,POSITIVE,FALLING_OR_FLAT,LOOSE_OR_AVERAGE,0.0653775322283609,0.1365671641791045
2022,HIGH,RISING,WEAK,POSITIVE,NONPOSITIVE,RISING,LOOSE_OR_AVERAGE,0.0307112068965518,0.1409395973154362
