cycle_id,cycle_start_year,event_date,gold_ret_6m,gold_ret_12m,gold_ret_24m,gold_mdd_24m,gold_mae,gold_mfe,state_macro_period,CPI_YOY_LAG2,INFLATION_LEVEL,CPI_YOY_CHANGE_3M,INFLATION_DIRECTION,INDPRO_YOY_LAG2,GROWTH_STATE,yield_curve_obs_date,DGS10,DGS2,curve_bp,YIELD_CURVE_STATE,REAL_RATE_PROXY_PP,REAL_RATE_PROXY_STATE,wti_obs_date,WTI_126D_RETURN,ENERGY_DIRECTION_STATE,ENERGY_SHOCK_STATE,nfci_obs_date,NFCI,NFCI_STATE,dfii10_obs_date,DFII10,DFII10_STATE,usd_obs_date,USD_SOURCE_REGIME,USD_6M_RETURN,USD_DIRECTION_DIAGNOSTIC,market_state_info_class,macro_state_info_class
T01_1983,1983,1983-03-31,-0.1608961303462321,-0.1975560081466395,-0.360488798370672,0.3910386965376782,-0.3910386965376782,0.0,1983-01,0.03711558854718988,HIGH,-0.014276274407842182,FALLING_OR_FLAT,-0.0213859643737786,WEAK,1983-03-30,10.59,9.88,70.99999999999991,POSITIVE,6.878441145281012,POSITIVE,,,,,1983-03-25,0.014,TIGHT,,,,1983-03-30,TWEXM,-0.009939293978264652,FALLING_OR_FLAT,PREDETERMINED_MARKET_HISTORY,RELEASE_LAG_AWARE_CURRENT_VINTAGE_NOT_STRICT_ALFRED_PIT
T02_1984,1984,1984-03-29,-0.1191709844559585,-0.1865284974093264,-0.1036269430051813,0.2253886010362694,-0.2253886010362694,0.0,1984-01,0.04192229038854811,HIGH,0.0134090520993424,RISING,0.11030374251935249,STRONG,1984-03-28,12.42,11.48,93.99999999999994,POSITIVE,8.22777096114519,POSITIVE,,,,,1984-03-23,-0.094,LOOSE_OR_AVERAGE,,,,1984-03-28,TWEXM,-0.005863968969083366,FALLING_OR_FLAT,PREDETERMINED_MARKET_HISTORY,RELEASE_LAG_AWARE_CURRENT_VINTAGE_NOT_STRICT_ALFRED_PIT
T03_1987,1987,1987-01-05,0.1534526854219948,0.2199488491048593,0.0332480818414322,0.1687242798353909,0.0,0.2429667519181586,1986-11,0.012844036697247763,LOW_OR_MODERATE,-0.00289670404349307,FALLING_OR_FLAT,0.015357187083427482,WEAK,1987-01-02,7.18,6.3,87.99999999999999,POSITIVE,5.8955963302752235,POSITIVE,1987-01-02,0.42419481539670056,RISING,SHOCK_UP,1987-01-02,-0.501,LOOSE_OR_AVERAGE,,,,1986-12-31,TWEXM,-0.03918348537951577,FALLING_OR_FLAT,PREDETERMINED_MARKET_HISTORY,RELEASE_LAG_AWARE_CURRENT_VINTAGE_NOT_STRICT_ALFRED_PIT
T04_1987,1987,1987-08-27,-0.0199556541019955,-0.0443458980044345,-0.1906873614190687,0.2489711934156379,-0.1906873614190687,0.0776053215077605,1987-06,0.0365296803652968,HIGH,0.006198798012355677,RISING,0.05519439713663821,STRONG,1987-08-26,8.79,7.87,91.9999999999999,POSITIVE,5.137031963470319,POSITIVE,1987-08-26,0.07977839335180037,RISING,NEUTRAL,1987-08-21,-0.001,LOOSE_OR_AVERAGE,,,,1987-08-26,TWEXM,-0.031140927563949372,FALLING_OR_FLAT,PREDETERMINED_MARKET_HISTORY,RELEASE_LAG_AWARE_CURRENT_VINTAGE_NOT_STRICT_ALFRED_PIT
T05_1988,1988,1988-03-30,-0.0656108597285067,-0.1176470588235294,-0.1108597285067873,0.1991150442477876,-0.1809954751131222,0.0226244343891401,1988-01,0.04046762589928066,HIGH,-0.004863289785216107,FALLING_OR_FLAT,0.07683256014634088,STRONG,1988-03-29,8.56,7.42,114.00000000000006,POSITIVE,4.513237410071935,POSITIVE,1988-03-29,-0.11731266149870812,FALLING_OR_FLAT,NEUTRAL,1988-03-25,0.136,TIGHT,,,,1988-03-23,TWEXM,-0.07690116217256804,FALLING_OR_FLAT,PREDETERMINED_MARKET_HISTORY,RELEASE_LAG_AWARE_CURRENT_VINTAGE_NOT_STRICT_ALFRED_PIT
T06_1994,1994,1994-02-04,-0.0180878552971576,-0.0258397932816537,0.0465116279069768,0.0382653061224489,-0.0258397932816537,0.0465116279069768,1993-12,0.02748414376321362,LOW_OR_MODERATE,0.0005910085898237494,RISING,0.03407732938414032,STRONG,1994-02-03,5.81,4.28,152.99999999999994,POSITIVE,3.0615856236786376,POSITIVE,1994-02-02,-0.11319712865819997,FALLING_OR_FLAT,NEUTRAL,1994-01-28,-1.011,LOOSE_OR_AVERAGE,,,,1994-02-02,TWEXM,0.01722219620906551,RISING,PREDETERMINED_MARKET_HISTORY,RELEASE_LAG_AWARE_CURRENT_VINTAGE_NOT_STRICT_ALFRED_PIT
T07_1999,1999,1999-06-30,0.0253623188405796,0.0362318840579709,-0.0217391304347825,0.1639871382636656,-0.072463768115942,0.1268115942028984,1999-04,0.022769230769230653,LOW_OR_MODERATE,0.0060613099771513745,RISING,0.04307254602909483,STRONG,1999-06-29,5.93,5.68,25.0,POSITIVE,3.6530769230769344,POSITIVE,1999-06-23,0.28721174004192873,RISING,SHOCK_UP,1999-06-25,-0.33,LOOSE_OR_AVERAGE,,,,1999-06-23,TWEXM,0.04196351564319789,RISING,PREDETERMINED_MARKET_HISTORY,RELEASE_LAG_AWARE_CURRENT_VINTAGE_NOT_STRICT_ALFRED_PIT
T08_2004,2004,2004-06-30,0.1510416666666667,0.1223958333333332,0.5520833333333333,0.117037037037037,0.0,0.7578125,2004-04,0.02285092491838947,LOW_OR_MODERATE,0.003588404279974533,RISING,0.02615123170170186,STRONG,2004-06-29,4.7,2.83,187.0,POSITIVE,2.414907508161053,POSITIVE,2004-06-29,0.11563773111877151,RISING,NEUTRAL,2004-06-25,-0.684,LOOSE_OR_AVERAGE,2004-06-29,2.2,POSITIVE,2004-06-23,TWEXM,0.01925861183592037,RISING,PREDETERMINED_MARKET_HISTORY,RELEASE_LAG_AWARE_CURRENT_VINTAGE_NOT_STRICT_ALFRED_PIT
T09_2015,2015,2015-12-16,0.1749539594843463,0.0653775322283609,0.16390423572744,0.1365671641791045,0.0,0.2338858195211786,2015-10,0.0017057443573555986,LOW_OR_MODERATE,1.0046560923404613e-05,RISING,-0.027250660674994598,WEAK,2015-12-15,2.28,0.98,129.99999999999997,POSITIVE,2.10942556426444,POSITIVE,2015-12-15,-0.3768575722157288,FALLING_OR_FLAT,SHOCK_DOWN,2015-12-11,-0.401,LOOSE_OR_AVERAGE,2015-12-15,0.8,POSITIVE,2015-12-09,TWEXM,0.04141617905077455,RISING,PREDETERMINED_MARKET_HISTORY,RELEASE_LAG_AWARE_CURRENT_VINTAGE_NOT_STRICT_ALFRED_PIT
T10_2022,2022,2022-03-16,-0.0942887931034482,0.0307112068965518,0.1627155172413792,0.1409395973154362,-0.1034482758620689,0.1627155172413792,2022-01,0.07479872468289117,HIGH,0.012580035649602195,RISING,0.013181341030033655,WEAK,2022-03-15,2.15,1.85,29.999999999999982,POSITIVE,-5.329872468289118,NONPOSITIVE,2022-03-15,0.36688403742557396,RISING,SHOCK_UP,2022-03-11,-0.392,LOOSE_OR_AVERAGE,2022-03-15,-0.69,NONPOSITIVE,2022-03-15,DTWEXAFEGS,0.053165025782593966,RISING,PREDETERMINED_MARKET_HISTORY,RELEASE_LAG_AWARE_CURRENT_VINTAGE_NOT_STRICT_ALFRED_PIT
