state_var,outcome,full_diff,full_sign,computable_loo,same_sign_loo,loo_sign_stable
INFLATION_LEVEL,gold_ret_12m,-0.18302459105189028,-1,10,10,True
INFLATION_LEVEL,gold_mdd_24m,0.0888214368571649,1,10,10,True
INFLATION_LEVEL,gold_ret_6m,-0.24533045977011492,-1,10,10,True
INFLATION_LEVEL,gold_ret_24m,-0.1573713564137641,-1,10,10,True
INFLATION_LEVEL,gold_mae,-0.1906873614190687,-1,10,10,True
INFLATION_LEVEL,gold_mfe,-0.2112613851320385,-1,10,10,True
INFLATION_DIRECTION,gold_ret_12m,0.1483582657200812,1,7,7,True
INFLATION_DIRECTION,gold_mdd_24m,-0.05817544693235138,-1,7,7,True
INFLATION_DIRECTION,gold_ret_6m,0.0475230044313491,1,7,7,True
INFLATION_DIRECTION,gold_ret_24m,0.1573713564137641,1,7,7,True
INFLATION_DIRECTION,gold_mae,0.10853170699718019,1,7,7,True
INFLATION_DIRECTION,gold_mfe,0.10418715981375828,1,7,7,True
GROWTH_STATE,gold_ret_12m,-0.08313721520550045,-1,10,10,True
GROWTH_STATE,gold_mdd_24m,0.026719152680313052,1,10,10,True
GROWTH_STATE,gold_ret_6m,-0.04860370085884985,-1,10,8,False
GROWTH_STATE,gold_ret_24m,-0.1606648362613876,-1,10,10,True
GROWTH_STATE,gold_mae,-0.07500548368349766,-1,10,10,True
GROWTH_STATE,gold_mfe,-0.13624219367391027,-1,10,10,True
YIELD_CURVE_STATE,gold_ret_12m,,0,0,0,False
YIELD_CURVE_STATE,gold_mdd_24m,,0,0,0,False
YIELD_CURVE_STATE,gold_ret_6m,,0,0,0,False
YIELD_CURVE_STATE,gold_ret_24m,,0,0,0,False
YIELD_CURVE_STATE,gold_mae,,0,0,0,False
YIELD_CURVE_STATE,gold_mfe,,0,0,0,False
REAL_RATE_PROXY_STATE,gold_ret_12m,,0,0,0,False
REAL_RATE_PROXY_STATE,gold_mdd_24m,,0,0,0,False
REAL_RATE_PROXY_STATE,gold_ret_6m,,0,0,0,False
REAL_RATE_PROXY_STATE,gold_ret_24m,,0,0,0,False
REAL_RATE_PROXY_STATE,gold_mae,,0,0,0,False
REAL_RATE_PROXY_STATE,gold_mfe,,0,0,0,False
ENERGY_DIRECTION_STATE,gold_ret_12m,0.0620716773396246,1,7,7,True
ENERGY_DIRECTION_STATE,gold_mdd_24m,0.027419974084561094,1,7,7,True
ENERGY_DIRECTION_STATE,gold_ret_6m,0.043450174137737205,1,7,7,True
ENERGY_DIRECTION_STATE,gold_ret_24m,-0.013263546065544599,-1,7,4,False
ENERGY_DIRECTION_STATE,gold_mae,-0.046623974834288304,-1,7,7,True
ENERGY_DIRECTION_STATE,gold_mfe,0.1162038893344024,1,7,7,True
NFCI_STATE,gold_ret_12m,,0,0,0,False
NFCI_STATE,gold_mdd_24m,,0,0,0,False
NFCI_STATE,gold_ret_6m,,0,0,0,False
NFCI_STATE,gold_ret_24m,,0,0,0,False
NFCI_STATE,gold_mae,,0,0,0,False
NFCI_STATE,gold_mfe,,0,0,0,False
