state_var,state,n,cycle_years
INFLATION_LEVEL,HIGH,5,1983;1984;1987;1988;2022
INFLATION_LEVEL,LOW_OR_MODERATE,5,1987;1994;1999;2004;2015
INFLATION_DIRECTION,RISING,7,1984;1987;1994;1999;2004;2015;2022
INFLATION_DIRECTION,FALLING_OR_FLAT,3,1983;1987;1988
GROWTH_STATE,STRONG,6,1984;1987;1988;1994;1999;2004
GROWTH_STATE,WEAK,4,1983;1987;2015;2022
YIELD_CURVE_STATE,INVERTED,0,
YIELD_CURVE_STATE,POSITIVE,10,1983;1984;1987;1987;1988;1994;1999;2004;2015;2022
REAL_RATE_PROXY_STATE,POSITIVE,9,1983;1984;1987;1987;1988;1994;1999;2004;2015
REAL_RATE_PROXY_STATE,NONPOSITIVE,1,2022
ENERGY_DIRECTION_STATE,RISING,5,1987;1987;1999;2004;2022
ENERGY_DIRECTION_STATE,FALLING_OR_FLAT,3,1988;1994;2015
NFCI_STATE,TIGHT,2,1983;1988
NFCI_STATE,LOOSE_OR_AVERAGE,8,1984;1987;1987;1994;1999;2004;2015;2022
USD_DIRECTION_DIAGNOSTIC,RISING,5,1994;1999;2004;2015;2022
USD_DIRECTION_DIAGNOSTIC,FALLING_OR_FLAT,5,1983;1984;1987;1987;1988
