observable,observable_kind,anchor,cycle_id,broad_episode_id,cycle_start_year,anchor_date,episode_weight,baseline_value,change_3m,change_6m,change_12m,max_stress_move,min_stress_move,stress_peak_month,max_absolute_level,risk_metric,copper_mfe_12m
VIX,volatility_level,FIRST_HIKE,T06_1994,B03,1994,1994-02-04,1.0,11.29047619047619,2.6066666666666674,0.5986542443064184,0.1795238095238112,5.180576441102756,0.1795238095238112,2,23.87,5.180576441102756,
VIX,volatility_level,FIRST_HIKE,T07_1999,B04,1999,1999-06-30,1.0,26.204500000000003,-1.6630714285714312,-4.045409090909093,-4.664500000000004,0.959710526315785,-5.155452380952383,10,33.49,0.959710526315785,
VIX,volatility_level,FIRST_HIKE,T08_2004,B05,2004,2004-06-30,1.0,17.705000000000002,-3.624047619047621,-5.245454545454546,-5.836363636363638,-1.0209090909090932,-5.99605263157895,2,19.34,-1.0209090909090932,
VIX,volatility_level,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,16.21,-0.3609090909090913,1.5645454545454562,-3.737619047619047,7.507894736842104,-3.810434782608697,1,28.14,7.507894736842104,
VIX,volatility_level,FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,25.748421052631578,2.4847607655502415,1.5933971291866023,-4.104073226544621,4.257293233082709,-5.627921052631578,7,34.75,4.257293233082709,
VIX,volatility_level,LAST_HIKE,T06_1994,B03,1994,1995-02-01,1.0,12.274285714285714,-0.008376623376621595,0.5239751552795031,2.7587142857142837,2.7587142857142837,-0.5257857142857141,12,17.04,2.7587142857142837,
VIX,volatility_level,LAST_HIKE,T07_1999,B04,1999,2000-05-16,1.0,27.164210526315788,-9.075514874141874,-0.7813533834586472,-4.220119617224881,1.3326076555023931,-9.075514874141874,10,34.72,1.3326076555023931,
VIX,volatility_level,LAST_HIKE,T08_2004,B05,2004,2006-06-29,1.0,14.454545454545455,-2.270045454545455,-3.490045454545456,0.493073593073591,0.8714545454545437,-3.6369264069264062,1,19.63,0.8714545454545437,
VIX,volatility_level,LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,19.38904761904762,-4.9038095238095245,-3.553047619047618,-5.632380952380954,0.18333333333333002,-6.86554761904762,1,25.45,0.18333333333333002,
VIX,volatility_level,LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,14.003181818181817,4.884545454545455,-0.6145454545454534,0.37073122529644564,4.884545454545455,-1.3361818181818172,3,21.71,4.884545454545455,
VIX,volatility_level,PAUSE_START,T06_1994,B03,1994,1995-03-28,1.0,11.47,0.42681818181818265,0.5869999999999997,6.292380952380951,6.292380952380951,0.2784999999999993,12,20.7,6.292380952380951,
VIX,volatility_level,PAUSE_START,T07_1999,B04,1999,2000-06-28,1.0,26.37318181818182,-6.68568181818182,0.15731818181818014,-5.43270562770563,2.1236363636363613,-8.284486166007905,9,34.72,2.1236363636363613,
VIX,volatility_level,PAUSE_START,T08_2004,B05,2004,2006-08-08,1.0,15.325999999999999,-4.50838095238095,-4.170736842105262,9.700086956521742,9.700086956521742,-4.50838095238095,12,30.83,9.700086956521742,
VIX,volatility_level,PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,24.953157894736844,-12.004110275689225,-11.647248803827752,-11.012205513784464,-5.974066985645933,-12.429657894736843,7,24.59,-5.974066985645933,
VIX,volatility_level,PAUSE_START,T10_2022,B07,2022,2023-09-20,1.0,15.85391304347826,-3.135413043478259,-2.06641304347826,1.8094202898550744,3.458359683794468,-3.1869130434782598,11,38.57,3.458359683794468,
VIX,volatility_level,FIRST_CUT,T06_1994,B03,1994,1995-07-06,1.0,11.896818181818183,2.460454545454544,1.5768181818181812,6.081818181818182,6.081818181818182,-0.14831818181818335,12,21.55,6.081818181818182,
VIX,volatility_level,FIRST_CUT,T07_1999,B04,1999,2001-01-03,1.0,26.5305,1.6034999999999968,-4.214309523809526,-4.277642857142858,8.534833333333335,-5.59002380952381,8,43.74,8.534833333333335,
VIX,volatility_level,FIRST_CUT,T08_2004,B05,2004,2007-09-18,1.0,25.02608695652174,-3.3750869565217414,2.0774130434782627,5.212484472049688,5.212484472049688,-6.722753623188407,12,46.72,5.212484472049688,
VIX,volatility_level,FIRST_CUT,T09_2015,B06,2015,2019-07-31,1.0,15.836000000000002,-0.3694782608695668,-1.895047619047622,11.004454545454543,41.90081818181818,-3.3125000000000018,8,82.69,41.90081818181818,
VIX,volatility_level,FIRST_CUT,T10_2022,B07,2022,2024-09-18,1.0,19.312272727272727,-3.4460822510822506,2.529155844155845,-3.5231818181818184,12.653917748917745,-3.5622727272727275,7,52.33,12.653917748917745,
BAA10Y_SPREAD,credit_spread,FIRST_HIKE,T01_1983,B01,1983,1983-03-31,0.5,3.23,-71.0,-133.0,-156.0,-33.999999999999986,-156.0,1,2.89,-33.999999999999986,
BAA10Y_SPREAD,credit_spread,FIRST_HIKE,T02_1984,B01,1984,1984-03-29,0.5,1.75,-26.0,8.000000000000007,8.000000000000007,15.999999999999993,-41.99999999999999,5,1.91,15.999999999999993,
BAA10Y_SPREAD,credit_spread,FIRST_HIKE,T03_1987,B02,1987,1987-01-05,0.3333333333333333,2.86,-83.99999999999999,-69.99999999999997,-46.0,-46.0,-97.0,1,2.4,-46.0,
BAA10Y_SPREAD,credit_spread,FIRST_HIKE,T04_1987,B02,1987,1987-08-27,0.3333333333333333,2.16,20.999999999999996,25.0,-21.000000000000018,25.0,-27.000000000000025,6,2.41,25.0,
BAA10Y_SPREAD,credit_spread,FIRST_HIKE,T05_1988,B02,1988,1988-03-30,0.3333333333333333,2.41,-33.00000000000001,-49.00000000000002,-110.00000000000001,-23.0,-110.00000000000001,1,2.18,-23.0,
BAA10Y_SPREAD,credit_spread,FIRST_HIKE,T06_1994,B03,1994,1994-02-04,1.0,1.9,-46.0,-39.99999999999999,-52.0,-25.0,-60.999999999999986,1,1.65,-25.0,
BAA10Y_SPREAD,credit_spread,FIRST_HIKE,T07_1999,B04,1999,1999-06-30,1.0,2.18,9.999999999999964,-27.000000000000025,19.99999999999997,27.99999999999998,-51.00000000000002,11,2.46,27.99999999999998,
BAA10Y_SPREAD,credit_spread,FIRST_HIKE,T08_2004,B05,2004,2004-06-30,1.0,2.03,11.000000000000032,-10.999999999999988,-16.99999999999997,15.000000000000036,-46.99999999999997,2,2.18,15.000000000000036,
BAA10Y_SPREAD,credit_spread,FIRST_HIKE,T09_2015,B06,2015,2015-12-16,1.0,3.2,4.0000000000000036,-31.000000000000007,-86.00000000000003,35.999999999999986,-86.00000000000003,2,3.56,35.999999999999986,
BAA10Y_SPREAD,credit_spread,FIRST_HIKE,T10_2022,B07,2022,2022-03-16,1.0,2.04,8.999999999999986,12.99999999999999,0.9999999999999787,27.0,-19.999999999999996,4,2.31,27.0,
BAA10Y_SPREAD,credit_spread,LAST_HIKE,T01_1983,B01,1983,1983-08-11,0.5,2.01,-8.999999999999986,-25.99999999999998,-9.999999999999986,-2.9999999999999805,-67.99999999999997,5,1.98,-2.9999999999999805,
BAA10Y_SPREAD,credit_spread,LAST_HIKE,T02_1984,B01,1984,1984-08-09,0.5,1.79,11.99999999999999,-7.000000000000006,37.999999999999986,50.99999999999998,-7.000000000000006,9,2.3,50.99999999999998,
BAA10Y_SPREAD,credit_spread,LAST_HIKE,T03_1987,B02,1987,1987-05-22,0.3333333333333333,2.02,2.0000000000000018,35.00000000000001,-7.000000000000006,39.000000000000014,-13.00000000000001,9,2.41,39.000000000000014,
BAA10Y_SPREAD,credit_spread,LAST_HIKE,T04_1987,B02,1987,1987-09-24,0.3333333333333333,2.04,25.99999999999998,16.000000000000014,-12.00000000000001,37.000000000000014,-12.00000000000001,5,2.41,37.000000000000014,
BAA10Y_SPREAD,credit_spread,LAST_HIKE,T05_1988,B02,1988,1989-05-17,0.3333333333333333,1.43,34.00000000000001,51.0,21.999999999999996,55.00000000000001,8.000000000000007,7,1.98,55.00000000000001,
BAA10Y_SPREAD,credit_spread,LAST_HIKE,T06_1994,B03,1994,1995-02-01,1.0,1.3,27.0,39.99999999999999,52.0,52.0,19.999999999999996,11,1.82,52.0,
BAA10Y_SPREAD,credit_spread,LAST_HIKE,T07_1999,B04,1999,2000-05-16,1.0,2.41,2.0000000000000018,14.999999999999991,27.0,54.0,-11.000000000000032,10,2.95,54.0,
BAA10Y_SPREAD,credit_spread,LAST_HIKE,T08_2004,B05,2004,2006-06-29,1.0,1.64,7.000000000000006,2.0000000000000018,-3.9999999999999813,7.000000000000006,-7.999999999999985,2,1.71,7.000000000000006,
BAA10Y_SPREAD,credit_spread,LAST_HIKE,T09_2015,B06,2015,2018-12-19,1.0,2.1,16.999999999999993,29.000000000000004,-8.000000000000007,31.000000000000007,-8.000000000000007,1,2.41,31.000000000000007,
BAA10Y_SPREAD,credit_spread,LAST_HIKE,T10_2022,B07,2022,2023-07-26,1.0,2.0,-16.999999999999993,-37.999999999999986,-40.99999999999999,-14.999999999999991,-54.0,1,1.85,-14.999999999999991,
BAA10Y_SPREAD,credit_spread,PAUSE_START,T02_1984,B01,1984,1984-08-21,1.0,1.79,11.99999999999999,-7.000000000000006,37.999999999999986,50.99999999999998,-7.000000000000006,9,2.3,50.99999999999998,
BAA10Y_SPREAD,credit_spread,PAUSE_START,T04_1987,B02,1987,1987-11-03,1.0,2.1,31.000000000000007,-15.000000000000014,-58.00000000000001,31.000000000000007,-58.00000000000001,3,2.41,31.000000000000007,
BAA10Y_SPREAD,credit_spread,PAUSE_START,T06_1994,B03,1994,1995-03-28,1.0,1.38,35.00000000000001,35.00000000000001,38.000000000000014,44.000000000000014,16.000000000000014,10,1.82,44.000000000000014,
BAA10Y_SPREAD,credit_spread,PAUSE_START,T07_1999,B04,1999,2000-06-28,1.0,2.46,8.999999999999986,31.999999999999986,23.0,49.00000000000002,-16.000000000000014,9,2.95,49.00000000000002,
BAA10Y_SPREAD,credit_spread,PAUSE_START,T08_2004,B05,2004,2006-08-08,1.0,1.67,-6.999999999999984,-10.999999999999988,31.000000000000007,31.000000000000007,-10.999999999999988,12,1.98,31.000000000000007,
BAA10Y_SPREAD,credit_spread,PAUSE_START,T09_2015,B06,2015,2019-01-30,1.0,2.3,-12.99999999999999,-7.999999999999963,-29.000000000000004,9.00000000000003,-29.000000000000004,5,2.39,9.00000000000003,
BAA10Y_SPREAD,credit_spread,PAUSE_START,T10_2022,B07,2022,2023-09-20,1.0,1.85,-23.0,-31.000000000000007,-15.000000000000014,-2.0000000000000018,-39.000000000000014,1,1.83,-2.0000000000000018,
BAA10Y_SPREAD,credit_spread,FIRST_CUT,T01_1983,B01,1983,1983-08-17,0.5,2.01,-8.999999999999986,-25.99999999999998,-9.999999999999986,-2.9999999999999805,-67.99999999999997,5,1.98,-2.9999999999999805,
BAA10Y_SPREAD,credit_spread,FIRST_CUT,T02_1984,B01,1984,1984-09-20,0.5,1.91,-1.0000000000000009,-7.999999999999985,19.999999999999996,38.99999999999999,-18.999999999999993,8,2.3,38.99999999999999,
BAA10Y_SPREAD,credit_spread,FIRST_CUT,T03_1987,B02,1987,1987-07-02,0.3333333333333333,2.12,-2.0000000000000018,27.99999999999998,-7.000000000000028,29.000000000000004,-23.00000000000002,7,2.41,29.000000000000004,
BAA10Y_SPREAD,credit_spread,FIRST_CUT,T04_1987,B02,1987,1987-11-04,0.3333333333333333,2.1,31.000000000000007,-15.000000000000014,-58.00000000000001,31.000000000000007,-58.00000000000001,3,2.41,31.000000000000007,
BAA10Y_SPREAD,credit_spread,FIRST_CUT,T05_1988,B02,1988,1989-06-06,0.3333333333333333,1.6,11.99999999999999,37.999999999999986,13.99999999999999,37.999999999999986,-9.000000000000007,6,1.98,37.999999999999986,
