observable,anchor,n_legs,n_broad_episodes,weighted_median_change_3m,weighted_median_change_6m,weighted_median_change_12m,weighted_median_max_stress_move,weighted_median_stress_peak_month,weighted_q75_max_stress_move,support_status,unit_note
BAA10Y_SPREAD,FIRST_CUT,10,7,-2.0000000000000018,-4.999999999999982,5.000000000000027,37.999999999999986,7.0,108.0,PRIMARY_SUPPORTED,basis points; max stress = max credit-spread widening
BAA10Y_SPREAD,FIRST_HIKE,10,7,4.0000000000000036,-27.000000000000025,-21.000000000000018,15.999999999999993,2.0,27.99999999999998,PRIMARY_SUPPORTED,basis points; max stress = max credit-spread widening
BAA10Y_SPREAD,LAST_HIKE,10,7,7.000000000000006,14.999999999999991,-3.9999999999999813,31.000000000000007,5.0,52.0,PRIMARY_SUPPORTED,basis points; max stress = max credit-spread widening
BAA10Y_SPREAD,PAUSE_START,7,7,8.999999999999986,-7.999999999999963,23.0,31.000000000000007,9.0,49.00000000000002,PRIMARY_SUPPORTED,basis points; max stress = max credit-spread widening
COPPER,FIRST_CUT,5,5,-0.05944868715251872,0.02532784633520313,-0.07001021184270728,0.19956758053747292,9.0,0.2564370076892032,PRIMARY_SUPPORTED,decimal return/MDD; max stress = 12M copper MDD
COPPER,FIRST_HIKE,5,5,0.06403241921391278,0.15075357843836312,0.17926298140836128,0.06835911922855609,10.0,0.08782845676166706,PRIMARY_SUPPORTED,decimal return/MDD; max stress = 12M copper MDD
COPPER,LAST_HIKE,5,5,-0.054167676063411774,-0.005380583180166765,-0.019183260246386502,0.15083424858969863,11.0,0.17285615717869052,PRIMARY_SUPPORTED,decimal return/MDD; max stress = 12M copper MDD
COPPER,PAUSE_START,5,5,0.04084090608915658,0.013926346885246632,-0.02931813489616797,0.17285615717869052,11.0,0.17912487333054217,PRIMARY_SUPPORTED,decimal return/MDD; max stress = 12M copper MDD
VIX,FIRST_CUT,5,5,-0.3694782608695668,1.5768181818181812,5.212484472049688,8.534833333333335,8.0,12.653917748917745,PRIMARY_SUPPORTED,VIX points; max stress = max increase in monthly-average VIX
VIX,FIRST_HIKE,5,5,-0.3609090909090913,0.5986542443064184,-4.104073226544621,4.257293233082709,2.0,5.180576441102756,PRIMARY_SUPPORTED,VIX points; max stress = max increase in monthly-average VIX
VIX,LAST_HIKE,5,5,-2.270045454545455,-0.7813533834586472,0.37073122529644564,1.3326076555023931,3.0,2.7587142857142837,PRIMARY_SUPPORTED,VIX points; max stress = max increase in monthly-average VIX
VIX,PAUSE_START,5,5,-4.50838095238095,-2.06641304347826,1.8094202898550744,3.458359683794468,11.0,6.292380952380951,PRIMARY_SUPPORTED,VIX points; max stress = max increase in monthly-average VIX
