asset,stress_observable,cycle_id,broad_episode_id,cycle_start_year,anchor_date,paired_episode_weight,asset_trough_month,stress_peak_month,lead_months,abs_gap_months,stress_before,same_month,before_or_same,near_2m,both_late_7plus,max_stress_move
GOLD,BAA10Y_SPREAD,T01_1983,B01,1983,1983-08-17,0.5,11,5,6,6,True,False,True,False,False,-2.9999999999999805
GOLD,BAA10Y_SPREAD,T02_1984,B01,1984,1984-09-20,0.5,5,8,-3,3,False,False,False,False,False,38.99999999999999
GOLD,BAA10Y_SPREAD,T03_1987,B02,1987,1987-07-02,0.3333333333333333,12,7,5,5,True,False,True,False,True,29.000000000000004
GOLD,BAA10Y_SPREAD,T04_1987,B02,1987,1987-11-04,0.3333333333333333,11,3,8,8,True,False,True,False,False,31.000000000000007
GOLD,BAA10Y_SPREAD,T05_1988,B02,1988,1989-06-06,0.3333333333333333,12,6,6,6,True,False,True,False,False,37.99999999999999
GOLD,BAA10Y_SPREAD,T06_1994,B03,1994,1995-07-06,1.0,12,6,6,6,True,False,True,False,False,9.000000000000007
GOLD,BAA10Y_SPREAD,T07_1999,B04,1999,2001-01-03,1.0,3,9,-6,6,False,False,False,False,False,56.00000000000001
GOLD,BAA10Y_SPREAD,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,164.0
GOLD,BAA10Y_SPREAD,T09_2015,B06,2015,2019-07-31,1.0,4,9,-5,5,False,False,False,False,False,108.0
GOLD,BAA10Y_SPREAD,T10_2022,B07,2022,2024-09-18,1.0,3,7,-4,4,False,False,False,False,False,16.999999999999993
GOLD,VIX,T06_1994,B03,1994,1995-07-06,1.0,12,12,0,0,False,True,True,True,True,6.081818181818182
GOLD,VIX,T07_1999,B04,1999,2001-01-03,1.0,3,8,-5,5,False,False,False,False,False,8.534833333333335
GOLD,VIX,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,5.212484472049688
GOLD,VIX,T09_2015,B06,2015,2019-07-31,1.0,4,8,-4,4,False,False,False,False,False,41.90081818181818
GOLD,VIX,T10_2022,B07,2022,2024-09-18,1.0,3,7,-4,4,False,False,False,False,False,12.653917748917744
GOLD,COPPER,T06_1994,B03,1994,1995-07-06,1.0,12,12,0,0,False,True,True,True,True,0.3474191050855724
GOLD,COPPER,T07_1999,B04,1999,2001-01-03,1.0,3,9,-6,6,False,False,False,False,False,0.2564370076892032
GOLD,COPPER,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,0.1995675805374729
GOLD,COPPER,T09_2015,B06,2015,2019-07-31,1.0,4,9,-5,5,False,False,False,False,False,0.1676945892855307
GOLD,COPPER,T10_2022,B07,2022,2024-09-18,1.0,3,3,0,0,False,True,True,True,False,0.0654587944495498
SP500,BAA10Y_SPREAD,T01_1983,B01,1983,1983-08-17,0.5,11,5,6,6,True,False,True,False,False,-2.9999999999999805
SP500,BAA10Y_SPREAD,T02_1984,B01,1984,1984-09-20,0.5,12,8,4,4,True,False,True,False,True,38.99999999999999
SP500,BAA10Y_SPREAD,T03_1987,B02,1987,1987-07-02,0.3333333333333333,5,7,-2,2,False,False,False,True,False,29.000000000000004
SP500,BAA10Y_SPREAD,T04_1987,B02,1987,1987-11-04,0.3333333333333333,1,3,-2,2,False,False,False,True,False,31.000000000000007
SP500,BAA10Y_SPREAD,T05_1988,B02,1988,1989-06-06,0.3333333333333333,8,6,2,2,True,False,True,True,False,37.99999999999999
SP500,BAA10Y_SPREAD,T06_1994,B03,1994,1995-07-06,1.0,12,6,6,6,True,False,True,False,False,9.000000000000007
SP500,BAA10Y_SPREAD,T07_1999,B04,1999,2001-01-03,1.0,8,9,-1,1,False,False,False,True,True,56.00000000000001
SP500,BAA10Y_SPREAD,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,164.0
SP500,BAA10Y_SPREAD,T09_2015,B06,2015,2019-07-31,1.0,8,9,-1,1,False,False,False,True,True,108.0
SP500,BAA10Y_SPREAD,T10_2022,B07,2022,2024-09-18,1.0,7,7,0,0,False,True,True,True,True,16.999999999999993
SP500,VIX,T06_1994,B03,1994,1995-07-06,1.0,12,12,0,0,False,True,True,True,True,6.081818181818182
SP500,VIX,T07_1999,B04,1999,2001-01-03,1.0,8,8,0,0,False,True,True,True,True,8.534833333333335
SP500,VIX,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,5.212484472049688
SP500,VIX,T09_2015,B06,2015,2019-07-31,1.0,8,8,0,0,False,True,True,True,True,41.90081818181818
SP500,VIX,T10_2022,B07,2022,2024-09-18,1.0,7,7,0,0,False,True,True,True,True,12.653917748917744
SP500,COPPER,T06_1994,B03,1994,1995-07-06,1.0,12,12,0,0,False,True,True,True,True,0.3474191050855724
SP500,COPPER,T07_1999,B04,1999,2001-01-03,1.0,8,9,-1,1,False,False,False,True,True,0.2564370076892032
SP500,COPPER,T08_2004,B05,2004,2007-09-18,1.0,12,12,0,0,False,True,True,True,True,0.1995675805374729
SP500,COPPER,T09_2015,B06,2015,2019-07-31,1.0,8,9,-1,1,False,False,False,True,True,0.1676945892855307
SP500,COPPER,T10_2022,B07,2022,2024-09-18,1.0,7,3,4,4,True,False,True,False,False,0.0654587944495498
NASDAQ,BAA10Y_SPREAD,T01_1983,B01,1983,1983-08-17,0.5,11,5,6,6,True,False,True,False,False,-2.9999999999999805
NASDAQ,BAA10Y_SPREAD,T02_1984,B01,1984,1984-09-20,0.5,12,8,4,4,True,False,True,False,True,38.99999999999999
NASDAQ,BAA10Y_SPREAD,T03_1987,B02,1987,1987-07-02,0.3333333333333333,5,7,-2,2,False,False,False,True,False,29.000000000000004
NASDAQ,BAA10Y_SPREAD,T04_1987,B02,1987,1987-11-04,0.3333333333333333,1,3,-2,2,False,False,False,True,False,31.000000000000007
