asset,stress_observable,n_legs,n_broad_episodes,support_status,weighted_median_asset_trough_month,weighted_median_stress_peak_month,weighted_median_lead_months,weighted_median_abs_gap_months,weighted_stress_before_share,weighted_same_month_share,weighted_before_or_same_share,weighted_near_2m_share,weighted_both_late_7plus_share
GOLD,BAA10Y_SPREAD,10,7,SUPPORTED_TIMING_DESCRIPTIVE,5.0,7.0,-3.0,5.0,0.35714285714285715,0.14285714285714285,0.49999999999999994,0.14285714285714285,0.19047619047619047
GOLD,COPPER,5,5,SUPPORTED_TIMING_DESCRIPTIVE,4.0,9.0,0.0,0.0,0.0,0.6,0.6,0.6,0.4
GOLD,VIX,5,5,SUPPORTED_TIMING_DESCRIPTIVE,4.0,8.0,-4.0,4.0,0.0,0.4,0.4,0.4,0.4
NASDAQ,BAA10Y_SPREAD,10,7,SUPPORTED_TIMING_DESCRIPTIVE,8.0,7.0,0.0,1.0,0.3333333333333333,0.2857142857142857,0.619047619047619,0.7142857142857143,0.6428571428571429
NASDAQ,COPPER,5,5,SUPPORTED_TIMING_DESCRIPTIVE,8.0,9.0,0.0,1.0,0.2,0.4,0.6,0.8,0.8
NASDAQ,VIX,5,5,SUPPORTED_TIMING_DESCRIPTIVE,8.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
SP500,BAA10Y_SPREAD,10,7,SUPPORTED_TIMING_DESCRIPTIVE,8.0,7.0,0.0,1.0,0.3333333333333333,0.2857142857142857,0.619047619047619,0.7142857142857143,0.6428571428571429
SP500,COPPER,5,5,SUPPORTED_TIMING_DESCRIPTIVE,8.0,9.0,0.0,1.0,0.2,0.4,0.6,0.8,0.8
SP500,VIX,5,5,SUPPORTED_TIMING_DESCRIPTIVE,8.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
WTI,BAA10Y_SPREAD,8,6,SUPPORTED_TIMING_DESCRIPTIVE,11.0,7.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.7222222222222222
WTI,COPPER,5,5,SUPPORTED_TIMING_DESCRIPTIVE,11.0,9.0,0.0,1.0,0.4,0.4,0.8,0.8,0.8
WTI,VIX,5,5,SUPPORTED_TIMING_DESCRIPTIVE,11.0,8.0,1.0,1.0,0.6,0.2,0.8,0.8,1.0
