asset,anchor,recovery_level,n_legs,n_broad_episodes,observed_recoveries,right_censored,weighted_km_median_months,recovery_support_status,source_module
USD_BROAD,FIRST_CUT,50%,3,3,2,1,24,LIMITED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
USD_BROAD,FIRST_CUT,100%,3,3,2,1,26,LIMITED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
USD_BROAD,FIRST_HIKE,50%,2,2,2,0,6,LIMITED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
USD_BROAD,FIRST_HIKE,100%,2,2,2,0,7,LIMITED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
USD_BROAD,LAST_HIKE,50%,3,3,3,0,4,LIMITED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
USD_BROAD,LAST_HIKE,100%,3,3,3,0,6,LIMITED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
USD_BROAD,PAUSE_START,50%,3,3,3,0,4,LIMITED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
USD_BROAD,PAUSE_START,100%,3,3,3,0,6,LIMITED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
BTC_USD,FIRST_CUT,50%,2,2,2,0,2,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
BTC_USD,FIRST_CUT,100%,2,2,2,0,2,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
BTC_USD,FIRST_HIKE,50%,2,2,2,0,2,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
BTC_USD,FIRST_HIKE,100%,2,2,2,0,3,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
BTC_USD,LAST_HIKE,50%,2,2,2,0,2,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
BTC_USD,LAST_HIKE,100%,2,2,2,0,4,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
BTC_USD,PAUSE_START,50%,2,2,2,0,2,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
BTC_USD,PAUSE_START,100%,2,2,2,0,3,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
TLT,FIRST_CUT,50%,3,3,3,0,1,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
TLT,FIRST_CUT,100%,3,3,2,1,3,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
TLT,FIRST_HIKE,50%,3,3,2,1,9,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
TLT,FIRST_HIKE,100%,3,3,2,1,30,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
TLT,LAST_HIKE,50%,3,3,3,0,2,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
TLT,LAST_HIKE,100%,3,3,3,0,3,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
TLT,PAUSE_START,50%,3,3,3,0,2,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
TLT,PAUSE_START,100%,3,3,3,0,2,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
VNQ,FIRST_CUT,50%,3,3,3,0,3,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
VNQ,FIRST_CUT,100%,3,3,3,0,12,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
VNQ,FIRST_HIKE,50%,2,2,2,0,2,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
VNQ,FIRST_HIKE,100%,2,2,2,0,21,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
VNQ,LAST_HIKE,50%,3,3,3,0,1,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
VNQ,LAST_HIKE,100%,3,3,2,1,2,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
VNQ,PAUSE_START,50%,3,3,3,0,1,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
VNQ,PAUSE_START,100%,3,3,3,0,2,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
US_HOUSE_PRICE,FIRST_CUT,50%,7,5,2,1,4,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
US_HOUSE_PRICE,FIRST_CUT,100%,7,5,2,1,28,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
US_HOUSE_PRICE,FIRST_HIKE,50%,7,6,4,0,2,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
US_HOUSE_PRICE,FIRST_HIKE,100%,7,6,4,0,2,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
US_HOUSE_PRICE,PAUSE_START,50%,6,6,3,1,1,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
US_HOUSE_PRICE,PAUSE_START,100%,6,6,3,1,2,LIMITED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
