asset,anchor,recovery_level,n_legs,n_broad_episodes,observed_recoveries,right_censored,weighted_km_median_months,recovery_support_status,source_module
GOLD,FIRST_CUT,50%,10,7,7,3,2,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
GOLD,FIRST_CUT,100%,10,7,6,4,12,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
GOLD,FIRST_HIKE,50%,10,7,8,2,4,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
GOLD,FIRST_HIKE,100%,10,7,7,3,19,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
GOLD,LAST_HIKE,50%,10,7,8,2,3,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
GOLD,LAST_HIKE,100%,10,7,7,3,6,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
GOLD,PAUSE_START,50%,7,7,5,2,1,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
GOLD,PAUSE_START,100%,7,7,5,2,5,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
NASDAQ,FIRST_CUT,50%,10,7,10,0,2,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
NASDAQ,FIRST_CUT,100%,10,7,9,1,3,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
NASDAQ,FIRST_HIKE,50%,10,7,9,1,2,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
NASDAQ,FIRST_HIKE,100%,10,7,9,1,8,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
NASDAQ,LAST_HIKE,50%,10,7,9,1,1,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
NASDAQ,LAST_HIKE,100%,10,7,9,1,3,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
NASDAQ,PAUSE_START,50%,7,7,6,1,1,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
NASDAQ,PAUSE_START,100%,7,7,6,1,3,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
SP500,FIRST_CUT,50%,10,7,10,0,3,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
SP500,FIRST_CUT,100%,10,7,9,1,5,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
SP500,FIRST_HIKE,50%,10,7,10,0,2,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
SP500,FIRST_HIKE,100%,10,7,10,0,4,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
SP500,LAST_HIKE,50%,10,7,9,1,1,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
SP500,LAST_HIKE,100%,10,7,9,1,1,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
SP500,PAUSE_START,50%,7,7,6,1,2,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
SP500,PAUSE_START,100%,7,7,6,1,3,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
WTI,FIRST_CUT,50%,8,6,7,1,3,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
WTI,FIRST_CUT,100%,8,6,7,1,9,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
WTI,FIRST_HIKE,50%,8,6,8,0,2,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
WTI,FIRST_HIKE,100%,8,6,7,1,3,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
WTI,LAST_HIKE,50%,8,6,8,0,5,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
WTI,LAST_HIKE,100%,8,6,8,0,19,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
WTI,PAUSE_START,50%,6,6,6,0,5,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
WTI,PAUSE_START,100%,6,6,6,0,8,SUPPORTED_RECOVERY_DESCRIPTIVE,PHASE_CLOCK_004
DXY,FIRST_CUT,50%,10,7,7,3,5,SUPPORTED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
DXY,FIRST_CUT,100%,10,7,7,3,6,SUPPORTED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
DXY,FIRST_HIKE,50%,10,7,10,0,6,SUPPORTED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
DXY,FIRST_HIKE,100%,10,7,8,2,11,SUPPORTED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
DXY,LAST_HIKE,50%,10,7,8,2,4,SUPPORTED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
DXY,LAST_HIKE,100%,10,7,8,2,12,SUPPORTED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
DXY,PAUSE_START,50%,7,7,6,1,4,SUPPORTED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
DXY,PAUSE_START,100%,7,7,6,1,8,SUPPORTED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
US_HOUSE_PRICE,LAST_HIKE,50%,8,6,4,1,2,SUPPORTED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
US_HOUSE_PRICE,LAST_HIKE,100%,8,6,4,1,3,SUPPORTED_RECOVERY_DESCRIPTIVE,RECOVERY_EXTENSION_015
