asset,anchor,cycle_id,broad_episode_id,anchor_date,episode_weight,drawdown,trough_month,recovery50_months,recovery100_months,recovery50_observed,recovery100_observed,recovery_censor_months,source_module,anchor_to_recovery50_months,anchor_to_recovery100_months,anchor_to_censor_months
GOLD,FIRST_HIKE,T01_1983,B01,1983-03-31,0.5,0.2443991853360488,10.0,39.0,,True,False,60.0,PHASE_CLOCK_004,49.0,,70.0
GOLD,FIRST_HIKE,T02_1984,B01,1984-03-29,0.5,0.2253886010362694,11.0,11.0,19.0,True,True,60.0,PHASE_CLOCK_004,22.0,30.0,71.0
GOLD,FIRST_HIKE,T03_1987,B02,1987-01-05,0.3333333333333333,0.0217391304347825,5.0,2.0,2.0,True,True,60.0,PHASE_CLOCK_004,7.0,7.0,65.0
GOLD,FIRST_HIKE,T04_1987,B02,1987-08-27,0.3333333333333333,0.1131687242798353,12.0,,,False,False,60.0,PHASE_CLOCK_004,,,72.0
GOLD,FIRST_HIKE,T05_1988,B02,1988-03-30,0.3333333333333333,0.1415929203539823,11.0,,,False,False,60.0,PHASE_CLOCK_004,,,71.0
GOLD,FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,0.0382653061224489,12.0,2.0,11.0,True,True,60.0,PHASE_CLOCK_004,14.0,23.0,72.0
GOLD,FIRST_HIKE,T07_1999,B04,1999-06-30,1.0,0.1157556270096462,11.0,21.0,24.0,True,True,60.0,PHASE_CLOCK_004,32.0,35.0,71.0
GOLD,FIRST_HIKE,T08_2004,B05,2004-06-30,1.0,0.0452488687782804,11.0,3.0,4.0,True,True,60.0,PHASE_CLOCK_004,14.0,15.0,71.0
GOLD,FIRST_HIKE,T09_2015,B06,2015-12-16,1.0,0.1365671641791045,12.0,4.0,30.0,True,True,60.0,PHASE_CLOCK_004,16.0,42.0,72.0
GOLD,FIRST_HIKE,T10_2022,B07,2022-03-16,1.0,0.1409395973154362,7.0,3.0,6.0,True,True,46.0,PHASE_CLOCK_004,10.0,13.0,53.0
SP500,FIRST_HIKE,T01_1983,B01,1983-03-31,0.5,0.062054979990809,11.0,6.0,11.0,True,True,60.0,PHASE_CLOCK_004,17.0,22.0,71.0
SP500,FIRST_HIKE,T02_1984,B01,1984-03-29,0.5,0.041391758799829,4.0,1.0,1.0,True,True,60.0,PHASE_CLOCK_004,5.0,5.0,64.0
SP500,FIRST_HIKE,T03_1987,B02,1987-01-05,0.3333333333333333,0.2684075033871038,11.0,13.0,19.0,True,True,60.0,PHASE_CLOCK_004,24.0,30.0,71.0
SP500,FIRST_HIKE,T04_1987,B02,1987-08-27,0.3333333333333333,0.2438486458674028,4.0,13.0,18.0,True,True,60.0,PHASE_CLOCK_004,17.0,22.0,64.0
SP500,FIRST_HIKE,T05_1988,B02,1988-03-30,0.3333333333333333,0.025698756229754,5.0,1.0,2.0,True,True,60.0,PHASE_CLOCK_004,6.0,7.0,65.0
SP500,FIRST_HIKE,T06_1994,B03,1994-02-04,1.0,0.054463296784632,2.0,4.0,10.0,True,True,60.0,PHASE_CLOCK_004,6.0,12.0,62.0
