time_months,at_risk_weight,event_weight,censor_weight,survival_not_recovered,asset,anchor,recovery_level
0,7.0,0.0,0.0,1.0,DXY,FIRST_CUT,50%
5,7.0,1.0,0.0,0.8571428571428572,DXY,FIRST_CUT,50%
8,6.0,0.3333333333333333,0.0,0.8095238095238095,DXY,FIRST_CUT,50%
9,5.666666666666666,0.5,0.0,0.7380952380952381,DXY,FIRST_CUT,50%
11,5.166666666666666,1.0,0.0,0.5952380952380952,DXY,FIRST_CUT,50%
12,4.166666666666666,1.3333333333333333,0.0,0.4047619047619047,DXY,FIRST_CUT,50%
24,2.833333333333333,0.0,1.0,0.4047619047619047,DXY,FIRST_CUT,50%
32,1.8333333333333333,1.0,0.0,0.18398268398268394,DXY,FIRST_CUT,50%
71,0.8333333333333333,0.0,0.8333333333333333,0.18398268398268394,DXY,FIRST_CUT,50%
0,7.0,0.0,0.0,1.0,DXY,FIRST_CUT,100%
6,7.0,1.0,0.0,0.8571428571428572,DXY,FIRST_CUT,100%
9,6.0,0.3333333333333333,0.0,0.8095238095238095,DXY,FIRST_CUT,100%
11,5.666666666666666,0.5,0.0,0.7380952380952381,DXY,FIRST_CUT,100%
13,5.166666666666666,2.0,0.0,0.45238095238095233,DXY,FIRST_CUT,100%
22,3.1666666666666665,0.3333333333333333,0.0,0.4047619047619047,DXY,FIRST_CUT,100%
24,2.833333333333333,0.0,1.0,0.4047619047619047,DXY,FIRST_CUT,100%
33,1.8333333333333333,1.0,0.0,0.18398268398268394,DXY,FIRST_CUT,100%
71,0.8333333333333333,0.0,0.8333333333333333,0.18398268398268394,DXY,FIRST_CUT,100%
0,7.0,0.0,0.0,1.0,DXY,FIRST_HIKE,50%
5,7.0,1.0,0.0,0.8571428571428572,DXY,FIRST_HIKE,50%
9,6.0,0.5,0.0,0.7857142857142857,DXY,FIRST_HIKE,50%
10,5.5,1.0,0.0,0.6428571428571428,DXY,FIRST_HIKE,50%
11,4.5,0.6666666666666666,0.0,0.5476190476190476,DXY,FIRST_HIKE,50%
12,3.833333333333333,1.0,0.0,0.4047619047619047,DXY,FIRST_HIKE,50%
14,2.833333333333333,0.5,0.0,0.33333333333333326,DXY,FIRST_HIKE,50%
19,2.333333333333333,0.3333333333333333,0.0,0.28571428571428564,DXY,FIRST_HIKE,50%
34,2.0,1.0,0.0,0.14285714285714282,DXY,FIRST_HIKE,50%
36,1.0,1.0,0.0,0.0,DXY,FIRST_HIKE,50%
0,7.0,0.0,0.0,1.0,DXY,FIRST_HIKE,100%
8,7.0,1.0,0.0,0.8571428571428572,DXY,FIRST_HIKE,100%
9,6.0,0.5,0.0,0.7857142857142857,DXY,FIRST_HIKE,100%
11,5.5,1.0,0.0,0.6428571428571428,DXY,FIRST_HIKE,100%
14,4.5,0.3333333333333333,0.0,0.5952380952380952,DXY,FIRST_HIKE,100%
16,4.166666666666666,0.5,0.0,0.5238095238095238,DXY,FIRST_HIKE,100%
17,3.6666666666666665,1.0,0.0,0.380952380952381,DXY,FIRST_HIKE,100%
21,2.6666666666666665,0.3333333333333333,0.0,0.33333333333333337,DXY,FIRST_HIKE,100%
41,2.333333333333333,1.0,0.0,0.1904761904761905,DXY,FIRST_HIKE,100%
54,1.3333333333333333,0.0,1.0,0.1904761904761905,DXY,FIRST_HIKE,100%
71,0.3333333333333333,0.0,0.3333333333333333,0.1904761904761905,DXY,FIRST_HIKE,100%
0,7.0,0.0,0.0,1.0,DXY,LAST_HIKE,50%
7,7.0,1.0,0.0,0.8571428571428572,DXY,LAST_HIKE,50%
9,6.0,1.5,0.0,0.6428571428571429,DXY,LAST_HIKE,50%
10,4.5,1.3333333333333333,0.0,0.45238095238095244,DXY,LAST_HIKE,50%
14,3.1666666666666665,1.3333333333333333,0.0,0.261904761904762,DXY,LAST_HIKE,50%
29,1.8333333333333333,1.0,0.0,0.11904761904761905,DXY,LAST_HIKE,50%
72,0.8333333333333333,0.0,0.8333333333333333,0.11904761904761905,DXY,LAST_HIKE,50%
0,7.0,0.0,0.0,1.0,DXY,LAST_HIKE,100%
11,7.0,0.5,0.0,0.9285714285714286,DXY,LAST_HIKE,100%
12,6.5,1.0,0.0,0.7857142857142857,DXY,LAST_HIKE,100%
14,5.5,1.0,0.0,0.6428571428571428,DXY,LAST_HIKE,100%
15,4.5,1.0,0.0,0.49999999999999994,DXY,LAST_HIKE,100%
17,3.5,1.0,0.0,0.3571428571428571,DXY,LAST_HIKE,100%
20,2.5,0.3333333333333333,0.0,0.3095238095238095,DXY,LAST_HIKE,100%
24,2.1666666666666665,0.3333333333333333,0.0,0.26190476190476186,DXY,LAST_HIKE,100%
