asset,anchor,positive_drawdown_episodes,positive_drawdown_broad_episodes,weighted_median_trough_month,weighted_late_trough_share_month7plus,weighted_km_median_anchor_to_50_months,observed_50_recoveries,censored_50_recoveries,weighted_km_median_anchor_to_100_months,observed_100_recoveries,censored_100_recoveries
DXY,FIRST_CUT,10,7,8.0,0.7619047619047619,12,7,3,13,7,3
DXY,FIRST_HIKE,10,7,8.0,0.5238095238095238,12,10,0,17,8,2
DXY,LAST_HIKE,10,7,8.0,0.6666666666666666,10,8,2,15,8,2
DXY,PAUSE_START,7,7,11.0,0.7142857142857143,13,6,1,13,6,1
GOLD,FIRST_CUT,10,7,5.0,0.5,7,7,3,22,6,4
GOLD,FIRST_HIKE,10,7,11.0,0.9523809523809523,16,8,2,30,7,3
GOLD,LAST_HIKE,10,7,6.0,0.5,8,8,2,11,7,3
GOLD,PAUSE_START,7,7,9.0,0.5714285714285714,10,5,2,15,5,2
NASDAQ,FIRST_CUT,10,7,8.0,0.9047619047619048,14,10,0,15,9,1
NASDAQ,FIRST_HIKE,10,7,7.0,0.5952380952380951,12,9,1,14,9,1
NASDAQ,LAST_HIKE,10,7,8.0,0.5952380952380951,9,9,1,11,9,1
NASDAQ,PAUSE_START,7,7,7.0,0.5714285714285714,8,6,1,10,6,1
SP500,FIRST_CUT,10,7,8.0,0.9047619047619048,13,10,0,14,9,1
SP500,FIRST_HIKE,10,7,4.0,0.4047619047619047,6,10,0,12,10,0
SP500,LAST_HIKE,10,7,9.0,0.6666666666666666,12,9,1,12,9,1
SP500,PAUSE_START,7,7,9.0,0.7142857142857143,13,6,1,14,6,1
US_HOUSE_PRICE,LAST_HIKE,5,5,17.0,0.7692307692307692,19,4,1,20,4,1
WTI,FIRST_CUT,8,6,11.0,1.0,14,7,1,20,7,1
WTI,FIRST_HIKE,8,6,10.0,0.6666666666666666,11,8,0,12,7,1
WTI,LAST_HIKE,8,6,7.0,0.6666666666666666,12,8,0,29,8,0
WTI,PAUSE_START,6,6,9.0,0.6666666666666666,11,6,0,17,6,0
