cycle_id,event_date,event_month,target_period,selected_vintage_period,current_vintage_indpro_yoy,realtime_ipt_yoy,revision_gap_pp,current_growth_state,realtime_growth_state,state_flip
T01_1983,1983-03-31,1983-03,1983-01,1983-02,-0.0213859643737786,-0.031982942430703654,1.0596978056925055,WEAK,WEAK,False
T02_1984,1984-03-29,1984-03,1984-01,1984-02,0.1103037425193524,0.150655021834061,-4.035127931470858,STRONG,STRONG,False
T03_1987,1987-01-05,1987-01,1986-11,1986-12,0.0153571870834274,0.008814102564102644,0.6543084519324757,WEAK,WEAK,False
T04_1987,1987-08-27,1987-08,1987-06,1987-07,0.0551943971366382,0.03220611916264082,2.2988277973997375,STRONG,STRONG,False
T05_1988,1988-03-30,1988-03,1988-01,1988-02,0.0768325601463408,0.060221870047543646,1.6610690098797147,STRONG,STRONG,False
T06_1994,1994-02-04,1994-02,1993-12,1994-01,0.0340773293841403,0.04683195592286493,-1.2754626538724632,STRONG,STRONG,False
T07_1999,1999-06-30,1999-06,1999-04,1999-05,0.0430725460290948,0.020563594821020548,2.2508951208074253,STRONG,STRONG,False
T08_2004,2004-06-30,2004-06,2004-04,2004-05,0.0261512317017018,0.04813805631244339,-2.1986824610741587,STRONG,STRONG,False
T09_2015,2015-12-16,2015-12,2015-10,2015-11,-0.0272506606749945,0.0037453183520599342,-3.0995979027054434,WEAK,WEAK,False
T10_2022,2022-03-16,2022-03,2022-01,2022-02,0.0131813410300336,0.04124748490945662,-2.806614387942302,WEAK,STRONG,True
